timeline,Resona Holdings
31 Oct 2008,$10.01B
28 Nov 2008,$13.37B
31 Dec 2008,$13.48B
30 Jan 2009,$14.23B
27 Feb 2009,$17.16B
31 Mar 2009,$12.43B
30 Apr 2009,$12.48B
29 May 2009,$13.55B
30 Jun 2009,$12.86B
31 Jul 2009,$13.26B
31 Aug 2009,$12.04B
30 Sep 2009,$11.72B
30 Oct 2009,$11.12B
30 Nov 2009,$9.37B
31 Dec 2009,$9.52B
29 Jan 2010,$11.45B
26 Feb 2010,$10.9B
31 Mar 2010,$11.99B
30 Apr 2010,$11.66B
31 May 2010,$11.68B
30 Jun 2010,$11.07B
30 Jul 2010,$9.63B
31 Aug 2010,$8.44B
30 Sep 2010,$7.6B
29 Oct 2010,$6.51B
30 Nov 2010,$5.18B
31 Dec 2010,$4.94B
31 Jan 2011,$4.29B
28 Feb 2011,$4.53B
31 Mar 2011,$4.02B
29 Apr 2011,$3.88B
31 May 2011,$3.64B
30 Jun 2011,$3.84B
29 Jul 2011,$3.88B
31 Aug 2011,$3.5B
30 Sep 2011,$3.77B
31 Oct 2011,$3.6B
30 Nov 2011,$7.32B
29 Feb 2012,$8.41B
30 Mar 2012,$8.23B
30 Apr 2012,$7.37B
31 May 2012,$6.37B
29 Jun 2012,$7.07B
31 Jul 2012,$6.96B
31 Aug 2012,$6.59B
28 Sep 2012,$6.91B
31 Oct 2012,$7.43B
31 Dec 2012,$8.44B
31 Jan 2013,$8.76B
28 Feb 2013,$9.15B
29 Mar 2013,$10.51B
30 Apr 2013,$11.2B
31 May 2013,$9.95B
28 Jun 2013,$10.4B
31 Jul 2013,$10.49B
30 Aug 2013,$10.1B
30 Sep 2013,$9.97B
31 Oct 2013,$10.13B
29 Nov 2013,$10.09B
31 Dec 2013,$10.65B
31 Jan 2014,$10.85B
28 Feb 2014,$10.53B
31 Mar 2014,$9.62B
30 Apr 2014,$10.06B
30 May 2014,$10.26B
30 Jun 2014,$11.38B
31 Jul 2014,$11.16B
29 Aug 2014,$10.88B
30 Sep 2014,$11.93B
31 Oct 2014,$12.12B
28 Nov 2014,$12.36B
31 Dec 2014,$11.8B
30 Jan 2015,$11.35B
27 Feb 2015,$12.95B
31 Mar 2015,$12.19B
30 Apr 2015,$13.11B
29 May 2015,$14.57B
30 Jun 2015,$13.66B
31 Jul 2015,$13.94B
31 Aug 2015,$12.54B
30 Sep 2015,$12.39B
30 Oct 2015,$13.16B
30 Nov 2015,$12.28B
31 Dec 2015,$12.09B
29 Jan 2016,$11.19B
29 Feb 2016,$8.08B
31 Mar 2016,$8.21B
29 Apr 2016,$8.04B
31 May 2016,$8.62B
30 Jun 2016,$7.61B
29 Jul 2016,$8.49B
31 Aug 2016,$9.68B
30 Sep 2016,$8.64B
31 Oct 2016,$9.54B
30 Nov 2016,$11.26B
30 Dec 2016,$12.27B
31 Jan 2017,$12.55B
28 Feb 2017,$12.83B
31 Mar 2017,$12.24B
28 Apr 2017,$12.69B
31 May 2017,$11.6B
30 Jun 2017,$12.66B
31 Jul 2017,$11.63B
31 Aug 2017,$11.23B
29 Sep 2017,$11.83B
31 Oct 2017,$12.41B
30 Nov 2017,$12.16B
29 Dec 2017,$13.73B
31 Jan 2018,$13.41B
28 Feb 2018,$12.49B
30 Mar 2018,$11.47B
30 Apr 2018,$12.71B
31 May 2018,$12.39B
29 Jun 2018,$12.09B
31 Jul 2018,$12.98B
31 Aug 2018,$12.86B
28 Sep 2018,$13.03B
31 Oct 2018,$12.15B
30 Nov 2018,$12.29B
31 Dec 2018,$10.79B
31 Jan 2019,$11.23B
28 Feb 2019,$10.28B
29 Mar 2019,$9.79B
30 Apr 2019,$9.59B
31 May 2019,$9.36B
28 Jun 2019,$9.13B
31 Jul 2019,$9.02B
30 Aug 2019,$8.46B
30 Sep 2019,$9.37B
31 Oct 2019,$9.62B
29 Nov 2019,$9.4B
31 Dec 2019,$9.7B
31 Jan 2020,$9.23B
28 Feb 2020,$8.28B
31 Mar 2020,$6.59B
1 May 2020,$6.57B
29 May 2020,$7.86B
30 Jun 2020,$7.38B
10 Jul 2020,$7.3B
22 Jul 2020,$7.55B
31 Jul 2020,$6.9B
5 Aug 2020,$7.18B
20 Aug 2020,$7.6B
31 Aug 2020,$7.83B
30 Sep 2020,$7.18B
15 Oct 2020,$7.11B
22 Oct 2020,$7.09B
30 Oct 2020,$6.87B
12 Nov 2020,$7.64B
26 Nov 2020,$7.84B
4 Dec 2020,$7.63B
18 Dec 2020,$7.38B
25 Dec 2020,$7.19B
31 Dec 2020,$7.29B
29 Jan 2021,$7.35B
5 Feb 2021,$7.98B
12 Feb 2021,$8.47B
26 Feb 2021,$8.66B
11 Mar 2021,$9.34B
18 Mar 2021,$9.73B
24 Mar 2021,$9.25B
5 Apr 2021,$9.57B
16 Apr 2021,$9.14B
30 Apr 2021,$9.09B
11 May 2021,$9.37B
24 May 2021,$9.74B
31 May 2021,$10.03B
4 Jun 2021,$10.13B
11 Jun 2021,$9.73B
30 Jun 2021,$9.13B
16 Jul 2021,$9.01B
30 Jul 2021,$9.15B
13 Aug 2021,$9.58B
20 Aug 2021,$9.24B
27 Aug 2021,$9.31B
3 Sep 2021,$9.57B
10 Sep 2021,$9.81B
17 Sep 2021,$9.86B
24 Sep 2021,$9.9B
9 Oct 2021,$9.77B
16 Oct 2021,$9.35B
30 Oct 2021,$9.11B
6 Nov 2021,$9.3B
13 Nov 2021,$9.6B
27 Nov 2021,$9.22B
4 Dec 2021,$9.17B
9 Dec 2021,$9.28B
