timeline,Makita
31 Jan 2019,$9.21B
28 Feb 2019,$9.44B
29 Mar 2019,$9.23B
30 Apr 2019,$9.69B
31 May 2019,$9.12B
28 Jun 2019,$8.76B
31 Jul 2019,$8.6B
30 Aug 2019,$7.48B
30 Sep 2019,$8.14B
31 Oct 2019,$8.82B
29 Nov 2019,$8.66B
31 Dec 2019,$9.12B
31 Jan 2020,$10.18B
27 Feb 2020,$9.18B
28 Feb 2020,$8.94B
31 Mar 2020,$7.94B
30 Apr 2020,$8.43B
29 May 2020,$8.74B
30 Jun 2020,$9.37B
22 Jul 2020,$9.8B
31 Jul 2020,$9.66B
14 Aug 2020,$11.66B
25 Aug 2020,$11.83B
2 Sep 2020,$11.79B
16 Sep 2020,$12.04B
30 Sep 2020,$12.02B
8 Oct 2020,$12.14B
15 Oct 2020,$11.73B
22 Oct 2020,$11.74B
30 Oct 2020,$11.01B
20 Nov 2020,$12.76B
26 Nov 2020,$13.07B
4 Dec 2020,$12.83B
31 Dec 2020,$12.38B
8 Jan 2021,$12.33B
5 Feb 2021,$11.49B
12 Feb 2021,$11.5B
19 Feb 2021,$11.39B
26 Feb 2021,$10.86B
5 Mar 2021,$11.56B
19 Mar 2021,$11.69B
26 Mar 2021,$11.61B
7 Apr 2021,$11.5B
16 Apr 2021,$12.21B
22 Apr 2021,$12.64B
30 Apr 2021,$11.77B
7 May 2021,$11.99B
20 May 2021,$11.57B
26 May 2021,$12.09B
4 Jun 2021,$12.28B
11 Jun 2021,$11.93B
30 Jun 2021,$12.52B
20 Jul 2021,$13.19B
6 Aug 2021,$13.87B
13 Aug 2021,$14.41B
20 Aug 2021,$14.18B
27 Aug 2021,$15.26B
10 Sep 2021,$16.85B
17 Sep 2021,$17.29B
24 Sep 2021,$16.65B
2 Oct 2021,$14.5B
9 Oct 2021,$13.7B
23 Oct 2021,$13.49B
30 Oct 2021,$12.58B
6 Nov 2021,$12.71B
13 Nov 2021,$12.47B
20 Nov 2021,$12.53B
4 Dec 2021,$12.1B
9 Dec 2021,$12.05B
