timeline,Otsuka
9 Oct 2021,$9.28B
16 Oct 2021,$9.59B
23 Oct 2021,$9.55B
30 Oct 2021,$9.34B
6 Nov 2021,$9.11B
13 Nov 2021,$8.62B
20 Nov 2021,$9.05B
27 Nov 2021,$8.91B
4 Dec 2021,$8.89B
9 Dec 2021,$8.9B
