timeline,ALSOK
3 Sep 2021,$4.64B
10 Sep 2021,$4.69B
17 Sep 2021,$4.72B
24 Sep 2021,$4.81B
2 Oct 2021,$4.48B
9 Oct 2021,$4.43B
16 Oct 2021,$4.6B
23 Oct 2021,$4.42B
30 Oct 2021,$4.33B
6 Nov 2021,$4.3B
13 Nov 2021,$4.25B
20 Nov 2021,$4.55B
27 Nov 2021,$4.49B
4 Dec 2021,$4.25B
10 Dec 2021,$4.18B
