timeline,Sumitomo
30 Jun 2009,$10.82B
31 Jul 2009,$10.33B
31 Aug 2009,$10.5B
30 Sep 2009,$10.19B
30 Oct 2009,$9.92B
30 Nov 2009,$9.37B
31 Dec 2009,$10.39B
29 Jan 2010,$11.23B
26 Feb 2010,$10.67B
31 Mar 2010,$11.85B
30 Apr 2010,$12.59B
31 May 2010,$10.88B
30 Jun 2010,$9.89B
30 Jul 2010,$10.12B
31 Aug 2010,$10.61B
30 Sep 2010,$11.86B
29 Oct 2010,$11.24B
30 Nov 2010,$12.03B
31 Dec 2010,$12.66B
31 Jan 2011,$13.02B
28 Feb 2011,$13.31B
31 Mar 2011,$13.1B
29 Apr 2011,$12.2B
31 May 2011,$11.92B
30 Jun 2011,$12B
29 Jul 2011,$11.99B
31 Aug 2011,$10.97B
30 Sep 2011,$10.66B
31 Oct 2011,$10.88B
30 Nov 2011,$11.1B
30 Dec 2011,$11.48B
31 Jan 2012,$12.07B
29 Feb 2012,$13.28B
30 Mar 2012,$13.18B
30 Apr 2012,$12.56B
31 May 2012,$11.61B
29 Jun 2012,$12.21B
31 Jul 2012,$12.19B
31 Aug 2012,$11.42B
28 Sep 2012,$11.61B
31 Oct 2012,$11.99B
30 Nov 2012,$11.28B
31 Dec 2012,$12.13B
31 Jan 2013,$13.03B
28 Feb 2013,$12.5B
29 Mar 2013,$12.99B
30 Apr 2013,$13.41B
31 May 2013,$14.19B
28 Jun 2013,$13.64B
31 Jul 2013,$14.46B
30 Aug 2013,$13.74B
30 Sep 2013,$14.58B
31 Oct 2013,$14.06B
29 Nov 2013,$13.97B
31 Dec 2013,$14.56B
31 Jan 2014,$14.22B
28 Feb 2014,$14.8B
31 Mar 2014,$14.44B
30 Apr 2014,$14.6B
30 May 2014,$14.65B
30 Jun 2014,$15.05B
31 Jul 2014,$15.08B
29 Aug 2014,$14.77B
30 Sep 2014,$13.32B
31 Oct 2014,$12.94B
28 Nov 2014,$13.93B
31 Dec 2014,$13.66B
30 Jan 2015,$12.85B
27 Feb 2015,$14.47B
31 Mar 2015,$14.14B
30 Apr 2015,$15.6B
29 May 2015,$16.3B
30 Jun 2015,$15.66B
31 Jul 2015,$15.52B
31 Aug 2015,$14.16B
30 Sep 2015,$12.67B
30 Oct 2015,$14.64B
30 Nov 2015,$14.38B
31 Dec 2015,$13.65B
29 Jan 2016,$13.07B
29 Feb 2016,$12.22B
31 Mar 2016,$12.31B
29 Apr 2016,$12.87B
31 May 2016,$12.52B
30 Jun 2016,$11.27B
29 Jul 2016,$11.93B
31 Aug 2016,$12.35B
30 Sep 2016,$12.36B
31 Oct 2016,$13.31B
30 Nov 2016,$15.02B
30 Dec 2016,$15.14B
31 Jan 2017,$15.58B
28 Feb 2017,$16.61B
31 Mar 2017,$16.48B
28 Apr 2017,$16.38B
31 May 2017,$15.54B
30 Jun 2017,$16.09B
31 Jul 2017,$16.41B
31 Aug 2017,$17.13B
29 Sep 2017,$17.81B
31 Oct 2017,$17.98B
30 Nov 2017,$19.19B
29 Dec 2017,$21.07B
31 Jan 2018,$20.68B
28 Feb 2018,$20.79B
30 Mar 2018,$19.71B
30 Apr 2018,$21.68B
31 May 2018,$20.12B
29 Jun 2018,$20.03B
31 Jul 2018,$20.2B
31 Aug 2018,$19.85B
28 Sep 2018,$20.85B
31 Oct 2018,$18.86B
30 Nov 2018,$19.19B
31 Dec 2018,$17.19B
31 Jan 2019,$18.51B
28 Feb 2019,$17.62B
29 Mar 2019,$16.85B
30 Apr 2019,$17.5B
31 May 2019,$17.27B
28 Jun 2019,$17.98B
31 Jul 2019,$17.88B
30 Aug 2019,$17.54B
30 Sep 2019,$18.59B
31 Oct 2019,$19.42B
29 Nov 2019,$18.16B
31 Dec 2019,$17.88B
31 Jan 2020,$18.04B
27 Feb 2020,$17.36B
28 Feb 2020,$17.01B
6 Mar 2020,$16.07B
31 Mar 2020,$13.65B
20 Apr 2020,$12.97B
30 Apr 2020,$13.53B
29 May 2020,$14.3B
30 Jun 2020,$13.6B
31 Jul 2020,$12.89B
4 Aug 2020,$13.85B
20 Aug 2020,$13.74B
31 Aug 2020,$15.14B
10 Sep 2020,$14.75B
17 Sep 2020,$14.54B
30 Sep 2020,$13.86B
16 Oct 2020,$13.48B
23 Oct 2020,$13.54B
30 Oct 2020,$12.61B
6 Nov 2020,$13.41B
13 Nov 2020,$13.95B
20 Nov 2020,$14.6B
26 Nov 2020,$14.65B
30 Nov 2020,$14.17B
4 Dec 2020,$14.61B
18 Dec 2020,$14.8B
25 Dec 2020,$14.88B
31 Dec 2020,$15.04B
8 Jan 2021,$15.73B
15 Jan 2021,$15.8B
22 Jan 2021,$15.61B
29 Jan 2021,$15.28B
12 Feb 2021,$16.41B
19 Feb 2021,$16.83B
26 Feb 2021,$16.97B
1 Mar 2021,$17.35B
5 Mar 2021,$17.11B
19 Mar 2021,$17.74B
26 Mar 2021,$17.87B
1 Apr 2021,$17.12B
7 Apr 2021,$17.41B
16 Apr 2021,$17.08B
22 Apr 2021,$16.52B
28 Apr 2021,$16.44B
30 Apr 2021,$16.39B
7 May 2021,$17.19B
13 May 2021,$16.34B
20 May 2021,$16.64B
28 May 2021,$17.21B
4 Jun 2021,$17.3B
11 Jun 2021,$16.82B
30 Jun 2021,$16.39B
12 Jul 2021,$16.48B
16 Jul 2021,$16.31B
21 Jul 2021,$16.09B
30 Jul 2021,$17B
6 Aug 2021,$17.77B
13 Aug 2021,$17.96B
20 Aug 2021,$17.14B
27 Aug 2021,$17.22B
3 Sep 2021,$17.88B
10 Sep 2021,$18.53B
17 Sep 2021,$18.52B
24 Sep 2021,$18.06B
2 Oct 2021,$17.24B
9 Oct 2021,$17.58B
16 Oct 2021,$17.83B
23 Oct 2021,$17.54B
30 Oct 2021,$17.78B
6 Nov 2021,$18.09B
13 Nov 2021,$18B
20 Nov 2021,$18.24B
27 Nov 2021,$17.95B
4 Dec 2021,$17.55B
9 Dec 2021,$18.01B
