timeline,Chugai Pharmaceutical
8 Jan 2021,$80.15B
29 Jan 2021,$79.24B
5 Feb 2021,$76.29B
12 Feb 2021,$74.54B
26 Feb 2021,$68.97B
11 Mar 2021,$65.44B
18 Mar 2021,$66.28B
24 Mar 2021,$62.58B
31 Mar 2021,$65.06B
5 Apr 2021,$66.44B
16 Apr 2021,$62.61B
22 Apr 2021,$63.59B
30 Apr 2021,$59.44B
6 May 2021,$60.71B
18 May 2021,$59.58B
21 May 2021,$60.67B
31 May 2021,$60.84B
4 Jun 2021,$60.57B
11 Jun 2021,$63.45B
30 Jun 2021,$63.8B
16 Jul 2021,$58.94B
21 Jul 2021,$59.81B
30 Jul 2021,$61.01B
6 Aug 2021,$59.89B
13 Aug 2021,$61.26B
20 Aug 2021,$64.19B
31 Aug 2021,$62.44B
3 Sep 2021,$65.98B
10 Sep 2021,$62.45B
17 Sep 2021,$62.76B
24 Sep 2021,$64.08B
2 Oct 2021,$60.7B
9 Oct 2021,$57.07B
16 Oct 2021,$57.47B
23 Oct 2021,$55.43B
30 Oct 2021,$61.44B
13 Nov 2021,$59.33B
20 Nov 2021,$59.11B
27 Nov 2021,$56.57B
4 Dec 2021,$53.28B
9 Dec 2021,$55.59B
