timeline,Nissan Chemical
31 Jan 2001,$1.38B
28 Feb 2001,$1.26B
30 Mar 2001,$1.2B
30 Apr 2001,$1.43B
31 May 2001,$1.67B
29 Jun 2001,$1.69B
31 Jul 2001,$1.63B
31 Aug 2001,$1.35B
28 Sep 2001,$1.22B
31 Oct 2001,$1.17B
30 Nov 2001,$0.93B
31 Dec 2001,$1.12B
31 Jan 2002,$1.16B
28 Feb 2002,$1.07B
29 Mar 2002,$1.16B
30 Apr 2002,$1.19B
31 May 2002,$1.17B
28 Jun 2002,$1.15B
31 Jul 2002,$1B
30 Aug 2002,$0.93B
30 Sep 2002,$0.9B
31 Oct 2002,$0.74B
31 Dec 2002,$0.73B
31 Jan 2003,$0.76B
28 Feb 2003,$0.8B
31 Mar 2003,$0.77B
30 Apr 2003,$0.89B
30 May 2003,$1.02B
30 Jun 2003,$1.06B
31 Jul 2003,$1.23B
29 Aug 2003,$1.49B
30 Sep 2003,$1.38B
31 Oct 2003,$1.58B
28 Nov 2003,$1.55B
31 Dec 2003,$1.58B
30 Jan 2004,$1.51B
27 Feb 2004,$1.47B
31 Mar 2004,$1.5B
30 Apr 2004,$1.37B
31 May 2004,$1.27B
30 Jun 2004,$1.45B
30 Jul 2004,$1.37B
31 Aug 2004,$1.45B
30 Sep 2004,$1.4B
29 Oct 2004,$1.42B
30 Nov 2004,$1.33B
31 Dec 2004,$1.34B
31 Jan 2005,$1.44B
28 Feb 2005,$1.56B
31 Mar 2005,$1.53B
29 Apr 2005,$1.51B
31 May 2005,$1.85B
30 Jun 2005,$1.98B
29 Jul 2005,$2.14B
31 Aug 2005,$2.23B
30 Sep 2005,$2.35B
31 Oct 2005,$2.23B
30 Nov 2005,$2.72B
30 Dec 2005,$2.78B
31 Jan 2006,$3.14B
28 Feb 2006,$3.19B
31 Mar 2006,$3.31B
28 Apr 2006,$3.19B
31 May 2006,$2.55B
30 Jun 2006,$2.36B
31 Jul 2006,$2.39B
31 Aug 2006,$2.52B
29 Sep 2006,$2.31B
31 Oct 2006,$2.49B
30 Nov 2006,$2.28B
29 Dec 2006,$2.45B
31 Jan 2007,$2.43B
28 Feb 2007,$2.51B
30 Mar 2007,$2.48B
30 Apr 2007,$2.22B
31 May 2007,$2.15B
29 Jun 2007,$2.36B
31 Jul 2007,$2.42B
31 Aug 2007,$2.36B
28 Sep 2007,$2.31B
31 Oct 2007,$2.57B
30 Nov 2007,$2.47B
31 Dec 2007,$2.38B
31 Jan 2008,$2.13B
29 Feb 2008,$1.96B
31 Mar 2008,$1.68B
30 Apr 2008,$2.19B
30 May 2008,$2.27B
30 Jun 2008,$2.08B
31 Jul 2008,$2.05B
29 Aug 2008,$1.92B
30 Sep 2008,$1.52B
31 Oct 2008,$1.24B
28 Nov 2008,$1.33B
31 Dec 2008,$1.36B
30 Jan 2009,$1.1B
27 Feb 2009,$1.04B
31 Mar 2009,$1.25B
30 Apr 2009,$1.24B
29 May 2009,$1.52B
30 Jun 2009,$1.65B
31 Jul 2009,$1.94B
31 Aug 2009,$2.07B
30 Sep 2009,$1.97B
30 Oct 2009,$1.81B
30 Nov 2009,$1.74B
31 Dec 2009,$2.01B
29 Jan 2010,$1.81B
26 Feb 2010,$1.82B
31 Mar 2010,$1.99B
30 Apr 2010,$1.95B
31 May 2010,$1.63B
30 Jun 2010,$1.53B
30 Jul 2010,$1.56B
31 Aug 2010,$1.3B
30 Sep 2010,$1.43B
29 Oct 2010,$1.4B
30 Nov 2010,$1.53B
31 Dec 2010,$1.6B
31 Jan 2011,$1.54B
28 Feb 2011,$1.44B
31 Mar 2011,$1.29B
29 Apr 2011,$1.26B
30 Jun 2011,$1.33B
29 Jul 2011,$1.38B
31 Aug 2011,$1.19B
30 Sep 2011,$1.1B
31 Oct 2011,$1.17B
30 Nov 2011,$1.07B
30 Dec 2011,$1.12B
31 Jan 2012,$1.14B
29 Feb 2012,$1.21B
30 Mar 2012,$1.17B
30 Apr 2012,$1.09B
31 May 2012,$0.99B
29 Jun 2012,$1.16B
31 Jul 2012,$1.22B
31 Aug 2012,$1.3B
28 Sep 2012,$1.31B
31 Oct 2012,$1.32B
30 Nov 2012,$1.49B
31 Dec 2012,$1.52B
31 Jan 2013,$1.66B
28 Feb 2013,$1.77B
29 Mar 2013,$1.7B
30 Apr 2013,$1.82B
31 May 2013,$1.81B
28 Jun 2013,$1.93B
31 Jul 2013,$1.96B
30 Aug 2013,$1.95B
30 Sep 2013,$2.13B
31 Oct 2013,$2.22B
29 Nov 2013,$2.32B
31 Dec 2013,$2.41B
31 Jan 2014,$2.14B
28 Feb 2014,$2.19B
30 Apr 2014,$2.16B
30 May 2014,$2.17B
30 Jun 2014,$2.23B
31 Jul 2014,$2.7B
29 Aug 2014,$2.65B
30 Sep 2014,$2.75B
31 Oct 2014,$2.88B
28 Nov 2014,$3.11B
30 Jan 2015,$3.1B
27 Feb 2015,$3.24B
31 Mar 2015,$3.46B
30 Apr 2015,$3.31B
29 May 2015,$3.76B
31 Jul 2015,$3.79B
31 Aug 2015,$3.84B
30 Sep 2015,$3.6B
30 Oct 2015,$4.15B
30 Nov 2015,$4.06B
31 Dec 2015,$3.8B
29 Jan 2016,$3.78B
29 Feb 2016,$3.5B
31 Mar 2016,$3.95B
29 Apr 2016,$4.02B
31 May 2016,$4.44B
30 Jun 2016,$4.01B
29 Jul 2016,$4.45B
31 Aug 2016,$4.3B
