timeline,Tsuruha Holdings
20 Aug 2021,$6.27B
27 Aug 2021,$6.22B
3 Sep 2021,$6.1B
10 Sep 2021,$6.28B
17 Sep 2021,$6.2B
24 Sep 2021,$6.16B
2 Oct 2021,$5.91B
9 Oct 2021,$6.03B
16 Oct 2021,$5.95B
23 Oct 2021,$5.99B
30 Oct 2021,$6.11B
6 Nov 2021,$6.25B
13 Nov 2021,$6.18B
20 Nov 2021,$6.04B
27 Nov 2021,$5.97B
4 Dec 2021,$5.26B
10 Dec 2021,$5.27B
