timeline,Meitetsu
31 Mar 2006,$3.45B
28 Apr 2006,$3.25B
31 May 2006,$2.93B
30 Jun 2006,$2.89B
31 Jul 2006,$2.93B
31 Aug 2006,$3.03B
29 Sep 2006,$2.96B
31 Oct 2006,$2.83B
29 Dec 2006,$2.75B
31 Jan 2007,$2.86B
28 Feb 2007,$3.07B
30 Mar 2007,$2.81B
30 Apr 2007,$2.83B
31 May 2007,$2.8B
29 Jun 2007,$2.79B
31 Jul 2007,$2.72B
31 Aug 2007,$2.62B
28 Sep 2007,$2.61B
31 Oct 2007,$2.63B
30 Nov 2007,$2.52B
31 Dec 2007,$2.5B
31 Jan 2008,$2.54B
29 Feb 2008,$2.58B
31 Mar 2008,$2.51B
30 Apr 2008,$2.58B
30 May 2008,$2.22B
30 Jun 2008,$2.31B
31 Jul 2008,$2.38B
29 Aug 2008,$2.37B
30 Sep 2008,$2.34B
31 Oct 2008,$2.36B
28 Nov 2008,$2.28B
31 Dec 2008,$2.23B
30 Jan 2009,$2.15B
27 Feb 2009,$2.19B
31 Mar 2009,$2.27B
30 Apr 2009,$2.31B
29 May 2009,$2.33B
30 Jun 2009,$2.4B
31 Jul 2009,$2.44B
31 Aug 2009,$2.47B
30 Sep 2009,$2.34B
30 Oct 2009,$2.13B
30 Nov 2009,$2.16B
31 Dec 2009,$2.09B
29 Jan 2010,$2.06B
26 Feb 2010,$2.07B
31 Mar 2010,$2.08B
30 Apr 2010,$2.03B
31 May 2010,$1.93B
30 Jun 2010,$1.98B
30 Jul 2010,$1.99B
31 Aug 2010,$1.96B
30 Sep 2010,$1.91B
29 Oct 2010,$1.71B
28 Feb 2011,$1.74B
31 Mar 2011,$1.75B
29 Apr 2011,$1.65B
31 May 2011,$1.62B
30 Jun 2011,$1.59B
31 Aug 2011,$1.67B
30 Sep 2011,$1.75B
31 Oct 2011,$1.59B
30 Nov 2011,$1.61B
31 Jan 2012,$1.7B
29 Feb 2012,$1.71B
30 Mar 2012,$1.77B
30 Apr 2012,$1.66B
31 May 2012,$1.61B
29 Jun 2012,$1.7B
31 Jul 2012,$1.64B
31 Aug 2012,$1.7B
28 Sep 2012,$1.65B
31 Oct 2012,$1.69B
30 Nov 2012,$1.71B
31 Dec 2012,$1.78B
31 Jan 2013,$1.93B
28 Feb 2013,$2.21B
29 Mar 2013,$2.3B
30 Apr 2013,$2.34B
31 May 2013,$2.07B
28 Jun 2013,$2.16B
31 Jul 2013,$2.12B
30 Aug 2013,$2.13B
30 Sep 2013,$2.23B
31 Oct 2013,$2.21B
29 Nov 2013,$2.23B
31 Dec 2013,$2.35B
31 Jan 2014,$2.37B
28 Feb 2014,$2.4B
31 Mar 2014,$2.43B
30 Apr 2014,$2.54B
30 May 2014,$2.81B
30 Jun 2014,$3.18B
31 Jul 2014,$3.41B
29 Aug 2014,$3.4B
30 Sep 2014,$3.5B
31 Oct 2014,$3.77B
28 Nov 2014,$3.68B
31 Dec 2014,$3.63B
30 Jan 2015,$3.75B
27 Feb 2015,$4.1B
31 Mar 2015,$3.89B
30 Apr 2015,$3.84B
29 May 2015,$3.82B
30 Jun 2015,$3.71B
31 Jul 2015,$3.78B
31 Aug 2015,$3.92B
30 Sep 2015,$3.8B
30 Oct 2015,$4.07B
30 Nov 2015,$4.02B
31 Dec 2015,$4.1B
29 Jan 2016,$4.43B
29 Feb 2016,$4.38B
31 Mar 2016,$4.27B
29 Apr 2016,$4.48B
31 May 2016,$4.53B
30 Jun 2016,$4.68B
29 Jul 2016,$4.69B
31 Aug 2016,$4.11B
30 Sep 2016,$4.45B
31 Oct 2016,$4.49B
30 Nov 2016,$4.55B
30 Dec 2016,$4.58B
31 Jan 2017,$4.51B
28 Feb 2017,$4.18B
31 Mar 2017,$4.06B
28 Apr 2017,$4.15B
31 May 2017,$4.19B
30 Jun 2017,$4.25B
31 Jul 2017,$4.1B
31 Aug 2017,$3.99B
29 Sep 2017,$3.93B
31 Oct 2017,$4.13B
30 Nov 2017,$4.44B
29 Dec 2017,$4.6B
31 Jan 2018,$4.7B
28 Feb 2018,$4.53B
30 Mar 2018,$4.47B
30 Apr 2018,$4.82B
31 May 2018,$4.7B
29 Jun 2018,$4.81B
31 Jul 2018,$4.74B
31 Aug 2018,$4.28B
28 Sep 2018,$4.76B
31 Oct 2018,$4.61B
30 Nov 2018,$4.81B
31 Dec 2018,$4.89B
31 Jan 2019,$4.87B
28 Feb 2019,$5.18B
30 Apr 2019,$5.21B
31 May 2019,$5.19B
28 Jun 2019,$5.17B
31 Jul 2019,$5.21B
30 Aug 2019,$5.49B
30 Sep 2019,$5.6B
31 Oct 2019,$5.98B
29 Nov 2019,$6.05B
31 Dec 2019,$5.88B
31 Jan 2020,$5.58B
27 Feb 2020,$5B
28 Feb 2020,$4.89B
31 Mar 2020,$5.26B
1 May 2020,$5.33B
29 May 2020,$5.64B
10 Jun 2020,$5.61B
30 Jun 2020,$5.28B
10 Jul 2020,$5.07B
31 Jul 2020,$4.62B
19 Aug 2020,$5.13B
21 Aug 2020,$5.04B
2 Sep 2020,$5.13B
30 Sep 2020,$5B
22 Oct 2020,$4.75B
30 Oct 2020,$4.82B
12 Nov 2020,$5.33B
19 Nov 2020,$5.37B
30 Nov 2020,$4.98B
10 Dec 2020,$4.79B
17 Dec 2020,$4.71B
24 Dec 2020,$4.52B
31 Dec 2020,$4.72B
8 Jan 2021,$4.67B
15 Jan 2021,$4.77B
22 Jan 2021,$4.64B
29 Jan 2021,$4.61B
1 Feb 2021,$4.57B
15 Feb 2021,$4.99B
19 Feb 2021,$4.8B
2 Mar 2021,$4.7B
5 Mar 2021,$4.77B
11 Mar 2021,$4.78B
17 Mar 2021,$4.92B
26 Mar 2021,$4.79B
2 Apr 2021,$4.53B
8 Apr 2021,$4.41B
16 Apr 2021,$4.37B
22 Apr 2021,$4.27B
30 Apr 2021,$4.35B
7 May 2021,$4.39B
14 May 2021,$3.73B
20 May 2021,$3.44B
31 May 2021,$3.64B
4 Jun 2021,$3.8B
11 Jun 2021,$3.92B
30 Jun 2021,$3.58B
16 Jul 2021,$3.44B
21 Jul 2021,$3.35B
30 Jul 2021,$3.29B
6 Aug 2021,$3.25B
13 Aug 2021,$3.33B
20 Aug 2021,$3.35B
27 Aug 2021,$3.48B
3 Sep 2021,$3.47B
10 Sep 2021,$3.53B
17 Sep 2021,$3.63B
24 Sep 2021,$3.66B
2 Oct 2021,$3.57B
9 Oct 2021,$3.47B
16 Oct 2021,$3.32B
23 Oct 2021,$3.36B
30 Oct 2021,$3.25B
6 Nov 2021,$3.42B
13 Nov 2021,$3.33B
20 Nov 2021,$3.15B
27 Nov 2021,$3.06B
4 Dec 2021,$2.95B
10 Dec 2021,$3.01B
