timeline,Asahi Kasei
30 Sep 2011,$5.78B
31 Oct 2011,$5.79B
30 Nov 2011,$5.66B
30 Dec 2011,$5.72B
31 Jan 2012,$5.94B
29 Feb 2012,$6.35B
30 Mar 2012,$6.3B
30 Apr 2012,$6.11B
31 May 2012,$5.22B
29 Jun 2012,$5.3B
31 Jul 2012,$5.15B
31 Aug 2012,$5.02B
28 Sep 2012,$4.97B
31 Oct 2012,$5.41B
30 Nov 2012,$5.79B
31 Dec 2012,$6.25B
31 Jan 2013,$6.51B
28 Feb 2013,$6.75B
29 Mar 2013,$7.74B
30 Apr 2013,$8.06B
31 May 2013,$8.53B
28 Jun 2013,$8.08B
31 Jul 2013,$7.65B
30 Aug 2013,$8.92B
30 Sep 2013,$9.11B
31 Oct 2013,$9.18B
29 Nov 2013,$9.96B
31 Dec 2013,$10.15B
31 Jan 2014,$9.67B
28 Feb 2014,$8.91B
31 Mar 2014,$8.65B
30 Apr 2014,$8.56B
30 May 2014,$9.36B
30 Jun 2014,$9.55B
31 Jul 2014,$10.13B
29 Aug 2014,$10.28B
30 Sep 2014,$10.97B
31 Oct 2014,$11.11B
28 Nov 2014,$12.71B
31 Dec 2014,$13.62B
30 Jan 2015,$14.44B
27 Feb 2015,$15.23B
31 Mar 2015,$14.15B
30 Apr 2015,$13.94B
29 May 2015,$13.6B
30 Jun 2015,$12.38B
31 Jul 2015,$11.6B
31 Aug 2015,$11.93B
30 Sep 2015,$10.34B
30 Oct 2015,$9.19B
30 Nov 2015,$10.37B
31 Dec 2015,$10.13B
29 Jan 2016,$9.53B
29 Feb 2016,$7.86B
31 Mar 2016,$9.37B
29 Apr 2016,$9.36B
31 May 2016,$9.15B
30 Jun 2016,$8.72B
29 Jul 2016,$9.64B
31 Aug 2016,$10.74B
30 Sep 2016,$9.86B
31 Oct 2016,$11.67B
30 Nov 2016,$12.53B
30 Dec 2016,$12.55B
31 Jan 2017,$12.99B
28 Feb 2017,$13.48B
31 Mar 2017,$13.3B
28 Apr 2017,$13.08B
31 May 2017,$13.11B
30 Jun 2017,$14.87B
31 Jul 2017,$15.57B
31 Aug 2017,$16.22B
29 Sep 2017,$17.05B
31 Oct 2017,$16.86B
30 Nov 2017,$17.3B
29 Dec 2017,$17.9B
31 Jan 2018,$17.54B
28 Feb 2018,$17.04B
30 Mar 2018,$17.23B
30 Apr 2018,$18.56B
31 May 2018,$18.41B
29 Jun 2018,$17.33B
31 Jul 2018,$18.35B
31 Aug 2018,$20.06B
28 Sep 2018,$21.21B
31 Oct 2018,$16.7B
30 Nov 2018,$15.3B
31 Dec 2018,$13.91B
31 Jan 2019,$14.67B
28 Feb 2019,$14.94B
29 Mar 2019,$14.06B
30 Apr 2019,$14.07B
31 May 2019,$13.69B
28 Jun 2019,$14.05B
31 Jul 2019,$13.62B
30 Aug 2019,$11.76B
30 Sep 2019,$13.02B
31 Oct 2019,$14.82B
29 Nov 2019,$14.95B
31 Dec 2019,$15B
31 Jan 2020,$13.84B
27 Feb 2020,$11.6B
6 Mar 2020,$10.44B
31 Mar 2020,$9.36B
29 May 2020,$10.4B
30 Jun 2020,$10.71B
17 Jul 2020,$10.39B
31 Jul 2020,$9.2B
20 Aug 2020,$10.64B
31 Aug 2020,$10.89B
30 Sep 2020,$11.19B
15 Oct 2020,$11.12B
22 Oct 2020,$11.44B
30 Oct 2020,$11.01B
12 Nov 2020,$11.83B
20 Nov 2020,$12.11B
26 Nov 2020,$12.26B
30 Nov 2020,$11.71B
18 Dec 2020,$12.69B
31 Dec 2020,$12.9B
8 Jan 2021,$13.49B
22 Jan 2021,$14B
5 Feb 2021,$14.86B
