timeline,Tōkyō Gas
Dec 2009,$8.82B
Jan 2010,$8.7B
Feb 2010,$9.15B
Mar 2010,$9.79B
Apr 2010,$9.48B
May 2010,$9.43B
Jun 2010,$9.55B
Jul 2010,$9.27B
Aug 2010,$9.25B
Sep 2010,$8.94B
Nov 2010,$8.61B
Dec 2010,$8.49B
Jan 2011,$8.42B
Feb 2011,$8.61B
Mar 2011,$8.96B
Apr 2011,$8.47B
May 2011,$8.16B
Jun 2011,$8.56B
Jul 2011,$8.65B
Aug 2011,$8.28B
Sep 2011,$8.51B
Oct 2011,$7.95B
Nov 2011,$7.78B
Dec 2011,$8.35B
Jan 2012,$8.01B
Feb 2012,$8.44B
Mar 2012,$8.88B
Apr 2012,$8.78B
May 2012,$8.47B
Jun 2012,$9.22B
Jul 2012,$9.06B
Aug 2012,$9.78B
Sep 2012,$9.74B
Oct 2012,$9.58B
Nov 2012,$9.17B
Dec 2012,$8.94B
Jan 2013,$9.76B
Feb 2013,$10.14B
Mar 2013,$11.64B
Apr 2013,$12.59B
May 2013,$12.34B
Jun 2013,$12.41B
Jul 2013,$12.2B
Aug 2013,$11.28B
Sep 2013,$11.9B
Oct 2013,$11.76B
Nov 2013,$11.28B
Dec 2013,$11.45B
Jan 2014,$11.32B
Feb 2014,$11.28B
Mar 2014,$11.59B
Apr 2014,$11.83B
May 2014,$12.73B
Jun 2014,$13.09B
Jul 2014,$13.1B
Aug 2014,$12.7B
Sep 2014,$13.25B
Oct 2014,$13.66B
Nov 2014,$13.91B
Dec 2014,$14.01B
Jan 2015,$15.18B
Feb 2015,$15.65B
Mar 2015,$16.25B
Apr 2015,$14.88B
May 2015,$14.78B
Jun 2015,$13.96B
Jul 2015,$14.39B
Aug 2015,$14.25B
Sep 2015,$12.16B
Oct 2015,$12.66B
Nov 2015,$12.38B
Dec 2015,$12.01B
Jan 2016,$11.57B
Feb 2016,$10.97B
Mar 2016,$11.04B
Apr 2016,$10.21B
May 2016,$9.43B
Jun 2016,$8.85B
Jul 2016,$9.24B
Aug 2016,$9.33B
Sep 2016,$9.05B
Oct 2016,$9.63B
Nov 2016,$10.08B
Dec 2016,$10.69B
Jan 2017,$10.1B
Feb 2017,$10.31B
Mar 2017,$10.24B
Apr 2017,$10.46B
May 2017,$11.62B
Jun 2017,$11.75B
Jul 2017,$11.76B
Aug 2017,$11.72B
Sep 2017,$11.09B
Oct 2017,$11.34B
Nov 2017,$10.59B
Dec 2017,$10.37B
Jan 2018,$10.43B
Feb 2018,$10.8B
Mar 2018,$11.34B
Apr 2018,$11.79B
May 2018,$11.81B
Jun 2018,$11.71B
Jul 2018,$10.79B
Aug 2018,$10.43B
Sep 2018,$11.06B
Oct 2018,$11.02B
Nov 2018,$11.59B
Dec 2018,$11.03B
Jan 2019,$11.32B
Feb 2019,$12.14B
Mar 2019,$11.86B
Apr 2019,$11.2B
May 2019,$10.6B
Jun 2019,$9.97B
Jul 2019,$10.57B
Aug 2019,$10.43B
Sep 2019,$10.58B
Oct 2019,$10.27B
Dec 2019,$10.3B
Jan 2020,$9.35B
Feb 2020,$8.48B
Mar 2020,$9.06B
Mar 2020,$9.92B
Apr 2020,$9.16B
May 2020,$9.98B
Jun 2020,$10.02B
Jul 2020,$9.97B
Jul 2020,$9.94B
Jul 2020,$8.66B
Aug 2020,$8.47B
Aug 2020,$9.11B
Aug 2020,$9.32B
Aug 2020,$9.18B
Aug 2020,$9.15B
Sep 2020,$9.06B
Sep 2020,$9.17B
Sep 2020,$9.26B
Sep 2020,$9.34B
Oct 2020,$9.3B
Oct 2020,$9.22B
Oct 2020,$8.95B
Oct 2020,$8.91B
Oct 2020,$9.18B
Nov 2020,$10.01B
Nov 2020,$9.97B
Nov 2020,$9.8B
Nov 2020,$9.1B
Dec 2020,$8.74B
Dec 2020,$9.26B
Jan 2021,$9.31B
Jan 2021,$9.04B
Jan 2021,$8.89B
Feb 2021,$9.04B
Feb 2021,$8.86B
Feb 2021,$8.89B
Feb 2021,$8.98B
Feb 2021,$8.55B
Mar 2021,$8.71B
Mar 2021,$9.11B
Mar 2021,$9.57B
Mar 2021,$9.88B
Apr 2021,$9.31B
Apr 2021,$9.11B
Apr 2021,$9.01B
Apr 2021,$8.71B
Apr 2021,$8.59B
May 2021,$9.02B
May 2021,$8.67B
May 2021,$8.71B
May 2021,$8.41B
Jun 2021,$8.18B
Jun 2021,$8.45B
Jun 2021,$8.12B
Jul 2021,$7.97B
Jul 2021,$7.96B
Jul 2021,$8.42B
Aug 2021,$8.6B
Aug 2021,$8.65B
Aug 2021,$8.57B
Aug 2021,$8.48B
Sep 2021,$8.7B
Sep 2021,$8.67B
Sep 2021,$8.7B
Sep 2021,$8.67B
Oct 2021,$8.08B
Oct 2021,$7.97B
Oct 2021,$7.37B
Oct 2021,$7.31B
Oct 2021,$7.66B
Nov 2021,$7.78B
Nov 2021,$7.67B
Nov 2021,$7.52B
Nov 2021,$7.75B
Dec 2021,$7.67B
Dec 2021,$7.72B
