timeline,Sysmex
29 May 2015,$13.19B
30 Jun 2015,$13.37B
31 Jul 2015,$14.71B
31 Aug 2015,$13.48B
30 Sep 2015,$11.51B
30 Oct 2015,$12.77B
30 Nov 2015,$14.09B
31 Dec 2015,$14.35B
29 Jan 2016,$14.01B
29 Feb 2016,$12.83B
31 Mar 2016,$12.91B
29 Apr 2016,$12.84B
31 May 2016,$14.85B
30 Jun 2016,$12.83B
29 Jul 2016,$13.17B
31 Aug 2016,$12.24B
30 Sep 2016,$13.65B
31 Oct 2016,$13.38B
30 Nov 2016,$12.65B
30 Dec 2016,$12.43B
31 Jan 2017,$12.41B
28 Feb 2017,$11.91B
31 Mar 2017,$12.4B
28 Apr 2017,$12.45B
31 May 2017,$12.08B
30 Jun 2017,$12.32B
31 Jul 2017,$11.61B
31 Aug 2017,$12.45B
29 Sep 2017,$13.19B
31 Oct 2017,$14.2B
30 Nov 2017,$15.65B
29 Dec 2017,$16.3B
31 Jan 2018,$15.73B
28 Feb 2018,$16.38B
30 Mar 2018,$17.72B
30 Apr 2018,$17.8B
31 May 2018,$18.04B
29 Jun 2018,$19.02B
31 Jul 2018,$19.45B
31 Aug 2018,$17.74B
28 Sep 2018,$17.99B
31 Oct 2018,$14.58B
30 Nov 2018,$11.13B
31 Dec 2018,$9.71B
31 Jan 2019,$11.13B
28 Feb 2019,$12.33B
29 Mar 2019,$12.31B
30 Apr 2019,$11.69B
31 May 2019,$13.86B
28 Jun 2019,$12.94B
31 Jul 2019,$14.63B
30 Aug 2019,$12.49B
30 Sep 2019,$13.32B
31 Oct 2019,$13.05B
29 Nov 2019,$13.97B
31 Dec 2019,$13.72B
31 Jan 2020,$14.54B
27 Feb 2020,$13.15B
28 Feb 2020,$12.74B
1 Apr 2020,$13.86B
30 Apr 2020,$13.7B
29 May 2020,$15.86B
30 Jun 2020,$15.16B
31 Jul 2020,$14.98B
4 Aug 2020,$15.21B
19 Aug 2020,$15.52B
25 Aug 2020,$16.22B
31 Aug 2020,$17.05B
4 Sep 2020,$16.91B
16 Sep 2020,$17.87B
25 Sep 2020,$18.38B
30 Sep 2020,$18.48B
16 Oct 2020,$18.87B
22 Oct 2020,$18.51B
30 Oct 2020,$18.06B
6 Nov 2020,$19.08B
12 Nov 2020,$19.26B
18 Nov 2020,$18.88B
20 Nov 2020,$18.73B
1 Dec 2020,$20.25B
8 Dec 2020,$20.74B
14 Dec 2020,$20.94B
21 Dec 2020,$21.79B
25 Dec 2020,$22.14B
31 Dec 2020,$22.85B
8 Jan 2021,$24.35B
22 Jan 2021,$23.95B
29 Jan 2021,$22.54B
5 Feb 2021,$21.95B
12 Feb 2021,$22.14B
18 Feb 2021,$21.83B
26 Feb 2021,$20.43B
5 Mar 2021,$20.41B
18 Mar 2021,$21.26B
24 Mar 2021,$21.18B
31 Mar 2021,$21.98B
9 Apr 2021,$20.52B
15 Apr 2021,$20.79B
30 Apr 2021,$20.14B
12 May 2021,$19.82B
21 May 2021,$19.98B
31 May 2021,$20.57B
4 Jun 2021,$19.42B
11 Jun 2021,$21.08B
30 Jun 2021,$24.33B
16 Jul 2021,$23.68B
21 Jul 2021,$24.07B
30 Jul 2021,$24.7B
12 Aug 2021,$22.51B
13 Aug 2021,$22.69B
20 Aug 2021,$22.39B
27 Aug 2021,$22.72B
3 Sep 2021,$26.12B
10 Sep 2021,$27.31B
17 Sep 2021,$28.39B
24 Sep 2021,$28.26B
2 Oct 2021,$26.02B
9 Oct 2021,$25.23B
16 Oct 2021,$25.9B
23 Oct 2021,$25.74B
30 Oct 2021,$25.94B
6 Nov 2021,$25.67B
13 Nov 2021,$25.25B
20 Nov 2021,$26.82B
27 Nov 2021,$26.49B
4 Dec 2021,$25.86B
10 Dec 2021,$26.72B
