timeline,Nexon
30 Dec 2011,$4.16B
31 Jan 2012,$4.19B
29 Feb 2012,$4.41B
30 Mar 2012,$5.5B
30 Apr 2012,$5.81B
31 May 2012,$4.73B
29 Jun 2012,$5.93B
31 Jul 2012,$6.2B
31 Aug 2012,$4.32B
28 Sep 2012,$4.1B
31 Oct 2012,$3.73B
30 Nov 2012,$3.54B
31 Dec 2012,$3.33B
31 Jan 2013,$3.69B
28 Feb 2013,$3.23B
29 Mar 2013,$3.52B
30 Apr 2013,$4.55B
31 May 2013,$4.2B
28 Jun 2013,$4.21B
31 Jul 2013,$4.79B
30 Aug 2013,$4.15B
30 Sep 2013,$4.63B
31 Oct 2013,$4.44B
29 Nov 2013,$3.69B
31 Dec 2013,$3.76B
31 Jan 2014,$3.48B
28 Feb 2014,$3.35B
31 Mar 2014,$3.37B
30 Apr 2014,$3.09B
30 May 2014,$3.46B
30 Jun 2014,$3.71B
31 Jul 2014,$3.84B
29 Aug 2014,$3.49B
30 Sep 2014,$3.43B
31 Oct 2014,$3.66B
28 Nov 2014,$4.26B
31 Dec 2014,$4.28B
30 Jan 2015,$4.43B
27 Feb 2015,$4.71B
31 Mar 2015,$4.84B
30 Apr 2015,$5.76B
29 May 2015,$6.34B
30 Jun 2015,$6.38B
31 Jul 2015,$6.44B
31 Aug 2015,$6.41B
30 Sep 2015,$6.05B
30 Oct 2015,$6.45B
30 Nov 2015,$7.46B
31 Dec 2015,$7.57B
29 Jan 2016,$7.42B
29 Feb 2016,$6.48B
31 Mar 2016,$7.36B
29 Apr 2016,$6.38B
31 May 2016,$7B
30 Jun 2016,$5.8B
29 Jul 2016,$5.92B
31 Aug 2016,$5.45B
30 Sep 2016,$6.05B
31 Oct 2016,$6.87B
30 Nov 2016,$6.14B
30 Dec 2016,$6.5B
31 Jan 2017,$6.6B
28 Feb 2017,$7.16B
31 Mar 2017,$6.81B
28 Apr 2017,$7.29B
31 May 2017,$8.05B
30 Jun 2017,$8.59B
31 Jul 2017,$8.89B
31 Aug 2017,$10.63B
29 Sep 2017,$11.37B
31 Oct 2017,$11.83B
30 Nov 2017,$12.53B
29 Dec 2017,$12.77B
31 Jan 2018,$14.07B
28 Feb 2018,$15.06B
30 Mar 2018,$13.69B
30 Apr 2018,$12.47B
31 May 2018,$14.12B
29 Jun 2018,$12.62B
31 Aug 2018,$10.96B
28 Sep 2018,$11.68B
31 Oct 2018,$10.14B
30 Nov 2018,$10.58B
31 Dec 2018,$11.14B
31 Jan 2019,$13.1B
28 Feb 2019,$13.93B
29 Mar 2019,$13.67B
30 Apr 2019,$12.6B
31 May 2019,$12.77B
28 Jun 2019,$12.34B
31 Jul 2019,$13.69B
30 Aug 2019,$11.29B
30 Sep 2019,$10.38B
31 Oct 2019,$9.9B
29 Nov 2019,$11.82B
31 Dec 2019,$11.28B
31 Jan 2020,$11.53B
20 Feb 2020,$14.16B
28 Feb 2020,$13.34B
2 Apr 2020,$13.3B
30 Apr 2020,$13.58B
29 May 2020,$17.48B
30 Jun 2020,$18.97B
22 Jul 2020,$19.2B
31 Jul 2020,$21.25B
7 Aug 2020,$21.53B
13 Aug 2020,$20.5B
14 Aug 2020,$20.33B
19 Aug 2020,$20.32B
2 Sep 2020,$20.3B
9 Sep 2020,$19.8B
16 Sep 2020,$20.94B
24 Sep 2020,$20.27B
30 Sep 2020,$20.45B
8 Oct 2020,$20.62B
15 Oct 2020,$19.84B
22 Oct 2020,$19.23B
30 Oct 2020,$22.8B
12 Nov 2020,$20.06B
19 Nov 2020,$20.64B
26 Nov 2020,$24.49B
30 Nov 2020,$24.64B
3 Dec 2020,$23.82B
10 Dec 2020,$23.03B
17 Dec 2020,$26.17B
24 Dec 2020,$25.23B
31 Dec 2020,$24.87B
8 Jan 2021,$25.46B
22 Jan 2021,$25.5B
29 Jan 2021,$24.88B
5 Feb 2021,$26.09B
12 Feb 2021,$25.89B
19 Feb 2021,$27.77B
26 Feb 2021,$26.24B
18 Mar 2021,$28.39B
24 Mar 2021,$27.18B
31 Mar 2021,$28.12B
9 Apr 2021,$28.15B
16 Apr 2021,$28.39B
22 Apr 2021,$28.47B
28 Apr 2021,$28.27B
30 Apr 2021,$28.39B
11 May 2021,$26.35B
18 May 2021,$21.21B
28 May 2021,$20.4B
31 May 2021,$20.24B
4 Jun 2021,$18.94B
11 Jun 2021,$19.88B
30 Jun 2021,$19.4B
12 Jul 2021,$18.22B
16 Jul 2021,$18.18B
30 Jul 2021,$18.28B
6 Aug 2021,$17.22B
13 Aug 2021,$18.29B
20 Aug 2021,$16.95B
27 Aug 2021,$16.94B
3 Sep 2021,$17.74B
10 Sep 2021,$16.67B
17 Sep 2021,$14.9B
24 Sep 2021,$14.59B
2 Oct 2021,$14.07B
9 Oct 2021,$14.06B
16 Oct 2021,$15.42B
23 Oct 2021,$15.57B
30 Oct 2021,$15.12B
6 Nov 2021,$16.02B
13 Nov 2021,$18.4B
20 Nov 2021,$19.99B
27 Nov 2021,$18.71B
4 Dec 2021,$17.85B
9 Dec 2021,$17.98B
