timeline,Ibiden
31 Mar 2006,$7.84B
28 Apr 2006,$7.13B
31 May 2006,$7.38B
30 Jun 2006,$7.25B
31 Jul 2006,$7.3B
31 Aug 2006,$7.92B
29 Sep 2006,$8.22B
31 Oct 2006,$8.08B
30 Nov 2006,$7.64B
29 Dec 2006,$7.9B
31 Jan 2007,$7.89B
28 Feb 2007,$7.81B
30 Mar 2007,$8.05B
30 Apr 2007,$8.91B
31 May 2007,$8.54B
29 Jun 2007,$10.4B
31 Jul 2007,$11.47B
31 Aug 2007,$12.86B
28 Sep 2007,$12.63B
31 Oct 2007,$12.71B
30 Nov 2007,$11.4B
31 Dec 2007,$10.12B
31 Jan 2008,$8.75B
29 Feb 2008,$6.63B
31 Mar 2008,$5.12B
30 Apr 2008,$5.9B
30 May 2008,$5.8B
30 Jun 2008,$5.04B
31 Jul 2008,$4.21B
29 Aug 2008,$4.24B
30 Sep 2008,$3.25B
31 Oct 2008,$2.34B
28 Nov 2008,$1.95B
31 Dec 2008,$2.37B
30 Jan 2009,$2.43B
27 Feb 2009,$2.5B
31 Mar 2009,$3.09B
30 Apr 2009,$3.74B
29 May 2009,$3.56B
30 Jun 2009,$3.48B
31 Jul 2009,$4.04B
31 Aug 2009,$4.24B
30 Sep 2009,$4.28B
30 Nov 2009,$3.74B
31 Dec 2009,$4.23B
29 Jan 2010,$3.98B
26 Feb 2010,$3.84B
31 Mar 2010,$4.13B
30 Apr 2010,$4.37B
31 May 2010,$3.52B
30 Jun 2010,$3.1B
30 Jul 2010,$3.31B
31 Aug 2010,$2.6B
30 Sep 2010,$2.72B
29 Oct 2010,$2.54B
30 Nov 2010,$2.95B
31 Dec 2010,$3.29B
31 Jan 2011,$3.56B
28 Feb 2011,$3.61B
31 Mar 2011,$3.31B
29 Apr 2011,$3.44B
31 May 2011,$3.32B
30 Jun 2011,$3.16B
29 Jul 2011,$2.95B
31 Aug 2011,$2.35B
30 Sep 2011,$2.09B
31 Oct 2011,$2.23B
30 Dec 2011,$1.92B
31 Jan 2012,$1.96B
29 Feb 2012,$2.47B
30 Mar 2012,$2.82B
30 Apr 2012,$2.19B
31 May 2012,$1.84B
29 Jun 2012,$1.9B
31 Jul 2012,$1.62B
31 Aug 2012,$1.49B
28 Sep 2012,$1.44B
31 Oct 2012,$1.27B
30 Nov 2012,$1.42B
31 Dec 2012,$1.72B
31 Jan 2013,$1.64B
28 Feb 2013,$1.83B
29 Mar 2013,$1.85B
30 Apr 2013,$2.08B
31 May 2013,$1.97B
28 Jun 2013,$1.88B
31 Jul 2013,$1.78B
30 Aug 2013,$1.73B
30 Sep 2013,$1.95B
31 Oct 2013,$2.06B
29 Nov 2013,$2.13B
31 Dec 2013,$2.39B
31 Jan 2014,$2.32B
28 Feb 2014,$2.42B
31 Mar 2014,$2.48B
30 Apr 2014,$2.24B
30 May 2014,$2.26B
30 Jun 2014,$2.48B
31 Jul 2014,$2.53B
29 Aug 2014,$2.49B
30 Sep 2014,$2.6B
31 Oct 2014,$1.99B
28 Nov 2014,$2.15B
31 Dec 2014,$2.18B
30 Jan 2015,$2.17B
27 Feb 2015,$2.45B
31 Mar 2015,$2.47B
30 Apr 2015,$2.56B
29 May 2015,$2.83B
30 Jun 2015,$2.52B
31 Jul 2015,$2.5B
31 Aug 2015,$2.09B
30 Sep 2015,$1.9B
30 Oct 2015,$2.04B
30 Nov 2015,$2.35B
31 Dec 2015,$2.12B
29 Jan 2016,$2.04B
29 Feb 2016,$1.67B
31 Mar 2016,$1.61B
29 Apr 2016,$1.64B
31 May 2016,$1.65B
30 Jun 2016,$1.35B
29 Jul 2016,$1.55B
31 Aug 2016,$1.54B
30 Sep 2016,$1.58B
31 Oct 2016,$1.79B
30 Nov 2016,$1.82B
30 Dec 2016,$1.85B
31 Jan 2017,$1.89B
28 Feb 2017,$2.13B
31 Mar 2017,$2.03B
28 Apr 2017,$2.3B
31 May 2017,$2.33B
30 Jun 2017,$2.27B
31 Jul 2017,$2.25B
31 Aug 2017,$2.14B
29 Sep 2017,$2.1B
31 Oct 2017,$2.21B
30 Nov 2017,$2.1B
29 Dec 2017,$1.98B
31 Jan 2018,$1.99B
28 Feb 2018,$2.04B
30 Mar 2018,$1.86B
30 Apr 2018,$2.23B
31 May 2018,$2.09B
29 Jun 2018,$2.19B
31 Jul 2018,$2.26B
31 Aug 2018,$1.99B
28 Sep 2018,$1.96B
31 Oct 2018,$1.72B
30 Nov 2018,$1.95B
31 Dec 2018,$1.91B
31 Jan 2019,$1.95B
29 Mar 2019,$2.07B
30 Apr 2019,$2.45B
31 May 2019,$2.08B
28 Jun 2019,$2.32B
31 Jul 2019,$2.41B
30 Aug 2019,$2.54B
30 Sep 2019,$2.68B
31 Oct 2019,$3.08B
29 Nov 2019,$3.18B
31 Dec 2019,$3.21B
31 Jan 2020,$3.16B
28 Feb 2020,$2.94B
1 Apr 2020,$2.66B
30 Apr 2020,$3.43B
29 May 2020,$3.51B
30 Jun 2020,$3.87B
31 Jul 2020,$3.5B
20 Aug 2020,$4.27B
31 Aug 2020,$4.1B
16 Sep 2020,$4.44B
23 Sep 2020,$4.48B
30 Sep 2020,$4.37B
30 Oct 2020,$5.21B
5 Nov 2020,$5.53B
13 Nov 2020,$5.3B
20 Nov 2020,$5.44B
30 Nov 2020,$6.02B
11 Dec 2020,$6.23B
31 Dec 2020,$5.93B
8 Jan 2021,$6.02B
22 Jan 2021,$6.37B
29 Jan 2021,$5.99B
12 Feb 2021,$6.05B
26 Feb 2021,$5.33B
5 Mar 2021,$5.63B
18 Mar 2021,$6.1B
26 Mar 2021,$6.32B
2 Apr 2021,$6.55B
8 Apr 2021,$6.65B
14 Apr 2021,$6.49B
28 Apr 2021,$6.7B
30 Apr 2021,$6.38B
14 May 2021,$5.52B
20 May 2021,$5.72B
31 May 2021,$6.26B
4 Jun 2021,$6.68B
11 Jun 2021,$6.84B
30 Jun 2021,$7.37B
16 Jul 2021,$7.14B
21 Jul 2021,$7.06B
30 Jul 2021,$7.33B
6 Aug 2021,$7.55B
13 Aug 2021,$7.28B
20 Aug 2021,$6.83B
27 Aug 2021,$7.35B
3 Sep 2021,$7.87B
10 Sep 2021,$8.57B
17 Sep 2021,$8.55B
2 Oct 2021,$7.56B
9 Oct 2021,$7.06B
16 Oct 2021,$7.28B
23 Oct 2021,$7.54B
30 Oct 2021,$8.37B
6 Nov 2021,$8.46B
13 Nov 2021,$8.42B
20 Nov 2021,$8.37B
27 Nov 2021,$8.53B
4 Dec 2021,$8.95B
9 Dec 2021,$8.58B
