timeline,Santen Pharmaceutical
30 Nov 2016,$5.1B
30 Dec 2016,$5.23B
31 Jan 2017,$5.07B
28 Feb 2017,$5.77B
31 Mar 2017,$5.78B
28 Apr 2017,$5.61B
31 May 2017,$5.46B
31 Jul 2017,$5.58B
31 Aug 2017,$6.11B
29 Sep 2017,$6.35B
31 Oct 2017,$6.45B
30 Nov 2017,$6.14B
29 Dec 2017,$6.35B
31 Jan 2018,$6.39B
28 Feb 2018,$6.17B
30 Mar 2018,$6.15B
30 Apr 2018,$6.62B
31 May 2018,$6.81B
29 Jun 2018,$6.93B
31 Jul 2018,$6.69B
31 Aug 2018,$6.15B
28 Sep 2018,$6.47B
31 Oct 2018,$6.01B
30 Nov 2018,$6.98B
31 Dec 2018,$5.69B
31 Jan 2019,$5.38B
28 Feb 2019,$6.2B
29 Mar 2019,$5.89B
30 Apr 2019,$5.96B
31 May 2019,$5.5B
28 Jun 2019,$6.28B
31 Jul 2019,$6.2B
30 Aug 2019,$6.55B
30 Sep 2019,$6.61B
31 Oct 2019,$6.78B
29 Nov 2019,$7.22B
31 Dec 2019,$7.35B
31 Jan 2020,$7.24B
27 Feb 2020,$6.42B
28 Feb 2020,$6.1B
26 Mar 2020,$6.52B
31 Mar 2020,$6.55B
14 Apr 2020,$6.57B
30 Apr 2020,$6.71B
29 May 2020,$7.01B
16 Jun 2020,$7.06B
30 Jun 2020,$6.99B
10 Jul 2020,$6.54B
31 Jul 2020,$6.27B
20 Aug 2020,$7.12B
24 Sep 2020,$7.39B
30 Sep 2020,$7.57B
22 Oct 2020,$7.06B
30 Oct 2020,$6.54B
5 Nov 2020,$7.1B
12 Nov 2020,$6.11B
19 Nov 2020,$5.84B
30 Nov 2020,$6.11B
3 Dec 2020,$5.97B
10 Dec 2020,$6.02B
17 Dec 2020,$5.8B
24 Dec 2020,$5.82B
31 Dec 2020,$5.9B
8 Jan 2021,$5.94B
15 Jan 2021,$6.02B
22 Jan 2021,$5.93B
29 Jan 2021,$6.11B
9 Feb 2021,$5.95B
19 Feb 2021,$5.51B
1 Mar 2021,$5.24B
11 Mar 2021,$5.23B
19 Mar 2021,$5.55B
26 Mar 2021,$5.43B
1 Apr 2021,$5.41B
7 Apr 2021,$5.32B
16 Apr 2021,$5.18B
30 Apr 2021,$4.94B
13 May 2021,$5.16B
20 May 2021,$5.11B
31 May 2021,$5.17B
4 Jun 2021,$5.12B
11 Jun 2021,$5.48B
30 Jun 2021,$5.4B
9 Jul 2021,$5.34B
20 Jul 2021,$5.31B
30 Jul 2021,$5.42B
6 Aug 2021,$5.43B
13 Aug 2021,$5.89B
20 Aug 2021,$5.79B
27 Aug 2021,$5.84B
3 Sep 2021,$6.21B
10 Sep 2021,$6.19B
17 Sep 2021,$6.07B
24 Sep 2021,$5.92B
2 Oct 2021,$5.54B
9 Oct 2021,$5.4B
16 Oct 2021,$5.54B
23 Oct 2021,$5.57B
30 Oct 2021,$5.63B
6 Nov 2021,$5.88B
13 Nov 2021,$5.53B
20 Nov 2021,$5.44B
27 Nov 2021,$5.45B
4 Dec 2021,$5.22B
10 Dec 2021,$5.06B
