timeline,Shionogi
29 Nov 2019,$17.58B
31 Dec 2019,$18.3B
31 Jan 2020,$17.68B
28 Feb 2020,$15.8B
31 Mar 2020,$14.24B
30 Apr 2020,$15.88B
29 May 2020,$17.04B
30 Jun 2020,$17.77B
13 Jul 2020,$16.44B
22 Jul 2020,$16.77B
31 Jul 2020,$16.48B
14 Aug 2020,$16.41B
20 Aug 2020,$16.45B
2 Sep 2020,$15.48B
16 Sep 2020,$15.23B
30 Sep 2020,$14.82B
8 Oct 2020,$14.43B
15 Oct 2020,$13.95B
23 Oct 2020,$13.32B
30 Oct 2020,$12.96B
20 Nov 2020,$15.2B
26 Nov 2020,$15.59B
4 Dec 2020,$15.34B
11 Dec 2020,$15.25B
31 Dec 2020,$15.23B
8 Jan 2021,$15.89B
22 Jan 2021,$15.29B
5 Feb 2021,$15.83B
12 Feb 2021,$16.15B
19 Feb 2021,$15.87B
26 Feb 2021,$14.55B
10 Mar 2021,$15.84B
30 Mar 2021,$16.15B
31 Mar 2021,$15.91B
16 Apr 2021,$15.22B
22 Apr 2021,$15.09B
30 Apr 2021,$15.27B
11 May 2021,$15.59B
18 May 2021,$15.3B
28 May 2021,$14.94B
4 Jun 2021,$14.96B
11 Jun 2021,$15.39B
16 Jul 2021,$15.21B
6 Aug 2021,$16.58B
13 Aug 2021,$17.87B
20 Aug 2021,$18.69B
27 Aug 2021,$18.72B
3 Sep 2021,$19.57B
17 Sep 2021,$20.58B
24 Sep 2021,$20.46B
2 Oct 2021,$20.33B
9 Oct 2021,$19.86B
16 Oct 2021,$20.34B
30 Oct 2021,$19.65B
6 Nov 2021,$19.91B
13 Nov 2021,$19.52B
20 Nov 2021,$20.74B
4 Dec 2021,$20.63B
9 Dec 2021,$20.75B
