timeline,Oracle Corp Japan
3 Sep 2021,$11B
10 Sep 2021,$11.25B
17 Sep 2021,$11.13B
24 Sep 2021,$12.49B
2 Oct 2021,$11.17B
9 Oct 2021,$11.56B
16 Oct 2021,$11.81B
23 Oct 2021,$11.71B
30 Oct 2021,$12.11B
6 Nov 2021,$11.98B
13 Nov 2021,$11.74B
20 Nov 2021,$12.04B
27 Nov 2021,$12.01B
4 Dec 2021,$11.86B
9 Dec 2021,$11.72B
