timeline,Daiichi Sankyō
Dec 2012,$10.82B
Dec 2013,$12.9B
May 2014,$11.93B
Jun 2014,$13.12B
Jul 2014,$12.89B
Aug 2014,$12.47B
Sep 2014,$11.07B
Oct 2014,$10.68B
Nov 2014,$10.45B
Dec 2014,$9.95B
Jan 2015,$10.2B
Feb 2015,$11.04B
Mar 2015,$11.18B
Apr 2015,$12.34B
May 2015,$13.34B
Jun 2015,$12.99B
Jul 2015,$14.4B
Aug 2015,$13.58B
Sep 2015,$12.16B
Oct 2015,$13.87B
Nov 2015,$14.54B
Dec 2015,$14.67B
Jan 2016,$14.69B
Feb 2016,$14.58B
Mar 2016,$15.22B
Apr 2016,$16.44B
May 2016,$15.89B
Jun 2016,$16.44B
Jul 2016,$16.04B
Aug 2016,$15.77B
Sep 2016,$16.3B
Oct 2016,$16.51B
Nov 2016,$14.47B
Dec 2016,$14.05B
Jan 2017,$15.18B
Feb 2017,$15.52B
Mar 2017,$14.87B
Apr 2017,$14.74B
May 2017,$14.53B
Jun 2017,$15.67B
Jul 2017,$14.45B
Aug 2017,$15.6B
Sep 2017,$14.96B
Oct 2017,$15.26B
Nov 2017,$15.92B
Dec 2017,$17.14B
Jan 2018,$22.05B
Feb 2018,$23.05B
Mar 2018,$21.53B
Apr 2018,$22.27B
May 2018,$20.82B
Jun 2018,$24.83B
Jul 2018,$26.97B
Aug 2018,$25.31B
Sep 2018,$28.13B
Oct 2018,$24.71B
Nov 2018,$23.79B
Dec 2018,$20.61B
Jan 2019,$22.38B
Feb 2019,$24.34B
Mar 2019,$29.85B
Apr 2019,$31.79B
May 2019,$31.13B
Jun 2019,$33.87B
Jul 2019,$39.66B
Aug 2019,$42.7B
Sep 2019,$40.83B
Oct 2019,$42.51B
Nov 2019,$40.59B
Dec 2019,$43B
Jan 2020,$44.26B
Feb 2020,$38.93B
Mar 2020,$41.45B
Mar 2020,$44.58B
Apr 2020,$44.87B
May 2020,$44.77B
May 2020,$60.7B
Jun 2020,$53.04B
Jul 2020,$51.35B
Jul 2020,$50.33B
Jul 2020,$49.94B
Jul 2020,$50.88B
Jul 2020,$59.08B
Jul 2020,$57.31B
Aug 2020,$57.24B
Aug 2020,$58.86B
Aug 2020,$58.1B
Sep 2020,$58.06B
Sep 2020,$56.81B
Sep 2020,$61.67B
Sep 2020,$59.88B
Sep 2020,$59.41B
Oct 2020,$54.85B
Oct 2020,$50.96B
Oct 2020,$49.64B
Oct 2020,$50.62B
Oct 2020,$51.1B
Nov 2020,$63.91B
Nov 2020,$66.21B
Nov 2020,$68.89B
Nov 2020,$69.05B
Dec 2020,$64.81B
Dec 2020,$62.68B
Dec 2020,$66.29B
Jan 2021,$67.91B
Jan 2021,$62.39B
Feb 2021,$59.13B
Feb 2021,$58.92B
Feb 2021,$59.76B
Feb 2021,$54.48B
Mar 2021,$56.02B
Mar 2021,$58.51B
Mar 2021,$57.31B
Mar 2021,$56.18B
Apr 2021,$54.88B
Apr 2021,$52.4B
Apr 2021,$52.35B
Apr 2021,$49.04B
May 2021,$48.84B
May 2021,$48.98B
May 2021,$46.1B
May 2021,$46.14B
May 2021,$44.1B
Jun 2021,$42.41B
Jun 2021,$45.07B
Jun 2021,$37.61B
Jul 2021,$35.38B
Jul 2021,$35.02B
Jul 2021,$36.2B
Aug 2021,$31.41B
Aug 2021,$37.33B
Aug 2021,$41.28B
Aug 2021,$41.67B
Aug 2021,$41.28B
Sep 2021,$44.58B
Sep 2021,$46.04B
Sep 2021,$44.06B
Sep 2021,$44.27B
Sep 2021,$48.61B
Oct 2021,$45.44B
Oct 2021,$46.07B
Oct 2021,$44.05B
Oct 2021,$41.65B
Oct 2021,$45.96B
Nov 2021,$42.6B
Nov 2021,$43.42B
Nov 2021,$47.38B
Nov 2021,$45.37B
Dec 2021,$44.79B
Dec 2021,$41.91B
