timeline,K_Line
31 Jan 2001,$0.92B
28 Feb 2001,$1.01B
30 Mar 2001,$0.97B
30 Apr 2001,$1.22B
31 May 2001,$1.12B
29 Jun 2001,$1.24B
31 Jul 2001,$1.14B
31 Aug 2001,$1.03B
28 Sep 2001,$0.89B
31 Dec 2001,$0.92B
31 Jan 2002,$0.93B
28 Feb 2002,$0.81B
30 Apr 2002,$0.83B
31 May 2002,$0.91B
28 Jun 2002,$0.87B
31 Jul 2002,$0.83B
30 Aug 2002,$0.8B
30 Sep 2002,$0.89B
31 Oct 2002,$0.9B
29 Nov 2002,$1.04B
31 Dec 2002,$1.07B
31 Jan 2003,$1.13B
28 Feb 2003,$1.37B
30 Apr 2003,$1.43B
30 May 2003,$1.42B
30 Jun 2003,$1.52B
31 Jul 2003,$1.47B
29 Aug 2003,$2.08B
30 Sep 2003,$2B
31 Oct 2003,$2.31B
28 Nov 2003,$2.23B
31 Dec 2003,$2.79B
30 Jan 2004,$2.63B
27 Feb 2004,$2.75B
31 Mar 2004,$2.83B
30 Apr 2004,$2.48B
31 May 2004,$2.66B
30 Jun 2004,$2.89B
30 Jul 2004,$2.92B
31 Aug 2004,$3.67B
30 Sep 2004,$3.95B
29 Oct 2004,$3.7B
30 Nov 2004,$3.61B
31 Dec 2004,$3.45B
31 Jan 2005,$3.68B
28 Feb 2005,$4.11B
31 Mar 2005,$3.88B
29 Apr 2005,$3.58B
31 May 2005,$3.38B
30 Jun 2005,$3.45B
29 Jul 2005,$3.61B
31 Aug 2005,$3.79B
30 Sep 2005,$4.29B
31 Oct 2005,$3.78B
30 Nov 2005,$3.72B
30 Dec 2005,$3.88B
31 Jan 2006,$3.95B
28 Feb 2006,$3.82B
31 Mar 2006,$3.64B
28 Apr 2006,$3.75B
31 May 2006,$3.66B
30 Jun 2006,$3.47B
31 Jul 2006,$3.48B
31 Aug 2006,$4B
29 Sep 2006,$3.91B
31 Oct 2006,$4.36B
30 Nov 2006,$4.34B
29 Dec 2006,$4.88B
31 Jan 2007,$5.47B
28 Feb 2007,$6.17B
30 Mar 2007,$6.12B
30 Apr 2007,$7.16B
31 May 2007,$8.08B
29 Jun 2007,$8.25B
31 Jul 2007,$9.02B
31 Aug 2007,$8.19B
28 Sep 2007,$9.24B
31 Oct 2007,$8.66B
30 Nov 2007,$7.2B
31 Dec 2007,$6.01B
31 Jan 2008,$5.63B
29 Feb 2008,$5.94B
31 Mar 2008,$5.46B
30 Apr 2008,$5.95B
30 May 2008,$6.56B
30 Jun 2008,$5.62B
31 Jul 2008,$4.87B
29 Aug 2008,$4.41B
30 Sep 2008,$3.56B
31 Oct 2008,$2.13B
28 Nov 2008,$2.16B
31 Dec 2008,$2.32B
30 Jan 2009,$1.88B
27 Feb 2009,$1.76B
31 Mar 2009,$1.71B
30 Apr 2009,$2.07B
29 May 2009,$2.42B
30 Jun 2009,$2.24B
31 Jul 2009,$2.01B
31 Aug 2009,$2.3B
30 Sep 2009,$1.87B
30 Oct 2009,$1.9B
30 Nov 2009,$1.41B
31 Dec 2009,$1.48B
29 Jan 2010,$1.8B
26 Feb 2010,$1.81B
31 Mar 2010,$2.1B
30 Apr 2010,$2.26B
31 May 2010,$2.08B
30 Jun 2010,$2.06B
30 Jul 2010,$2.07B
31 Aug 2010,$1.76B
30 Nov 2010,$1.96B
31 Dec 2010,$2.01B
31 Jan 2011,$1.92B
28 Feb 2011,$2B
31 Mar 2011,$1.73B
29 Apr 2011,$1.52B
