timeline,Tokyu
30 Apr 2019,$9.71B
31 May 2019,$10.32B
28 Jun 2019,$10.24B
31 Jul 2019,$10.25B
30 Aug 2019,$10.18B
30 Sep 2019,$10.87B
31 Oct 2019,$10.99B
29 Nov 2019,$11.57B
31 Dec 2019,$10.76B
31 Jan 2020,$10.3B
28 Feb 2020,$8.83B
31 Mar 2020,$9.05B
24 Apr 2020,$8.59B
30 Apr 2020,$8.65B
29 May 2020,$9.1B
30 Jun 2020,$8.08B
10 Jul 2020,$7.36B
22 Jul 2020,$7.03B
4 Aug 2020,$6.76B
12 Aug 2020,$7.33B
19 Aug 2020,$7.27B
31 Aug 2020,$7.55B
11 Sep 2020,$7.9B
25 Sep 2020,$7.4B
30 Sep 2020,$7.26B
8 Oct 2020,$7.32B
15 Oct 2020,$6.98B
29 Oct 2020,$6.67B
30 Oct 2020,$6.58B
13 Nov 2020,$7.12B
19 Nov 2020,$7.47B
30 Nov 2020,$6.75B
10 Dec 2020,$6.8B
17 Dec 2020,$6.66B
24 Dec 2020,$6.51B
31 Dec 2020,$6.82B
8 Jan 2021,$6.55B
29 Jan 2021,$6.54B
5 Feb 2021,$7.45B
12 Feb 2021,$7.59B
26 Feb 2021,$7.8B
5 Mar 2021,$7.55B
18 Mar 2021,$8.34B
31 Mar 2021,$7.85B
9 Apr 2021,$7.58B
16 Apr 2021,$7.56B
22 Apr 2021,$7.17B
30 Apr 2021,$7.48B
11 May 2021,$7.52B
21 May 2021,$7.5B
31 May 2021,$7.81B
4 Jun 2021,$8.44B
11 Jun 2021,$8.59B
30 Jun 2021,$8.05B
12 Jul 2021,$8.43B
21 Jul 2021,$7.87B
6 Aug 2021,$8.15B
13 Aug 2021,$8.16B
20 Aug 2021,$7.98B
27 Aug 2021,$8.33B
10 Sep 2021,$8.32B
17 Sep 2021,$8.78B
24 Sep 2021,$8.95B
2 Oct 2021,$8.87B
9 Oct 2021,$8.65B
23 Oct 2021,$8.6B
30 Oct 2021,$8.52B
6 Nov 2021,$8.76B
13 Nov 2021,$9.21B
20 Nov 2021,$8.9B
4 Dec 2021,$8.66B
9 Dec 2021,$8.46B
