timeline,Marubeni
29 Mar 2019,$11.7B
30 Apr 2019,$12.16B
31 May 2019,$10.46B
28 Jun 2019,$10.91B
31 Jul 2019,$10.86B
30 Aug 2019,$10.37B
30 Sep 2019,$10.98B
31 Oct 2019,$11.72B
29 Nov 2019,$12.36B
31 Dec 2019,$12.4B
31 Jan 2020,$12.17B
27 Feb 2020,$11.4B
28 Feb 2020,$10.97B
31 Mar 2020,$8.25B
30 Apr 2020,$8.02B
29 May 2020,$8.01B
30 Jun 2020,$7.46B
31 Jul 2020,$7.42B
18 Aug 2020,$8.85B
31 Aug 2020,$9.79B
10 Sep 2020,$10.05B
17 Sep 2020,$9.76B
30 Sep 2020,$9.1B
22 Oct 2020,$8.91B
30 Oct 2020,$8.31B
12 Nov 2020,$9.32B
20 Nov 2020,$9.31B
26 Nov 2020,$9.8B
8 Dec 2020,$9.77B
14 Dec 2020,$10.45B
21 Dec 2020,$10.37B
31 Dec 2020,$10.5B
8 Jan 2021,$11.13B
22 Jan 2021,$11.05B
29 Jan 2021,$10.62B
12 Feb 2021,$11.25B
22 Feb 2021,$12.04B
1 Mar 2021,$12.48B
11 Mar 2021,$13.42B
19 Mar 2021,$14.31B
26 Mar 2021,$14.38B
7 Apr 2021,$14.12B
13 Apr 2021,$14.02B
22 Apr 2021,$13.66B
30 Apr 2021,$13.9B
7 May 2021,$14.64B
20 May 2021,$13.96B
26 May 2021,$14.53B
4 Jun 2021,$15.52B
11 Jun 2021,$15.32B
30 Jun 2021,$14.79B
20 Jul 2021,$14.09B
6 Aug 2021,$14.44B
13 Aug 2021,$14.59B
20 Aug 2021,$13.39B
27 Aug 2021,$13.36B
3 Sep 2021,$14.17B
17 Sep 2021,$15.07B
24 Sep 2021,$14.28B
2 Oct 2021,$14.09B
9 Oct 2021,$14.36B
16 Oct 2021,$14.64B
30 Oct 2021,$14.69B
6 Nov 2021,$15.54B
13 Nov 2021,$15.63B
20 Nov 2021,$15.71B
4 Dec 2021,$15.93B
9 Dec 2021,$16.14B
