timeline,Asahi Intecc
30 Jun 2006,$0.42B
31 Jul 2006,$0.48B
31 Aug 2006,$0.49B
29 Sep 2006,$0.5B
31 Oct 2006,$0.55B
30 Nov 2006,$0.51B
29 Dec 2006,$0.48B
31 Jan 2007,$0.47B
28 Feb 2007,$0.48B
30 Mar 2007,$0.5B
30 Apr 2007,$0.42B
29 Jun 2007,$0.35B
31 Jul 2007,$0.3B
31 Aug 2007,$0.31B
28 Sep 2007,$0.36B
31 Oct 2007,$0.4B
30 Nov 2007,$0.32B
31 Jan 2008,$0.18B
29 Feb 2008,$0.11B
31 Mar 2008,$85.3M
30 Apr 2008,$86M
30 May 2008,$96.5M
30 Jun 2008,$94.8M
31 Jul 2008,$97.9M
29 Aug 2008,$89.5M
30 Sep 2008,$78.2M
28 Nov 2008,$97.9M
31 Dec 2008,$0.11B
27 Feb 2009,$0.12B
31 Mar 2009,$0.11B
30 Apr 2009,$0.1B
29 May 2009,$0.14B
31 Jul 2009,$0.15B
31 Aug 2009,$0.22B
30 Sep 2009,$0.2B
30 Oct 2009,$0.21B
30 Nov 2009,$0.2B
31 Dec 2009,$0.22B
29 Jan 2010,$0.23B
26 Feb 2010,$0.22B
31 Mar 2010,$0.21B
30 Apr 2010,$0.23B
31 May 2010,$0.22B
30 Jul 2010,$0.21B
31 Aug 2010,$0.2B
30 Sep 2010,$0.19B
31 Dec 2010,$0.2B
31 Jan 2011,$0.19B
28 Feb 2011,$0.24B
29 Apr 2011,$0.22B
31 May 2011,$0.23B
30 Jun 2011,$0.25B
29 Jul 2011,$0.29B
31 Aug 2011,$0.3B
30 Sep 2011,$0.29B
31 Oct 2011,$0.28B
30 Dec 2011,$0.24B
31 Jan 2012,$0.25B
29 Feb 2012,$0.28B
30 Mar 2012,$0.29B
30 Apr 2012,$0.3B
31 May 2012,$0.29B
29 Jun 2012,$0.28B
31 Jul 2012,$0.29B
31 Aug 2012,$0.33B
28 Sep 2012,$0.34B
31 Oct 2012,$0.32B
30 Nov 2012,$0.4B
31 Dec 2012,$0.45B
31 Jan 2013,$0.49B
28 Feb 2013,$0.6B
29 Mar 2013,$0.71B
30 Apr 2013,$0.79B
31 May 2013,$0.73B
28 Jun 2013,$0.66B
31 Jul 2013,$0.72B
30 Aug 2013,$0.81B
30 Sep 2013,$0.9B
31 Oct 2013,$0.93B
29 Nov 2013,$0.99B
31 Dec 2013,$1.11B
31 Jan 2014,$1.17B
28 Feb 2014,$1.23B
31 Mar 2014,$1.17B
30 Apr 2014,$1.06B
30 May 2014,$1.14B
30 Jun 2014,$1.18B
31 Jul 2014,$1.21B
29 Aug 2014,$1.37B
30 Sep 2014,$1.42B
31 Oct 2014,$1.43B
28 Nov 2014,$1.65B
31 Dec 2014,$1.67B
30 Jan 2015,$1.78B
27 Feb 2015,$2.03B
31 Mar 2015,$2.38B
30 Apr 2015,$2.09B
29 May 2015,$2.07B
30 Jun 2015,$2.37B
31 Jul 2015,$2.35B
31 Aug 2015,$2.78B
30 Sep 2015,$2.43B
30 Oct 2015,$2.66B
30 Nov 2015,$3.03B
31 Dec 2015,$3.16B
29 Jan 2016,$3.11B
29 Feb 2016,$2.97B
31 Mar 2016,$2.98B
29 Apr 2016,$3B
31 May 2016,$3.17B
30 Jun 2016,$2.77B
29 Jul 2016,$2.65B
31 Aug 2016,$2.57B
31 Oct 2016,$2.54B
30 Nov 2016,$2.49B
30 Dec 2016,$2.65B
31 Jan 2017,$2.58B
28 Feb 2017,$2.48B
31 Mar 2017,$2.6B
28 Apr 2017,$2.78B
31 May 2017,$2.87B
30 Jun 2017,$2.91B
31 Jul 2017,$2.82B
31 Aug 2017,$3.28B
29 Sep 2017,$3.33B
31 Oct 2017,$3.74B
30 Nov 2017,$4.22B
29 Dec 2017,$4.42B
31 Jan 2018,$4.83B
28 Feb 2018,$4.33B
30 Mar 2018,$4.8B
30 Apr 2018,$4.37B
31 May 2018,$4.46B
29 Jun 2018,$4.78B
31 Jul 2018,$4.86B
31 Aug 2018,$4.83B
28 Sep 2018,$5.65B
31 Oct 2018,$5.26B
30 Nov 2018,$6.1B
31 Dec 2018,$5.32B
31 Jan 2019,$5.41B
28 Feb 2019,$6.14B
29 Mar 2019,$5.96B
30 Apr 2019,$6.44B
31 May 2019,$6.38B
28 Jun 2019,$6.09B
31 Jul 2019,$6.59B
30 Aug 2019,$5.45B
30 Sep 2019,$6.51B
31 Oct 2019,$6.87B
29 Nov 2019,$7.32B
31 Dec 2019,$7.35B
31 Jan 2020,$6.99B
28 Feb 2020,$5.94B
31 Mar 2020,$6.14B
1 May 2020,$6.31B
29 May 2020,$7.58B
30 Jun 2020,$7.04B
6 Jul 2020,$7.07B
31 Jul 2020,$6.77B
5 Aug 2020,$6.86B
13 Aug 2020,$7.09B
31 Aug 2020,$7.23B
24 Sep 2020,$7.18B
30 Sep 2020,$7.59B
23 Oct 2020,$7.32B
30 Oct 2020,$7.44B
6 Nov 2020,$7.75B
13 Nov 2020,$7.63B
20 Nov 2020,$7.53B
30 Nov 2020,$8.79B
4 Dec 2020,$8.6B
18 Dec 2020,$8.3B
31 Dec 2020,$8.66B
8 Jan 2021,$8.48B
29 Jan 2021,$7.91B
5 Feb 2021,$7.56B
15 Feb 2021,$7.49B
22 Feb 2021,$7.54B
26 Feb 2021,$7.03B
1 Mar 2021,$7.14B
12 Mar 2021,$6.86B
18 Mar 2021,$7.16B
25 Mar 2021,$7.13B
7 Apr 2021,$7.07B
13 Apr 2021,$6.92B
30 Apr 2021,$6.77B
7 May 2021,$6.76B
13 May 2021,$6.37B
19 May 2021,$6.69B
28 May 2021,$6.3B
4 Jun 2021,$6.22B
11 Jun 2021,$6.07B
30 Jun 2021,$6.11B
12 Jul 2021,$6.52B
16 Jul 2021,$6.35B
20 Jul 2021,$6.56B
30 Jul 2021,$7.01B
6 Aug 2021,$7.22B
13 Aug 2021,$7.12B
20 Aug 2021,$7.45B
27 Aug 2021,$7.55B
3 Sep 2021,$7.77B
