timeline,Daiwa House
31 May 2011,$5.06B
30 Jun 2011,$5.16B
29 Jul 2011,$5.28B
31 Aug 2011,$4.82B
30 Sep 2011,$5.12B
31 Oct 2011,$5.03B
30 Nov 2011,$4.67B
30 Dec 2011,$4.68B
31 Jan 2012,$4.91B
29 Feb 2012,$5.35B
30 Mar 2012,$5.58B
30 Apr 2012,$5.28B
31 May 2012,$5.1B
29 Jun 2012,$5.75B
31 Jul 2012,$5.7B
31 Aug 2012,$5.56B
28 Sep 2012,$5.78B
31 Oct 2012,$6.17B
30 Nov 2012,$6.43B
31 Dec 2012,$7.55B
31 Jan 2013,$8.57B
28 Feb 2013,$8.68B
29 Mar 2013,$9.29B
30 Apr 2013,$11.23B
31 May 2013,$9.85B
28 Jun 2013,$9.44B
31 Jul 2013,$9.2B
30 Aug 2013,$9.86B
30 Sep 2013,$10.41B
31 Oct 2013,$11.05B
29 Nov 2013,$11.21B
31 Dec 2013,$11.47B
31 Jan 2014,$11.07B
28 Feb 2014,$10.4B
31 Mar 2014,$10.18B
30 Apr 2014,$10.01B
30 May 2014,$11.07B
30 Jun 2014,$12.2B
31 Jul 2014,$12.27B
29 Aug 2014,$11.43B
31 Oct 2014,$12.11B
28 Nov 2014,$13.14B
31 Dec 2014,$13.32B
30 Jan 2015,$12.71B
27 Feb 2015,$13.67B
31 Mar 2015,$13.77B
30 Apr 2015,$15.55B
29 May 2015,$17.35B
30 Jun 2015,$16.57B
31 Jul 2015,$17.93B
31 Aug 2015,$17.47B
30 Sep 2015,$17.27B
30 Oct 2015,$18.73B
30 Nov 2015,$20.09B
31 Dec 2015,$20.53B
29 Jan 2016,$19.69B
29 Feb 2016,$18.11B
31 Mar 2016,$18.53B
29 Apr 2016,$17.34B
31 May 2016,$18.83B
30 Jun 2016,$17.45B
29 Jul 2016,$16.97B
31 Aug 2016,$15.63B
30 Sep 2016,$16.13B
31 Oct 2016,$16.89B
30 Nov 2016,$19.03B
30 Dec 2016,$18.7B
31 Jan 2017,$17.93B
28 Feb 2017,$18.05B
31 Mar 2017,$18.7B
28 Apr 2017,$19.37B
31 May 2017,$21.17B
30 Jun 2017,$22.45B
31 Jul 2017,$22.52B
31 Aug 2017,$22.51B
29 Sep 2017,$22.73B
31 Oct 2017,$24.22B
30 Nov 2017,$24.07B
29 Dec 2017,$25.31B
31 Jan 2018,$25.18B
28 Feb 2018,$23.27B
30 Mar 2018,$23.99B
30 Apr 2018,$23.5B
31 May 2018,$23.13B
29 Jun 2018,$22.13B
31 Jul 2018,$23.84B
31 Aug 2018,$19.86B
28 Sep 2018,$19.74B
31 Oct 2018,$19.98B
30 Nov 2018,$20.92B
31 Dec 2018,$20.47B
31 Jan 2019,$20.64B
28 Feb 2019,$20.16B
29 Mar 2019,$20.6B
30 Apr 2019,$18.21B
31 May 2019,$19.03B
28 Jun 2019,$18.38B
31 Jul 2019,$18.21B
30 Aug 2019,$19.5B
30 Sep 2019,$20.52B
31 Oct 2019,$21.86B
29 Nov 2019,$19.6B
31 Dec 2019,$19.84B
31 Jan 2020,$20.25B
27 Feb 2020,$18.02B
28 Feb 2020,$17.44B
31 Mar 2020,$15.67B
1 May 2020,$15.6B
29 May 2020,$15.61B
30 Jun 2020,$14.76B
10 Jul 2020,$14.03B
31 Jul 2020,$13.49B
19 Aug 2020,$15.42B
31 Aug 2020,$16.38B
30 Sep 2020,$15.56B
8 Oct 2020,$16.77B
15 Oct 2020,$16.52B
22 Oct 2020,$16.65B
30 Oct 2020,$15.77B
5 Nov 2020,$16.43B
20 Nov 2020,$19.26B
8 Dec 2020,$18.86B
22 Dec 2020,$17.12B
31 Dec 2020,$17.67B
5 Jan 2021,$17.3B
18 Jan 2021,$17.62B
1 Feb 2021,$17.22B
12 Feb 2021,$18.85B
18 Feb 2021,$18.87B
3 Mar 2021,$17.99B
12 Mar 2021,$18.74B
18 Mar 2021,$19.98B
24 Mar 2021,$19.07B
2 Apr 2021,$18.49B
15 Apr 2021,$19.21B
22 Apr 2021,$18.78B
30 Apr 2021,$18.66B
12 May 2021,$19.06B
28 May 2021,$18.56B
2 Jun 2021,$19.24B
11 Jun 2021,$18.94B
30 Jun 2021,$19.24B
16 Jul 2021,$19.6B
21 Jul 2021,$19.46B
6 Aug 2021,$20.2B
13 Aug 2021,$20.16B
20 Aug 2021,$19.76B
27 Aug 2021,$19.75B
3 Sep 2021,$20.75B
17 Sep 2021,$23.19B
24 Sep 2021,$22.63B
2 Oct 2021,$21.26B
9 Oct 2021,$21.48B
16 Oct 2021,$21.94B
30 Oct 2021,$21.6B
6 Nov 2021,$21B
13 Nov 2021,$20.08B
20 Nov 2021,$19.5B
4 Dec 2021,$19.45B
9 Dec 2021,$19.29B
