timeline,Workman
26 Feb 2010,$0.21B
31 Oct 2018,$2.57B
31 Dec 2018,$2.63B
31 Jan 2019,$2.84B
28 Feb 2019,$3.07B
29 Mar 2019,$4.1B
30 Apr 2019,$3.87B
31 May 2019,$3.74B
28 Jun 2019,$3.37B
31 Jul 2019,$3.58B
30 Aug 2019,$4.15B
30 Sep 2019,$5.64B
31 Oct 2019,$5.54B
29 Nov 2019,$6.52B
31 Dec 2019,$7.34B
31 Jan 2020,$6.41B
28 Feb 2020,$4.77B
31 Mar 2020,$4.28B
24 Apr 2020,$4.56B
30 Apr 2020,$4.95B
29 May 2020,$6.33B
30 Jun 2020,$6.82B
10 Jul 2020,$7.13B
17 Jul 2020,$7.08B
31 Jul 2020,$7.16B
14 Aug 2020,$6.95B
31 Aug 2020,$6.58B
24 Sep 2020,$6.52B
30 Sep 2020,$6.63B
22 Oct 2020,$6.58B
29 Oct 2020,$6.71B
30 Oct 2020,$6.64B
12 Nov 2020,$6.56B
16 Nov 2020,$6.67B
20 Nov 2020,$6.65B
27 Nov 2020,$6.64B
30 Nov 2020,$6.67B
4 Dec 2020,$6.06B
11 Dec 2020,$6.17B
25 Dec 2020,$6.13B
31 Dec 2020,$6.33B
8 Jan 2021,$6.07B
22 Jan 2021,$5.9B
29 Jan 2021,$6.23B
12 Feb 2021,$6.2B
15 Feb 2021,$6.12B
22 Feb 2021,$5.95B
26 Feb 2021,$5.76B
1 Mar 2021,$5.72B
12 Mar 2021,$5.67B
19 Mar 2021,$5.82B
25 Mar 2021,$5.71B
1 Apr 2021,$5.67B
7 Apr 2021,$5.79B
13 Apr 2021,$5.8B
30 Apr 2021,$5.14B
7 May 2021,$5.44B
14 May 2021,$5.66B
20 May 2021,$5.6B
26 May 2021,$5.46B
31 May 2021,$5.4B
1 Jun 2021,$5.38B
11 Jun 2021,$5.54B
30 Jun 2021,$5.6B
12 Jul 2021,$5.19B
16 Jul 2021,$5.23B
20 Jul 2021,$5.35B
30 Jul 2021,$5.51B
6 Aug 2021,$5.34B
12 Aug 2021,$5.61B
13 Aug 2021,$5.59B
20 Aug 2021,$5.34B
27 Aug 2021,$5.28B
3 Sep 2021,$5.04B
10 Sep 2021,$5.1B
17 Sep 2021,$4.97B
24 Sep 2021,$5.03B
2 Oct 2021,$5.01B
9 Oct 2021,$4.59B
16 Oct 2021,$4.47B
23 Oct 2021,$4.4B
30 Oct 2021,$4.35B
6 Nov 2021,$4.65B
13 Nov 2021,$4.55B
20 Nov 2021,$4.37B
27 Nov 2021,$4.41B
4 Dec 2021,$4.13B
10 Dec 2021,$4.26B
