timeline,Z Holdings
22 Jan 2021,$29.4B
29 Jan 2021,$27.33B
9 Feb 2021,$28.25B
26 Feb 2021,$27.25B
11 Mar 2021,$25.35B
19 Mar 2021,$24.42B
26 Mar 2021,$23.53B
1 Apr 2021,$23.66B
7 Apr 2021,$23.43B
13 Apr 2021,$22.98B
30 Apr 2021,$21.22B
7 May 2021,$20.4B
13 May 2021,$18.58B
20 May 2021,$19.81B
31 May 2021,$21.62B
4 Jun 2021,$21.01B
11 Jun 2021,$21.12B
30 Jun 2021,$37.3B
16 Jul 2021,$38.48B
20 Jul 2021,$38.08B
30 Jul 2021,$38.71B
6 Aug 2021,$42.79B
13 Aug 2021,$43.15B
20 Aug 2021,$45.02B
27 Aug 2021,$47.17B
3 Sep 2021,$50.59B
10 Sep 2021,$48.81B
17 Sep 2021,$51B
24 Sep 2021,$52.11B
2 Oct 2021,$48.99B
9 Oct 2021,$46.93B
16 Oct 2021,$45.77B
23 Oct 2021,$44.22B
6 Nov 2021,$53.05B
13 Nov 2021,$52.2B
20 Nov 2021,$54.84B
27 Nov 2021,$51.09B
4 Dec 2021,$51.05B
10 Dec 2021,$48.76B
