timeline,Bridgestone
31 Dec 2019,$25.26B
31 Jan 2020,$24.21B
28 Feb 2020,$22.38B
3 Apr 2020,$17.9B
14 Apr 2020,$19.06B
1 May 2020,$18.89B
29 May 2020,$20.69B
30 Jun 2020,$20.07B
20 Jul 2020,$20.01B
22 Jul 2020,$19.78B
31 Jul 2020,$17.9B
14 Aug 2020,$19.12B
21 Aug 2020,$19.43B
31 Aug 2020,$19.44B
16 Sep 2020,$19.89B
30 Sep 2020,$19.19B
8 Oct 2020,$20.05B
13 Oct 2020,$19.66B
22 Oct 2020,$19.75B
30 Oct 2020,$19.61B
5 Nov 2020,$19.87B
19 Nov 2020,$21.28B
26 Nov 2020,$21.97B
4 Dec 2020,$21.81B
18 Dec 2020,$19.92B
31 Dec 2020,$19.58B
8 Jan 2021,$21.04B
15 Jan 2021,$22.94B
22 Jan 2021,$23.72B
29 Jan 2021,$22.38B
19 Feb 2021,$23.82B
26 Feb 2021,$24.07B
23 Mar 2021,$25.43B
31 Mar 2021,$27.78B
9 Apr 2021,$27.3B
16 Apr 2021,$27.53B
22 Apr 2021,$27.52B
30 Apr 2021,$27.17B
11 May 2021,$28.36B
17 May 2021,$28.91B
28 May 2021,$30.36B
4 Jun 2021,$30.91B
11 Jun 2021,$30.52B
30 Jun 2021,$31.38B
9 Jul 2021,$30.77B
16 Jul 2021,$29.28B
30 Jul 2021,$30.67B
6 Aug 2021,$30.69B
13 Aug 2021,$32.86B
27 Aug 2021,$31.82B
3 Sep 2021,$33.03B
10 Sep 2021,$33.99B
17 Sep 2021,$34.09B
24 Sep 2021,$34.12B
2 Oct 2021,$32.69B
16 Oct 2021,$32.79B
23 Oct 2021,$31.53B
30 Oct 2021,$31.1B
6 Nov 2021,$31.72B
13 Nov 2021,$30.63B
20 Nov 2021,$30.22B
4 Dec 2021,$29.82B
9 Dec 2021,$31.28B
