timeline,Subaru
28 Feb 2019,$19.11B
29 Mar 2019,$17.05B
30 Apr 2019,$18.39B
31 May 2019,$17.05B
28 Jun 2019,$17.7B
31 Jul 2019,$17.2B
30 Aug 2019,$19.24B
30 Sep 2019,$20.55B
31 Oct 2019,$21.11B
29 Nov 2019,$19.38B
31 Dec 2019,$18.34B
31 Jan 2020,$18.66B
27 Feb 2020,$18.38B
28 Feb 2020,$17.71B
31 Mar 2020,$14.02B
30 Apr 2020,$14.7B
29 May 2020,$16.08B
15 Jun 2020,$15.7B
30 Jun 2020,$15.15B
13 Jul 2020,$15.2B
22 Jul 2020,$15.35B
31 Jul 2020,$13.48B
7 Aug 2020,$13.66B
14 Aug 2020,$15B
20 Aug 2020,$14.79B
2 Sep 2020,$14.72B
9 Sep 2020,$14.75B
16 Sep 2020,$14.58B
30 Sep 2020,$13.74B
8 Oct 2020,$14.34B
15 Oct 2020,$13.75B
22 Oct 2020,$13.99B
30 Oct 2020,$12.88B
19 Nov 2020,$14.5B
26 Nov 2020,$14.59B
3 Dec 2020,$14.33B
10 Dec 2020,$14.34B
24 Dec 2020,$13.92B
31 Dec 2020,$13.94B
8 Jan 2021,$14.26B
22 Jan 2021,$13.81B
5 Feb 2021,$14.33B
19 Feb 2021,$14B
1 Mar 2021,$13.49B
11 Mar 2021,$14.45B
17 Mar 2021,$14.58B
25 Mar 2021,$14.45B
7 Apr 2021,$14.39B
16 Apr 2021,$14.57B
22 Apr 2021,$14.14B
30 Apr 2021,$13.71B
7 May 2021,$14.06B
19 May 2021,$13.76B
28 May 2021,$14.57B
4 Jun 2021,$15.09B
11 Jun 2021,$15.19B
30 Jun 2021,$14.82B
9 Jul 2021,$14.39B
20 Jul 2021,$13.8B
6 Aug 2021,$14.56B
13 Aug 2021,$15.33B
20 Aug 2021,$14.14B
27 Aug 2021,$14.31B
3 Sep 2021,$14.51B
17 Sep 2021,$14.84B
24 Sep 2021,$14.67B
2 Oct 2021,$14.36B
9 Oct 2021,$14.51B
16 Oct 2021,$15.7B
30 Oct 2021,$15.27B
6 Nov 2021,$15.15B
13 Nov 2021,$14.73B
20 Nov 2021,$15.72B
4 Dec 2021,$14.39B
9 Dec 2021,$14.3B
