timeline,Mitsubishi Chemical Holdings
28 Feb 2019,$10.29B
29 Mar 2019,$9.76B
30 Apr 2019,$9.88B
31 May 2019,$8.9B
28 Jun 2019,$9.42B
31 Jul 2019,$9.72B
30 Aug 2019,$9.13B
30 Sep 2019,$9.64B
31 Oct 2019,$10.4B
29 Nov 2019,$10.16B
31 Dec 2019,$10.23B
31 Jan 2020,$10.01B
27 Feb 2020,$9.33B
28 Feb 2020,$9.09B
31 Mar 2020,$8.05B
1 May 2020,$7.43B
29 May 2020,$7.94B
4 Jun 2020,$8.23B
30 Jun 2020,$7.85B
14 Jul 2020,$7.92B
22 Jul 2020,$7.88B
31 Jul 2020,$7.08B
13 Aug 2020,$7.87B
21 Aug 2020,$7.64B
31 Aug 2020,$7.76B
30 Sep 2020,$7.58B
16 Oct 2020,$7.67B
22 Oct 2020,$7.57B
30 Oct 2020,$7.34B
6 Nov 2020,$7.11B
20 Nov 2020,$7.32B
27 Nov 2020,$7.48B
8 Dec 2020,$7.81B
15 Dec 2020,$8.19B
22 Dec 2020,$7.82B
31 Dec 2020,$7.81B
8 Jan 2021,$7.99B
12 Jan 2021,$7.97B
22 Jan 2021,$9.01B
5 Feb 2021,$9.36B
10 Feb 2021,$9.35B
19 Feb 2021,$9.12B
3 Mar 2021,$9.5B
11 Mar 2021,$10.2B
18 Mar 2021,$10.61B
24 Mar 2021,$10.62B
2 Apr 2021,$10.42B
16 Apr 2021,$10.58B
22 Apr 2021,$10.34B
30 Apr 2021,$10.18B
12 May 2021,$10.57B
21 May 2021,$11.05B
28 May 2021,$11.18B
4 Jun 2021,$11.48B
11 Jun 2021,$11.25B
30 Jun 2021,$11.69B
9 Jul 2021,$11.61B
21 Jul 2021,$11.38B
6 Aug 2021,$11.83B
13 Aug 2021,$12.32B
20 Aug 2021,$11.64B
27 Aug 2021,$12.03B
10 Sep 2021,$13.11B
17 Sep 2021,$13.48B
24 Sep 2021,$13.21B
2 Oct 2021,$12.75B
9 Oct 2021,$12.15B
23 Oct 2021,$12.03B
30 Oct 2021,$11.78B
6 Nov 2021,$11.67B
13 Nov 2021,$11.84B
20 Nov 2021,$11.8B
4 Dec 2021,$11.34B
9 Dec 2021,$10.62B
