timeline,Aisin Seiki
30 Nov 2012,$6.05B
31 Dec 2012,$6.62B
31 Jan 2013,$7.42B
28 Feb 2013,$8.33B
29 Mar 2013,$8.57B
30 Apr 2013,$8.73B
31 May 2013,$9.29B
28 Jun 2013,$9.43B
31 Jul 2013,$9.67B
30 Aug 2013,$9.41B
30 Sep 2013,$10.4B
31 Oct 2013,$9.88B
29 Nov 2013,$10.24B
31 Dec 2013,$10.61B
31 Jan 2014,$9.5B
28 Feb 2014,$8.77B
31 Mar 2014,$9.27B
30 Apr 2014,$8.98B
30 May 2014,$9.19B
30 Jun 2014,$10.02B
31 Jul 2014,$10.05B
29 Aug 2014,$9.56B
30 Sep 2014,$9.84B
31 Oct 2014,$9.08B
28 Nov 2014,$10.56B
31 Dec 2014,$10.83B
30 Jan 2015,$10.31B
27 Feb 2015,$10.96B
31 Mar 2015,$10.86B
30 Apr 2015,$13.68B
29 May 2015,$14.3B
30 Jun 2015,$12.98B
31 Jul 2015,$12.53B
31 Aug 2015,$10.91B
30 Sep 2015,$9.97B
30 Oct 2015,$12.05B
30 Nov 2015,$12.28B
31 Dec 2015,$13.06B
29 Jan 2016,$12.58B
29 Feb 2016,$11.26B
31 Mar 2016,$10.59B
29 Apr 2016,$10.81B
31 May 2016,$11.42B
30 Jun 2016,$10.33B
29 Jul 2016,$11.85B
31 Aug 2016,$12.2B
30 Sep 2016,$11.47B
31 Oct 2016,$11.52B
30 Nov 2016,$12.21B
30 Dec 2016,$12.66B
31 Jan 2017,$12.91B
28 Feb 2017,$13.93B
31 Mar 2017,$13.47B
28 Apr 2017,$13.42B
31 May 2017,$13.45B
30 Jun 2017,$14.12B
31 Jul 2017,$14.08B
31 Aug 2017,$13.48B
29 Sep 2017,$14.46B
31 Oct 2017,$14.11B
30 Nov 2017,$14.46B
29 Dec 2017,$15.23B
31 Jan 2018,$15.17B
28 Feb 2018,$14.9B
30 Mar 2018,$13.73B
30 Apr 2018,$14.11B
31 May 2018,$13.02B
29 Jun 2018,$12B
31 Jul 2018,$12.33B
31 Aug 2018,$12.21B
28 Sep 2018,$13.14B
31 Oct 2018,$10.54B
30 Nov 2018,$10.67B
31 Dec 2018,$9.08B
31 Jan 2019,$10.19B
28 Feb 2019,$10.32B
29 Mar 2019,$9.4B
30 Apr 2019,$10.23B
31 May 2019,$8.57B
28 Jun 2019,$8.81B
31 Jul 2019,$8.42B
30 Aug 2019,$7.48B
30 Sep 2019,$8.07B
31 Oct 2019,$10.36B
29 Nov 2019,$9.84B
31 Dec 2019,$9.67B
31 Jan 2020,$8.78B
28 Feb 2020,$8.32B
1 Apr 2020,$6.15B
30 Apr 2020,$7.4B
29 May 2020,$8.07B
30 Jun 2020,$7.46B
31 Jul 2020,$7.18B
7 Aug 2020,$8.17B
20 Aug 2020,$8.65B
31 Aug 2020,$8.66B
16 Sep 2020,$8.14B
23 Sep 2020,$7.82B
30 Sep 2020,$7.96B
22 Oct 2020,$8.21B
30 Oct 2020,$7.47B
5 Nov 2020,$7.28B
12 Nov 2020,$7.73B
16 Nov 2020,$7.9B
20 Nov 2020,$7.58B
30 Nov 2020,$7.35B
4 Dec 2020,$7.51B
11 Dec 2020,$7.24B
31 Dec 2020,$7.35B
8 Jan 2021,$7.62B
22 Jan 2021,$7.38B
29 Jan 2021,$7.62B
15 Feb 2021,$8.73B
22 Feb 2021,$8.65B
26 Feb 2021,$8.61B
5 Mar 2021,$8.89B
25 Mar 2021,$9.68B
1 Apr 2021,$9.85B
7 Apr 2021,$9.66B
13 Apr 2021,$9.69B
22 Apr 2021,$9.05B
30 Apr 2021,$10B
7 May 2021,$10.28B
19 May 2021,$10.13B
31 May 2021,$11.41B
4 Jun 2021,$11.74B
11 Jun 2021,$11.44B
30 Jun 2021,$11.29B
16 Jul 2021,$11.58B
21 Jul 2021,$11.2B
30 Jul 2021,$11.42B
6 Aug 2021,$10.74B
13 Aug 2021,$10.72B
20 Aug 2021,$9.69B
27 Aug 2021,$9.96B
3 Sep 2021,$10.42B
10 Sep 2021,$10.84B
17 Sep 2021,$10.33B
24 Sep 2021,$10.29B
2 Oct 2021,$9.72B
9 Oct 2021,$9.7B
16 Oct 2021,$10.01B
23 Oct 2021,$9.85B
30 Oct 2021,$9.88B
6 Nov 2021,$9.7B
13 Nov 2021,$9.71B
20 Nov 2021,$10.78B
27 Nov 2021,$10.31B
4 Dec 2021,$10.08B
9 Dec 2021,$10.38B
