timeline,Toppan
30 Mar 2001,$5.81B
30 Apr 2001,$7.31B
31 May 2001,$8.11B
29 Jun 2001,$7.91B
31 Jul 2001,$7.51B
31 Aug 2001,$6.96B
28 Sep 2001,$6.66B
31 Oct 2001,$7.03B
30 Nov 2001,$6.94B
31 Dec 2001,$7.46B
31 Jan 2002,$6.33B
28 Feb 2002,$7.09B
29 Mar 2002,$7.28B
30 Apr 2002,$8.01B
31 May 2002,$8.54B
28 Jun 2002,$7.69B
31 Jul 2002,$6.48B
30 Aug 2002,$6.58B
30 Sep 2002,$6.63B
31 Oct 2002,$5.62B
29 Nov 2002,$5.57B
31 Dec 2002,$5.51B
31 Jan 2003,$5.03B
28 Feb 2003,$5.02B
31 Mar 2003,$4.65B
30 Apr 2003,$4.66B
30 May 2003,$4.76B
30 Jun 2003,$5.31B
31 Jul 2003,$5.68B
29 Aug 2003,$5.82B
30 Sep 2003,$5.68B
31 Oct 2003,$6.22B
28 Nov 2003,$6.19B
31 Dec 2003,$6.88B
30 Jan 2004,$7.28B
27 Feb 2004,$7.89B
31 Mar 2004,$8.27B
30 Apr 2004,$8B
31 May 2004,$8.26B
30 Jun 2004,$7.62B
30 Jul 2004,$6.87B
31 Aug 2004,$7.01B
30 Sep 2004,$6.67B
29 Oct 2004,$6.32B
30 Nov 2004,$6.61B
31 Dec 2004,$7.01B
31 Jan 2005,$6.85B
31 Mar 2005,$7.24B
29 Apr 2005,$7.07B
31 May 2005,$6.84B
30 Jun 2005,$7.25B
29 Jul 2005,$6.78B
31 Aug 2005,$6.79B
30 Sep 2005,$7.38B
31 Oct 2005,$6.9B
30 Nov 2005,$8.12B
30 Dec 2005,$8.5B
31 Jan 2006,$9.78B
28 Feb 2006,$9.18B
31 Mar 2006,$10.07B
28 Apr 2006,$9.38B
31 May 2006,$8.67B
30 Jun 2006,$7.98B
31 Jul 2006,$8.14B
31 Aug 2006,$8.19B
29 Sep 2006,$8.08B
31 Oct 2006,$7.91B
30 Nov 2006,$7.67B
29 Dec 2006,$8.11B
31 Jan 2007,$8.01B
28 Feb 2007,$7.38B
30 Mar 2007,$7.59B
30 Apr 2007,$7.53B
31 May 2007,$7.92B
29 Jun 2007,$8.17B
31 Jul 2007,$7.98B
31 Aug 2007,$7.17B
28 Sep 2007,$7.3B
31 Oct 2007,$6.92B
30 Nov 2007,$6.72B
31 Dec 2007,$6.78B
31 Jan 2008,$6.58B
29 Feb 2008,$7.08B
31 Mar 2008,$7.13B
30 May 2008,$7.49B
30 Jun 2008,$7.21B
31 Jul 2008,$6.91B
29 Aug 2008,$6.11B
30 Sep 2008,$5.05B
31 Oct 2008,$4.38B
28 Nov 2008,$4.41B
31 Dec 2008,$4.22B
30 Jan 2009,$3.79B
27 Feb 2009,$3.64B
31 Mar 2009,$3.88B
30 Apr 2009,$4.3B
29 May 2009,$4.97B
30 Jun 2009,$5.65B
31 Jul 2009,$5.6B
31 Aug 2009,$5.32B
30 Sep 2009,$4.92B
30 Oct 2009,$4.78B
30 Nov 2009,$4.06B
31 Dec 2009,$4.35B
29 Jan 2010,$4.58B
26 Feb 2010,$4.47B
31 Mar 2010,$4.8B
30 Apr 2010,$4.9B
31 May 2010,$4.42B
30 Jun 2010,$4.03B
30 Jul 2010,$4.06B
31 Aug 2010,$3.64B
30 Sep 2010,$3.72B
29 Oct 2010,$3.69B
30 Nov 2010,$3.98B
31 Dec 2010,$4.22B
31 Jan 2011,$4.24B
28 Feb 2011,$4.26B
31 Mar 2011,$3.72B
29 Apr 2011,$3.6B
31 May 2011,$3.52B
30 Jun 2011,$3.53B
29 Jul 2011,$3.46B
31 Aug 2011,$3.22B
30 Sep 2011,$3.23B
31 Oct 2011,$3.5B
30 Nov 2011,$3.17B
30 Dec 2011,$3.21B
31 Jan 2012,$3.46B
29 Feb 2012,$3.63B
30 Mar 2012,$3.66B
30 Apr 2012,$3.08B
31 May 2012,$2.71B
29 Jun 2012,$3B
31 Jul 2012,$2.77B
31 Aug 2012,$2.6B
28 Sep 2012,$2.57B
31 Oct 2012,$2.61B
30 Nov 2012,$2.89B
31 Dec 2012,$3.02B
31 Jan 2013,$3.21B
28 Feb 2013,$3.54B
29 Mar 2013,$3.83B
30 Apr 2013,$4.2B
31 May 2013,$3.79B
28 Jun 2013,$3.9B
31 Jul 2013,$3.77B
30 Aug 2013,$4.09B
30 Sep 2013,$4.48B
31 Oct 2013,$4.38B
29 Nov 2013,$4.69B
31 Dec 2013,$4.76B
31 Jan 2014,$4.28B
31 Mar 2014,$4.18B
30 Apr 2014,$3.98B
30 May 2014,$4.27B
30 Jun 2014,$4.44B
31 Jul 2014,$4.49B
29 Aug 2014,$4.33B
30 Sep 2014,$4.46B
31 Oct 2014,$4.23B
28 Nov 2014,$4.33B
31 Dec 2014,$4.46B
30 Jan 2015,$4.48B
27 Feb 2015,$4.86B
31 Mar 2015,$5.23B
30 Apr 2015,$5.69B
29 May 2015,$5.95B
30 Jun 2015,$5.78B
31 Jul 2015,$6.09B
31 Aug 2015,$5.69B
30 Sep 2015,$5.43B
30 Oct 2015,$6.16B
30 Nov 2015,$6.1B
31 Dec 2015,$6.32B
29 Jan 2016,$5.87B
29 Feb 2016,$5.38B
31 Mar 2016,$5.33B
29 Apr 2016,$5.35B
31 May 2016,$5.66B
30 Jun 2016,$4.96B
29 Jul 2016,$5.15B
31 Aug 2016,$5.21B
30 Sep 2016,$5.13B
31 Oct 2016,$5.58B
30 Nov 2016,$5.86B
30 Dec 2016,$6.3B
31 Jan 2017,$6.26B
28 Feb 2017,$6.39B
31 Mar 2017,$6.44B
28 Apr 2017,$6.37B
31 May 2017,$6.93B
30 Jun 2017,$7B
31 Jul 2017,$6.62B
31 Aug 2017,$6.25B
29 Sep 2017,$6.34B
31 Oct 2017,$6.52B
30 Nov 2017,$5.94B
29 Dec 2017,$5.79B
31 Jan 2018,$5.82B
28 Feb 2018,$5.22B
30 Mar 2018,$4.96B
30 Apr 2018,$5.2B
31 May 2018,$5.04B
29 Jun 2018,$4.93B
31 Jul 2018,$4.88B
31 Aug 2018,$4.92B
28 Sep 2018,$5.18B
31 Oct 2018,$4.54B
30 Nov 2018,$5.19B
31 Dec 2018,$4.59B
31 Jan 2019,$5.06B
28 Feb 2019,$5.03B
29 Mar 2019,$4.74B
30 Apr 2019,$5.11B
31 May 2019,$4.5B
28 Jun 2019,$4.64B
31 Jul 2019,$5.05B
30 Sep 2019,$5.71B
31 Oct 2019,$6B
29 Nov 2019,$6.5B
31 Dec 2019,$6.75B
31 Jan 2020,$6.56B
28 Feb 2020,$5.62B
31 Mar 2020,$5.06B
30 Apr 2020,$4.92B
2 Jun 2020,$5.58B
19 Jun 2020,$5.48B
30 Jun 2020,$5.49B
14 Jul 2020,$5.19B
22 Jul 2020,$5.23B
