timeline,Yaskawa
31 Oct 2018,$7.62B
30 Nov 2018,$8.26B
31 Dec 2018,$6.3B
31 Jan 2019,$7.14B
28 Feb 2019,$7.36B
29 Mar 2019,$8.09B
30 Apr 2019,$9.53B
31 May 2019,$7.3B
28 Jun 2019,$8.48B
31 Jul 2019,$8.45B
30 Aug 2019,$8.27B
30 Sep 2019,$9.18B
31 Oct 2019,$9.68B
29 Nov 2019,$9.31B
31 Dec 2019,$9.66B
31 Jan 2020,$8.97B
28 Feb 2020,$7.84B
31 Mar 2020,$6.86B
1 May 2020,$7.96B
29 May 2020,$8.92B
10 Jun 2020,$8.98B
30 Jun 2020,$8.59B
13 Jul 2020,$9.44B
31 Jul 2020,$8.03B
7 Aug 2020,$8.17B
20 Aug 2020,$8.53B
31 Aug 2020,$8.8B
23 Sep 2020,$9.19B
30 Sep 2020,$9.44B
22 Oct 2020,$9.61B
30 Oct 2020,$9.3B
5 Nov 2020,$9.67B
13 Nov 2020,$10.29B
20 Nov 2020,$10.89B
30 Nov 2020,$11.6B
11 Dec 2020,$11.16B
25 Dec 2020,$11.57B
31 Dec 2020,$11.83B
8 Jan 2021,$12.63B
15 Jan 2021,$13.58B
22 Jan 2021,$13.16B
29 Jan 2021,$12.36B
5 Feb 2021,$12.86B
12 Feb 2021,$13.28B
19 Feb 2021,$13.23B
3 Mar 2021,$12.4B
11 Mar 2021,$12.17B
2 Apr 2021,$13.37B
9 Apr 2021,$13.63B
16 Apr 2021,$12.63B
22 Apr 2021,$11.99B
30 Apr 2021,$11.62B
11 May 2021,$11.42B
21 May 2021,$11.24B
31 May 2021,$12.24B
11 Jun 2021,$11.8B
30 Jun 2021,$12.52B
9 Jul 2021,$12.47B
16 Jul 2021,$12.54B
21 Jul 2021,$12.13B
30 Jul 2021,$12.97B
12 Aug 2021,$13.51B
13 Aug 2021,$13.47B
20 Aug 2021,$12.27B
27 Aug 2021,$12.67B
3 Sep 2021,$13.7B
10 Sep 2021,$14.03B
17 Sep 2021,$14.6B
24 Sep 2021,$13.85B
2 Oct 2021,$12.11B
9 Oct 2021,$12.07B
16 Oct 2021,$11.77B
23 Oct 2021,$11.37B
30 Oct 2021,$11.32B
6 Nov 2021,$11.96B
13 Nov 2021,$11.98B
20 Nov 2021,$12.09B
27 Nov 2021,$12.42B
4 Dec 2021,$12.4B
10 Dec 2021,$13.17B
