timeline,Capcom
17 Sep 2021,$6.58B
24 Sep 2021,$6.48B
2 Oct 2021,$5.84B
9 Oct 2021,$5.6B
16 Oct 2021,$5.96B
23 Oct 2021,$6.33B
30 Oct 2021,$5.75B
6 Nov 2021,$5.78B
13 Nov 2021,$6.02B
20 Nov 2021,$5.71B
27 Nov 2021,$5.46B
4 Dec 2021,$5.25B
10 Dec 2021,$5.34B
