timeline,Square Enix
24 Sep 2021,$6.88B
2 Oct 2021,$6.2B
9 Oct 2021,$6.3B
16 Oct 2021,$6.33B
23 Oct 2021,$6.45B
30 Oct 2021,$6.55B
6 Nov 2021,$6.8B
13 Nov 2021,$7B
20 Nov 2021,$6.85B
27 Nov 2021,$6.4B
4 Dec 2021,$6.32B
10 Dec 2021,$6.39B
