timeline,Mitsubishi Heavy Industries
30 Nov 2018,$12.79B
31 Dec 2018,$11.72B
31 Jan 2019,$12.46B
28 Feb 2019,$13.42B
29 Mar 2019,$13.62B
30 Apr 2019,$13.68B
31 May 2019,$14.1B
28 Jun 2019,$13.89B
31 Jul 2019,$13.35B
30 Aug 2019,$11.82B
30 Sep 2019,$12.53B
31 Oct 2019,$13.03B
29 Nov 2019,$12.4B
31 Dec 2019,$12.58B
31 Jan 2020,$11.92B
28 Feb 2020,$10.12B
6 Mar 2020,$9.59B
31 Mar 2020,$8.09B
20 Apr 2020,$7.85B
30 Apr 2020,$8.19B
29 May 2020,$8.26B
30 Jun 2020,$7.53B
17 Jul 2020,$7.89B
31 Jul 2020,$7.25B
19 Aug 2020,$7.79B
2 Sep 2020,$7.64B
16 Sep 2020,$7.5B
30 Sep 2020,$6.9B
15 Oct 2020,$6.5B
22 Oct 2020,$6.59B
30 Oct 2020,$6.62B
12 Nov 2020,$7.26B
20 Nov 2020,$7.71B
27 Nov 2020,$7.44B
30 Nov 2020,$6.97B
18 Dec 2020,$8.87B
31 Dec 2020,$9.35B
8 Jan 2021,$9.74B
29 Jan 2021,$8.88B
12 Feb 2021,$8.96B
1 Mar 2021,$9.19B
5 Mar 2021,$9.67B
19 Mar 2021,$10.81B
26 Mar 2021,$10.48B
7 Apr 2021,$10.01B
13 Apr 2021,$10.03B
22 Apr 2021,$9.52B
30 Apr 2021,$9.62B
7 May 2021,$9.9B
20 May 2021,$9.75B
26 May 2021,$9.67B
4 Jun 2021,$10.56B
11 Jun 2021,$10.05B
30 Jun 2021,$9.69B
20 Jul 2021,$9.08B
6 Aug 2021,$9.19B
13 Aug 2021,$9.2B
20 Aug 2021,$8.62B
27 Aug 2021,$8.81B
10 Sep 2021,$9.28B
17 Sep 2021,$9.32B
24 Sep 2021,$9.19B
2 Oct 2021,$8.85B
23 Oct 2021,$8.8B
30 Oct 2021,$8.61B
6 Nov 2021,$8.46B
13 Nov 2021,$8.39B
20 Nov 2021,$8.37B
4 Dec 2021,$7.82B
10 Dec 2021,$7.99B
