timeline,Osaka Gas
30 Apr 2019,$7.54B
31 May 2019,$7.07B
28 Jun 2019,$6.88B
31 Jul 2019,$7.35B
30 Aug 2019,$6.98B
30 Sep 2019,$7.58B
31 Oct 2019,$7.79B
29 Nov 2019,$7.53B
31 Dec 2019,$7.67B
31 Jan 2020,$6.81B
28 Feb 2020,$6.4B
31 Mar 2020,$7.47B
17 Apr 2020,$7.82B
30 Apr 2020,$7.33B
29 May 2020,$7.9B
30 Jun 2020,$7.8B
31 Jul 2020,$7.13B
19 Aug 2020,$7.82B
31 Aug 2020,$7.6B
30 Sep 2020,$7.52B
8 Oct 2020,$7.47B
22 Oct 2020,$7.13B
30 Oct 2020,$7.27B
12 Nov 2020,$7.94B
20 Nov 2020,$8.06B
27 Nov 2020,$7.67B
4 Dec 2020,$7.33B
25 Dec 2020,$7.51B
31 Dec 2020,$7.75B
8 Jan 2021,$7.77B
29 Jan 2021,$7.09B
12 Feb 2021,$7.24B
19 Feb 2021,$7.17B
1 Mar 2021,$7.1B
19 Mar 2021,$7.95B
25 Mar 2021,$8.08B
7 Apr 2021,$7.65B
16 Apr 2021,$7.52B
22 Apr 2021,$7.41B
30 Apr 2021,$7.73B
7 May 2021,$7.93B
19 May 2021,$7.99B
26 May 2021,$7.69B
4 Jun 2021,$7.5B
11 Jun 2021,$7.75B
30 Jun 2021,$7.59B
20 Jul 2021,$7.44B
6 Aug 2021,$7.99B
13 Aug 2021,$7.97B
20 Aug 2021,$7.95B
27 Aug 2021,$7.79B
10 Sep 2021,$8.15B
17 Sep 2021,$8.12B
24 Sep 2021,$8.07B
2 Oct 2021,$7.53B
9 Oct 2021,$7.46B
23 Oct 2021,$6.89B
30 Oct 2021,$6.72B
6 Nov 2021,$6.74B
13 Nov 2021,$6.65B
20 Nov 2021,$6.62B
4 Dec 2021,$6.85B
