timeline,Sharp Corporation
28 Feb 2019,$6.11B
29 Mar 2019,$5.72B
30 Apr 2019,$5.8B
31 May 2019,$4.64B
28 Jun 2019,$5.55B
31 Jul 2019,$6.47B
30 Aug 2019,$5.14B
30 Sep 2019,$5.61B
31 Oct 2019,$5.91B
29 Nov 2019,$7.76B
31 Dec 2019,$7.91B
31 Jan 2020,$7.14B
28 Feb 2020,$5.91B
31 Mar 2020,$5.33B
30 Apr 2020,$5.63B
29 May 2020,$5.48B
30 Jun 2020,$5.38B
31 Jul 2020,$4.83B
7 Aug 2020,$5.79B
31 Aug 2020,$6.18B
10 Sep 2020,$6.27B
30 Sep 2020,$6.09B
30 Oct 2020,$5.63B
19 Nov 2020,$6.05B
26 Nov 2020,$6.86B
4 Dec 2020,$6.64B
11 Dec 2020,$6.55B
18 Dec 2020,$6.96B
31 Dec 2020,$7.34B
8 Jan 2021,$7.98B
29 Jan 2021,$10.2B
5 Feb 2021,$10.63B
12 Feb 2021,$10.94B
26 Feb 2021,$9.45B
11 Mar 2021,$9.22B
18 Mar 2021,$9.9B
30 Mar 2021,$10.46B
31 Mar 2021,$10.3B
16 Apr 2021,$10.05B
22 Apr 2021,$9.85B
30 Apr 2021,$9.96B
12 May 2021,$10B
18 May 2021,$10.25B
28 May 2021,$11.1B
4 Jun 2021,$10.87B
11 Jun 2021,$10.2B
30 Jun 2021,$9.91B
20 Jul 2021,$9.17B
6 Aug 2021,$8.81B
13 Aug 2021,$8.57B
20 Aug 2021,$8.03B
27 Aug 2021,$8.08B
10 Sep 2021,$8.15B
17 Sep 2021,$7.84B
24 Sep 2021,$7.75B
2 Oct 2021,$7.52B
9 Oct 2021,$7.38B
23 Oct 2021,$7.37B
30 Oct 2021,$7.22B
6 Nov 2021,$7.28B
13 Nov 2021,$7.11B
20 Nov 2021,$7.31B
4 Dec 2021,$6.86B
10 Dec 2021,$7.01B
