timeline,AGC
29 Dec 2017,$9.76B
31 Jan 2018,$9.54B
28 Feb 2018,$8.88B
30 Mar 2018,$8.78B
30 Apr 2018,$8.92B
31 May 2018,$8.76B
29 Jun 2018,$8.48B
31 Jul 2018,$9.31B
31 Aug 2018,$8.76B
28 Sep 2018,$9.28B
31 Oct 2018,$7.24B
30 Nov 2018,$7.53B
31 Dec 2018,$6.69B
31 Jan 2019,$7.19B
28 Feb 2019,$7.53B
29 Mar 2019,$7.57B
30 Apr 2019,$7.38B
31 May 2019,$6.82B
28 Jun 2019,$7.26B
31 Jul 2019,$6.53B
30 Aug 2019,$5.98B
30 Sep 2019,$6.53B
31 Oct 2019,$7.47B
29 Nov 2019,$7.79B
31 Dec 2019,$7.67B
31 Jan 2020,$7.32B
21 Feb 2020,$6.77B
28 Feb 2020,$6.05B
31 Mar 2020,$5.19B
30 Apr 2020,$5.26B
29 May 2020,$5.95B
30 Jun 2020,$5.98B
31 Jul 2020,$5.77B
12 Aug 2020,$6.16B
21 Aug 2020,$5.82B
31 Aug 2020,$5.86B
30 Sep 2020,$5.99B
9 Oct 2020,$6.1B
16 Oct 2020,$6.27B
21 Oct 2020,$6.41B
30 Oct 2020,$6.33B
6 Nov 2020,$6.42B
13 Nov 2020,$6.75B
20 Nov 2020,$6.85B
30 Nov 2020,$6.78B
1 Dec 2020,$6.93B
8 Dec 2020,$6.79B
15 Dec 2020,$6.93B
25 Dec 2020,$7.25B
31 Dec 2020,$7.02B
12 Jan 2021,$7.26B
25 Jan 2021,$7.47B
29 Jan 2021,$7.08B
5 Feb 2021,$7.55B
12 Feb 2021,$7.08B
26 Feb 2021,$7.61B
12 Mar 2021,$8.54B
18 Mar 2021,$8.6B
24 Mar 2021,$8.59B
31 Mar 2021,$9.03B
6 Apr 2021,$8.95B
12 Apr 2021,$9.45B
22 Apr 2021,$9.74B
30 Apr 2021,$9.72B
7 May 2021,$9.93B
13 May 2021,$9.52B
19 May 2021,$9.29B
25 May 2021,$9.42B
4 Jun 2021,$9.5B
11 Jun 2021,$9.42B
30 Jun 2021,$9.09B
16 Jul 2021,$9.16B
19 Jul 2021,$8.94B
30 Jul 2021,$9.42B
6 Aug 2021,$9.92B
20 Aug 2021,$9.8B
27 Aug 2021,$10.21B
3 Sep 2021,$11.03B
10 Sep 2021,$11.38B
17 Sep 2021,$11.6B
24 Sep 2021,$11.83B
2 Oct 2021,$11.25B
9 Oct 2021,$11.01B
16 Oct 2021,$11.21B
23 Oct 2021,$11.07B
30 Oct 2021,$11.04B
6 Nov 2021,$11.39B
13 Nov 2021,$11.19B
20 Nov 2021,$10.88B
27 Nov 2021,$11B
4 Dec 2021,$10.91B
9 Dec 2021,$11.03B
