timeline,Nippon Yūsen
Nov 2004,$5.94B
Dec 2004,$5.98B
Jan 2005,$6.23B
Feb 2005,$6.79B
Mar 2005,$7B
Apr 2005,$6.75B
May 2005,$6.43B
Jun 2005,$6.91B
Jul 2005,$7.05B
Aug 2005,$7.53B
Sep 2005,$8.24B
Oct 2005,$7.58B
Nov 2005,$7.91B
Dec 2005,$8.75B
Jan 2006,$9.39B
Feb 2006,$8.25B
Mar 2006,$7.79B
Apr 2006,$7.56B
May 2006,$7.85B
Jun 2006,$8.06B
Jul 2006,$7.99B
Aug 2006,$7.87B
Sep 2006,$7.79B
Oct 2006,$8.22B
Nov 2006,$8.78B
Dec 2006,$9.42B
Jan 2007,$10B
Feb 2007,$10.13B
Mar 2007,$10.24B
Apr 2007,$11.19B
May 2007,$12.16B
Jun 2007,$12.25B
Jul 2007,$13.05B
Aug 2007,$12.4B
Sep 2007,$12.15B
Oct 2007,$12.78B
Nov 2007,$10.35B
Dec 2007,$9.62B
Jan 2008,$9.39B
Feb 2008,$10.66B
Mar 2008,$10.14B
Apr 2008,$10.94B
May 2008,$11.61B
Jun 2008,$11.06B
Jul 2008,$10.05B
Aug 2008,$9.51B
Sep 2008,$7.24B
Oct 2008,$5.05B
Nov 2008,$5.6B
Dec 2008,$5.9B
Jan 2009,$4.66B
Feb 2009,$4.44B
Mar 2009,$4.08B
Apr 2009,$4.35B
May 2009,$4.93B
Jun 2009,$4.51B
Jul 2009,$4.38B
Aug 2009,$4.36B
Sep 2009,$3.75B
Oct 2009,$3.69B
Nov 2009,$2.91B
Dec 2009,$3.08B
Jan 2010,$3.38B
Feb 2010,$3.48B
Mar 2010,$5.52B
Apr 2010,$5.8B
May 2010,$4.89B
Jul 2010,$5.47B
Aug 2010,$4.84B
Sep 2010,$5.11B
Oct 2010,$5.07B
Nov 2010,$5.46B
Dec 2010,$5.38B
Jan 2011,$5.37B
Feb 2011,$5.38B
Mar 2011,$4.86B
Apr 2011,$4.45B
May 2011,$4.57B
Jun 2011,$4.45B
Jul 2011,$4.23B
Aug 2011,$3.45B
Sep 2011,$3.15B
Oct 2011,$3B
Nov 2011,$2.52B
Dec 2011,$2.94B
Jan 2012,$2.88B
Feb 2012,$3.62B
Mar 2012,$3.89B
Apr 2012,$3.56B
May 2012,$3.14B
Jun 2012,$3.13B
Jul 2012,$2.61B
Aug 2012,$2.36B
Sep 2012,$2.06B
Oct 2012,$2.27B
Nov 2012,$2.61B
Dec 2012,$3B
Jan 2013,$3.27B
Feb 2013,$3.48B
Mar 2013,$3.63B
Apr 2013,$3.79B
May 2013,$3.97B
Jun 2013,$3.93B
Jul 2013,$4.06B
Aug 2013,$4.18B
Sep 2013,$4.63B
Oct 2013,$4.47B
Nov 2013,$4.73B
Dec 2013,$5.02B
Jan 2014,$4.79B
Feb 2014,$4.85B
Mar 2014,$4.48B
Apr 2014,$4.14B
May 2014,$4.48B
Jun 2014,$4.36B
Jul 2014,$4.44B
Aug 2014,$4.57B
Sep 2014,$4.32B
Oct 2014,$4.27B
Nov 2014,$5B
Dec 2014,$5.11B
Jan 2015,$5.26B
Feb 2015,$5.36B
Mar 2015,$5.17B
Apr 2015,$5.64B
May 2015,$5.61B
Jun 2015,$5.09B
Jul 2015,$5.06B
Aug 2015,$4.76B
Sep 2015,$4.12B
Oct 2015,$4.75B
Nov 2015,$4.78B
Dec 2015,$4.4B
Jan 2016,$3.82B
Feb 2016,$3.11B
Mar 2016,$3.24B
Apr 2016,$3.4B
May 2016,$3.14B
Jun 2016,$2.67B
Jul 2016,$2.75B
Aug 2016,$2.81B
Oct 2016,$3.21B
Nov 2016,$3.17B
Dec 2016,$3.24B
Jan 2017,$3.58B
Feb 2017,$3.7B
Mar 2017,$3.49B
Apr 2017,$3.33B
May 2017,$2.98B
Jun 2017,$3.1B
Jul 2017,$3.13B
Aug 2017,$3.24B
Sep 2017,$3.47B
Oct 2017,$3.54B
Nov 2017,$3.89B
Dec 2017,$4.08B
Jan 2018,$4.06B
Feb 2018,$3.46B
Mar 2018,$3.19B
Apr 2018,$3.47B
May 2018,$3.3B
Jun 2018,$3.27B
Jul 2018,$3.19B
Aug 2018,$3.11B
Sep 2018,$3.17B
Oct 2018,$2.71B
Nov 2018,$2.86B
Dec 2018,$2.51B
Jan 2019,$2.7B
Feb 2019,$2.61B
Mar 2019,$2.41B
Apr 2019,$2.82B
May 2019,$2.44B
Jun 2019,$2.57B
Jul 2019,$2.71B
Aug 2019,$2.36B
Sep 2019,$2.68B
Oct 2019,$2.92B
Nov 2019,$2.79B
Dec 2019,$2.94B
Jan 2020,$2.64B
Feb 2020,$2.29B
Mar 2020,$1.94B
Mar 2020,$1.91B
May 2020,$1.97B
May 2020,$2.31B
Jun 2020,$2.25B
Jul 2020,$2.18B
Jul 2020,$2.13B
Jul 2020,$2.02B
Aug 2020,$2.32B
Aug 2020,$2.43B
Aug 2020,$2.46B
Sep 2020,$2.81B
Sep 2020,$2.7B
Oct 2020,$2.85B
Nov 2020,$3.03B
Nov 2020,$3.4B
Dec 2020,$3.6B
Dec 2020,$3.49B
Dec 2020,$3.56B
Dec 2020,$3.57B
Jan 2021,$3.58B
Feb 2021,$4.14B
Feb 2021,$4.22B
Feb 2021,$4.65B
Mar 2021,$4.58B
Mar 2021,$4.7B
Mar 2021,$5.61B
Mar 2021,$5.5B
Mar 2021,$5.61B
Apr 2021,$5.51B
Apr 2021,$5.86B
Apr 2021,$6.38B
May 2021,$6.28B
May 2021,$6.47B
Jun 2021,$7.12B
Jun 2021,$7.77B
Jun 2021,$8.37B
Jul 2021,$7.83B
Jul 2021,$7.95B
Jul 2021,$8.39B
Aug 2021,$11.95B
Aug 2021,$12.31B
Aug 2021,$11.22B
Aug 2021,$12.78B
Sep 2021,$13.73B
Sep 2021,$15.18B
Sep 2021,$15.9B
Sep 2021,$16.81B
Oct 2021,$12.6B
Oct 2021,$11.14B
Oct 2021,$11.08B
Oct 2021,$11.52B
Oct 2021,$12.16B
Nov 2021,$11.05B
Nov 2021,$11.48B
Nov 2021,$10.75B
Nov 2021,$10.91B
Dec 2021,$12.15B
Dec 2021,$12.07B
