timeline,Nippon Shinyaku
31 Mar 2006,$0.61B
28 Apr 2006,$0.6B
31 May 2006,$0.59B
31 Jul 2006,$0.6B
29 Sep 2006,$0.58B
30 Nov 2006,$0.6B
29 Dec 2006,$0.61B
31 Jan 2007,$0.6B
29 Jun 2007,$0.68B
31 Jul 2007,$0.71B
31 Aug 2007,$0.61B
28 Sep 2007,$0.6B
31 Oct 2007,$0.67B
30 Nov 2007,$0.66B
31 Dec 2007,$0.62B
31 Jan 2008,$0.65B
29 Feb 2008,$0.63B
31 Mar 2008,$0.62B
30 Apr 2008,$0.73B
30 May 2008,$0.8B
30 Jun 2008,$0.81B
31 Jul 2008,$0.79B
29 Aug 2008,$0.81B
30 Sep 2008,$0.6B
31 Oct 2008,$0.58B
28 Nov 2008,$0.67B
31 Dec 2008,$0.64B
30 Jan 2009,$0.62B
27 Feb 2009,$0.56B
31 Mar 2009,$0.52B
29 May 2009,$0.66B
31 Jul 2009,$0.74B
31 Aug 2009,$0.72B
30 Sep 2009,$0.76B
30 Oct 2009,$0.75B
30 Nov 2009,$0.61B
31 Dec 2009,$0.62B
29 Jan 2010,$0.61B
26 Feb 2010,$0.6B
31 Mar 2010,$0.63B
30 Apr 2010,$0.64B
31 May 2010,$0.59B
30 Jun 2010,$0.6B
30 Jul 2010,$0.63B
31 Aug 2010,$0.64B
30 Sep 2010,$0.69B
29 Oct 2010,$0.68B
30 Nov 2010,$0.65B
31 Dec 2010,$0.69B
28 Feb 2011,$0.64B
29 Apr 2011,$0.62B
31 May 2011,$0.61B
29 Jul 2011,$0.65B
31 Aug 2011,$0.57B
30 Sep 2011,$0.59B
31 Oct 2011,$0.55B
30 Nov 2011,$0.52B
30 Dec 2011,$0.57B
31 Jan 2012,$0.53B
29 Feb 2012,$0.59B
30 Mar 2012,$0.61B
30 Apr 2012,$0.6B
31 May 2012,$0.52B
29 Jun 2012,$0.6B
31 Jul 2012,$0.57B
31 Aug 2012,$0.56B
28 Sep 2012,$0.59B
31 Oct 2012,$0.57B
30 Nov 2012,$0.6B
31 Dec 2012,$0.58B
31 Jan 2013,$0.68B
28 Feb 2013,$0.73B
29 Mar 2013,$0.8B
30 Apr 2013,$0.9B
31 May 2013,$0.96B
28 Jun 2013,$0.98B
31 Jul 2013,$0.99B
30 Aug 2013,$0.97B
30 Sep 2013,$1.01B
29 Nov 2013,$1.11B
31 Dec 2013,$1.22B
31 Jan 2014,$1.2B
28 Feb 2014,$1.16B
30 Apr 2014,$1.07B
30 May 2014,$1.18B
30 Jun 2014,$1.76B
29 Aug 2014,$1.97B
31 Oct 2014,$1.92B
28 Nov 2014,$2.05B
31 Dec 2014,$2.31B
30 Jan 2015,$2.32B
27 Feb 2015,$2.39B
31 Mar 2015,$2.6B
30 Apr 2015,$2.37B
29 May 2015,$2.26B
30 Jun 2015,$2.23B
31 Jul 2015,$2.46B
31 Aug 2015,$2.48B
30 Sep 2015,$2.56B
30 Oct 2015,$2.82B
30 Nov 2015,$3.02B
31 Dec 2015,$2.66B
29 Jan 2016,$2.48B
29 Feb 2016,$2.3B
31 Mar 2016,$2.61B
29 Apr 2016,$2.97B
31 May 2016,$3.49B
30 Jun 2016,$3.18B
29 Jul 2016,$3.36B
31 Aug 2016,$2.85B
30 Sep 2016,$3.24B
31 Oct 2016,$3.17B
30 Nov 2016,$3.16B
30 Dec 2016,$3.42B
31 Jan 2017,$3.47B
28 Feb 2017,$3.6B
31 Mar 2017,$3.37B
28 Apr 2017,$3.52B
31 May 2017,$3.84B
30 Jun 2017,$4.27B
31 Jul 2017,$4.14B
31 Aug 2017,$4.55B
29 Sep 2017,$4.64B
31 Oct 2017,$4.76B
30 Nov 2017,$4.78B
29 Dec 2017,$5B
31 Jan 2018,$4.46B
28 Feb 2018,$3.58B
30 Mar 2018,$4.23B
30 Apr 2018,$4.85B
31 May 2018,$4.64B
29 Jun 2018,$4.09B
31 Jul 2018,$3.77B
31 Aug 2018,$3.88B
28 Sep 2018,$4.43B
31 Oct 2018,$3.87B
30 Nov 2018,$4.61B
31 Dec 2018,$4.15B
31 Jan 2019,$4.1B
28 Feb 2019,$4.2B
29 Mar 2019,$4.79B
30 Apr 2019,$4.55B
31 May 2019,$4.47B
28 Jun 2019,$4.52B
31 Jul 2019,$4.69B
30 Aug 2019,$5.19B
30 Sep 2019,$5.4B
31 Oct 2019,$5.82B
29 Nov 2019,$5.87B
31 Dec 2019,$5.63B
31 Jan 2020,$5.81B
27 Feb 2020,$4.82B
28 Feb 2020,$4.75B
31 Mar 2020,$5.04B
13 Apr 2020,$4.71B
30 Apr 2020,$4.5B
29 May 2020,$5.51B
30 Jun 2020,$5.21B
10 Jul 2020,$4.66B
31 Jul 2020,$4.83B
11 Aug 2020,$4.95B
20 Aug 2020,$5.47B
2 Sep 2020,$5.13B
10 Sep 2020,$5.11B
16 Sep 2020,$5.29B
23 Sep 2020,$5.13B
15 Oct 2020,$4.9B
23 Oct 2020,$4.65B
30 Oct 2020,$4.42B
5 Nov 2020,$4.93B
10 Nov 2020,$4.5B
16 Nov 2020,$4.43B
20 Nov 2020,$4.53B
30 Nov 2020,$4.43B
4 Dec 2020,$4.34B
11 Dec 2020,$4.33B
18 Dec 2020,$4.15B
31 Dec 2020,$4.02B
8 Jan 2021,$4.41B
29 Jan 2021,$4.58B
5 Feb 2021,$4.71B
12 Feb 2021,$4.6B
18 Feb 2021,$4.62B
26 Feb 2021,$4.3B
5 Mar 2021,$4.35B
11 Mar 2021,$4.59B
18 Mar 2021,$4.75B
24 Mar 2021,$4.67B
2 Apr 2021,$4.82B
9 Apr 2021,$4.6B
16 Apr 2021,$4.61B
22 Apr 2021,$4.7B
30 Apr 2021,$4.37B
12 May 2021,$4.23B
21 May 2021,$4.6B
31 May 2021,$4.66B
4 Jun 2021,$4.72B
11 Jun 2021,$5.06B
30 Jun 2021,$5.23B
16 Jul 2021,$5.09B
21 Jul 2021,$5.07B
30 Jul 2021,$5.06B
6 Aug 2021,$5.04B
13 Aug 2021,$5.27B
20 Aug 2021,$5.34B
27 Aug 2021,$5.33B
3 Sep 2021,$5.64B
10 Sep 2021,$5.75B
17 Sep 2021,$5.97B
24 Sep 2021,$5.96B
2 Oct 2021,$5.52B
9 Oct 2021,$5.28B
16 Oct 2021,$5.43B
23 Oct 2021,$5.29B
30 Oct 2021,$5.4B
6 Nov 2021,$5.54B
13 Nov 2021,$5.21B
20 Nov 2021,$5.08B
4 Dec 2021,$4.92B
10 Dec 2021,$4.88B
