timeline,Mitsui O.S.K. Lines
30 Nov 2018,$2.82B
31 Dec 2018,$2.53B
31 Jan 2019,$2.86B
28 Feb 2019,$2.75B
29 Mar 2019,$2.51B
30 Apr 2019,$2.97B
31 May 2019,$2.44B
28 Jun 2019,$2.72B
31 Jul 2019,$2.83B
30 Aug 2019,$2.64B
30 Sep 2019,$2.88B
31 Oct 2019,$3.14B
29 Nov 2019,$3.03B
31 Dec 2019,$3.19B
31 Jan 2020,$2.84B
28 Feb 2020,$2.36B
31 Mar 2020,$1.84B
24 Apr 2020,$1.88B
30 Apr 2020,$2B
29 May 2020,$2.01B
10 Jul 2020,$2.02B
22 Jul 2020,$2.01B
31 Jul 2020,$1.82B
12 Aug 2020,$2.02B
19 Aug 2020,$2.01B
31 Aug 2020,$2.07B
11 Sep 2020,$2.51B
30 Sep 2020,$2.17B
8 Oct 2020,$2.39B
15 Oct 2020,$2.4B
30 Oct 2020,$2.47B
19 Nov 2020,$2.73B
26 Nov 2020,$2.91B
3 Dec 2020,$3.11B
17 Dec 2020,$3.32B
24 Dec 2020,$3.12B
31 Dec 2020,$3.32B
8 Jan 2021,$3.43B
29 Jan 2021,$2.99B
5 Feb 2021,$3.12B
12 Feb 2021,$3.1B
19 Feb 2021,$3.36B
2 Mar 2021,$3.4B
5 Mar 2021,$3.56B
18 Mar 2021,$4.19B
26 Mar 2021,$4.3B
8 Apr 2021,$4.39B
16 Apr 2021,$4.02B
22 Apr 2021,$4.31B
30 Apr 2021,$4.63B
20 May 2021,$4.58B
27 May 2021,$4.5B
4 Jun 2021,$4.91B
11 Jun 2021,$5.2B
30 Jun 2021,$5.63B
16 Jul 2021,$5.23B
21 Jul 2021,$5.19B
6 Aug 2021,$7.51B
13 Aug 2021,$7.92B
20 Aug 2021,$7.04B
27 Aug 2021,$8.51B
10 Sep 2021,$9.83B
17 Sep 2021,$10.34B
24 Sep 2021,$10.69B
2 Oct 2021,$8.08B
9 Oct 2021,$7.15B
23 Oct 2021,$6.89B
30 Oct 2021,$7.54B
6 Nov 2021,$7.02B
13 Nov 2021,$7.06B
20 Nov 2021,$6.58B
4 Dec 2021,$8.04B
10 Dec 2021,$8.29B
