timeline,Komatsu
28 Feb 2019,$22.72B
29 Mar 2019,$21.39B
30 Apr 2019,$23.73B
31 May 2019,$20.11B
28 Jun 2019,$21.64B
31 Jul 2019,$20.35B
30 Aug 2019,$18.78B
30 Sep 2019,$20.6B
31 Oct 2019,$21.3B
29 Nov 2019,$21.37B
31 Dec 2019,$21.99B
31 Jan 2020,$20.54B
27 Feb 2020,$18.43B
28 Feb 2020,$18.17B
31 Mar 2020,$14.81B
30 Apr 2020,$17.18B
29 May 2020,$18.16B
6 Jul 2020,$18.62B
31 Jul 2020,$17.21B
31 Aug 2020,$19.19B
30 Sep 2020,$19.24B
15 Oct 2020,$20.29B
22 Oct 2020,$20.43B
30 Oct 2020,$19.5B
13 Nov 2020,$20.76B
27 Nov 2020,$21.69B
3 Dec 2020,$22.12B
11 Dec 2020,$22.83B
31 Dec 2020,$23.48B
8 Jan 2021,$25.43B
22 Jan 2021,$24.88B
5 Feb 2021,$24.54B
19 Feb 2021,$26.85B
1 Mar 2021,$26.82B
11 Mar 2021,$28.29B
17 Mar 2021,$28.66B
25 Mar 2021,$27.29B
7 Apr 2021,$28.52B
16 Apr 2021,$28.09B
30 Apr 2021,$26.7B
7 May 2021,$28.22B
19 May 2021,$26.85B
28 May 2021,$27.69B
4 Jun 2021,$27.14B
11 Jun 2021,$25.36B
30 Jun 2021,$23B
20 Jul 2021,$22.25B
6 Aug 2021,$23.65B
13 Aug 2021,$24.13B
20 Aug 2021,$22.39B
27 Aug 2021,$22.45B
3 Sep 2021,$24.33B
17 Sep 2021,$24.66B
24 Sep 2021,$23.4B
2 Oct 2021,$22.54B
9 Oct 2021,$22.32B
16 Oct 2021,$23.22B
30 Oct 2021,$24.68B
6 Nov 2021,$25.37B
13 Nov 2021,$25.29B
20 Nov 2021,$24.12B
4 Dec 2021,$22.52B
9 Dec 2021,$22.71B
