timeline,TDK
31 Jan 2001,$12.12B
28 Feb 2001,$9.53B
30 Mar 2001,$9.69B
30 Apr 2001,$8.43B
31 May 2001,$8.02B
29 Jun 2001,$6.82B
31 Jul 2001,$7.09B
31 Aug 2001,$7.28B
28 Sep 2001,$6.07B
31 Oct 2001,$6.39B
30 Nov 2001,$7.34B
31 Dec 2001,$7.26B
31 Jan 2002,$6.93B
28 Feb 2002,$7.14B
29 Mar 2002,$8.07B
30 Apr 2002,$8.22B
31 May 2002,$8.28B
28 Jun 2002,$6.65B
31 Jul 2002,$6.34B
30 Aug 2002,$6.36B
30 Sep 2002,$5.55B
31 Oct 2002,$5.65B
29 Nov 2002,$6.35B
31 Dec 2002,$5.61B
31 Jan 2003,$5.79B
28 Feb 2003,$5.91B
31 Mar 2003,$5.3B
30 Apr 2003,$4.84B
30 May 2003,$6.2B
30 Jun 2003,$6.93B
31 Jul 2003,$7.74B
29 Aug 2003,$8.89B
30 Sep 2003,$7.75B
31 Oct 2003,$8.42B
28 Nov 2003,$8.33B
31 Dec 2003,$9.03B
30 Jan 2004,$8.89B
27 Feb 2004,$8.91B
31 Mar 2004,$9.28B
30 Apr 2004,$9.2B
31 May 2004,$9.15B
30 Jun 2004,$9.67B
30 Jul 2004,$8.99B
31 Aug 2004,$8.46B
30 Sep 2004,$8.57B
29 Oct 2004,$8.59B
30 Nov 2004,$8.63B
31 Dec 2004,$8.86B
31 Jan 2005,$8.41B
28 Feb 2005,$8.84B
31 Mar 2005,$8.56B
31 May 2005,$9.23B
30 Jun 2005,$8.81B
29 Jul 2005,$9B
31 Aug 2005,$9.56B
30 Sep 2005,$9.43B
31 Oct 2005,$9.11B
30 Nov 2005,$11.69B
30 Dec 2005,$9.48B
31 Jan 2006,$9.9B
28 Feb 2006,$9.51B
31 Mar 2006,$10.34B
28 Apr 2006,$11.11B
31 May 2006,$10.6B
30 Jun 2006,$10.15B
31 Jul 2006,$10.45B
31 Aug 2006,$10.6B
29 Sep 2006,$11.03B
31 Oct 2006,$10.67B
30 Nov 2006,$10.33B
29 Dec 2006,$11.03B
31 Jan 2007,$11.82B
28 Feb 2007,$11.51B
30 Mar 2007,$11.93B
30 Apr 2007,$12.11B
31 May 2007,$12.9B
29 Jun 2007,$13.92B
31 Jul 2007,$12.08B
31 Aug 2007,$11.5B
28 Sep 2007,$11.77B
31 Oct 2007,$10.96B
30 Nov 2007,$9.19B
31 Dec 2007,$9.71B
31 Jan 2008,$7.92B
29 Feb 2008,$8.83B
31 Mar 2008,$6.7B
30 Apr 2008,$8.09B
30 May 2008,$8.22B
30 Jun 2008,$7.23B
31 Jul 2008,$7.39B
29 Aug 2008,$7.28B
30 Sep 2008,$5.84B
31 Oct 2008,$3.67B
31 Dec 2008,$3.7B
30 Jan 2009,$3.9B
27 Feb 2009,$3.72B
31 Mar 2009,$4.15B
30 Apr 2009,$5.06B
29 May 2009,$4.84B
30 Jun 2009,$5.16B
31 Jul 2009,$5.66B
31 Aug 2009,$6.15B
30 Sep 2009,$5.9B
30 Oct 2009,$6.07B
30 Nov 2009,$5.13B
31 Dec 2009,$6.43B
29 Jan 2010,$6.66B
26 Feb 2010,$6.23B
31 Mar 2010,$7.07B
30 Apr 2010,$6.9B
31 May 2010,$6.03B
30 Jun 2010,$5.59B
30 Jul 2010,$5.93B
31 Aug 2010,$5B
30 Sep 2010,$5.29B
29 Oct 2010,$5.23B
30 Nov 2010,$6.13B
31 Dec 2010,$6.43B
31 Jan 2011,$6.13B
28 Feb 2011,$6.24B
31 Mar 2011,$5.59B
29 Apr 2011,$4.73B
31 May 2011,$4.87B
30 Jun 2011,$5.02B
29 Jul 2011,$4.54B
31 Aug 2011,$3.8B
30 Sep 2011,$3.11B
31 Oct 2011,$3.72B
30 Nov 2011,$4.35B
30 Dec 2011,$3.88B
31 Jan 2012,$4.13B
29 Feb 2012,$4.82B
30 Mar 2012,$5.33B
30 Apr 2012,$4.68B
31 May 2012,$3.77B
29 Jun 2012,$3.55B
31 Jul 2012,$3.25B
31 Aug 2012,$3.31B
28 Sep 2012,$3.23B
31 Oct 2012,$3.33B
30 Nov 2012,$3.58B
31 Dec 2012,$3.45B
31 Jan 2013,$3.76B
28 Feb 2013,$3.55B
29 Mar 2013,$3.63B
30 Apr 2013,$3.95B
31 May 2013,$4.37B
28 Jun 2013,$3.8B
31 Jul 2013,$3.92B
30 Aug 2013,$3.95B
30 Sep 2013,$4.27B
31 Oct 2013,$4.62B
29 Nov 2013,$5.31B
31 Dec 2013,$5.59B
31 Jan 2014,$5.21B
28 Feb 2014,$4.87B
31 Mar 2014,$4.78B
30 Apr 2014,$4.84B
30 May 2014,$4.82B
30 Jun 2014,$5.27B
31 Jul 2014,$5.53B
29 Aug 2014,$5.75B
30 Sep 2014,$6.79B
31 Oct 2014,$6.84B
28 Nov 2014,$7.93B
31 Dec 2014,$7.95B
30 Jan 2015,$8.23B
27 Feb 2015,$9.35B
31 Mar 2015,$9.49B
30 Apr 2015,$9.61B
29 May 2015,$11.06B
30 Jun 2015,$10.41B
31 Jul 2015,$9.66B
31 Aug 2015,$8.39B
30 Sep 2015,$7.48B
30 Oct 2015,$8.63B
30 Nov 2015,$9.83B
31 Dec 2015,$8.69B
29 Jan 2016,$7.23B
29 Feb 2016,$6.54B
31 Mar 2016,$6.95B
29 Apr 2016,$7.32B
31 May 2016,$7.21B
30 Jun 2016,$6.3B
29 Jul 2016,$7.11B
31 Aug 2016,$8.23B
30 Sep 2016,$7.45B
31 Oct 2016,$8.07B
30 Nov 2016,$8.55B
30 Dec 2016,$8.94B
31 Jan 2017,$9.04B
28 Feb 2017,$8.5B
31 Mar 2017,$7.84B
28 Apr 2017,$7.68B
31 May 2017,$7.44B
30 Jun 2017,$8.22B
31 Jul 2017,$8.85B
31 Aug 2017,$8.2B
29 Sep 2017,$8.5B
31 Oct 2017,$9.65B
30 Nov 2017,$10.2B
29 Dec 2017,$10B
31 Jan 2018,$11.18B
28 Feb 2018,$10.87B
30 Mar 2018,$10.67B
30 Apr 2018,$10.52B
31 May 2018,$10.89B
29 Jun 2018,$12.6B
31 Jul 2018,$13.28B
31 Aug 2018,$13.9B
28 Sep 2018,$13.79B
31 Oct 2018,$10.85B
30 Nov 2018,$9.96B
31 Dec 2018,$8.6B
31 Jan 2019,$9.54B
28 Feb 2019,$9.69B
29 Mar 2019,$9.65B
30 Apr 2019,$10.79B
31 May 2019,$8.24B
28 Jun 2019,$9.29B
31 Jul 2019,$9.43B
30 Aug 2019,$9.42B
30 Sep 2019,$10.77B
31 Oct 2019,$12.06B
29 Nov 2019,$12.82B
31 Dec 2019,$13.8B
31 Jan 2020,$13.22B
27 Feb 2020,$12.12B
28 Feb 2020,$11.64B
31 Mar 2020,$9.33B
1 May 2020,$9.93B
29 May 2020,$11.23B
6 Jul 2020,$11.87B
10 Jul 2020,$11.67B
22 Jul 2020,$12.05B
31 Jul 2020,$13.01B
5 Aug 2020,$13.1B
20 Aug 2020,$12.4B
31 Aug 2020,$12.26B
30 Sep 2020,$12.71B
15 Oct 2020,$13.83B
22 Oct 2020,$13.8B
30 Oct 2020,$13.6B
12 Nov 2020,$15.06B
20 Nov 2020,$15.15B
26 Nov 2020,$16.05B
4 Dec 2020,$16.25B
25 Dec 2020,$16.47B
31 Dec 2020,$17.31B
5 Feb 2021,$17.43B
15 Feb 2021,$18.68B
22 Feb 2021,$18.11B
1 Mar 2021,$17.24B
12 Mar 2021,$17.16B
19 Mar 2021,$17.43B
25 Mar 2021,$17.06B
7 Apr 2021,$18.53B
13 Apr 2021,$17.76B
22 Apr 2021,$16.89B
30 Apr 2021,$16.54B
7 May 2021,$16.33B
19 May 2021,$14.92B
26 May 2021,$15.59B
1 Jun 2021,$15.67B
11 Jun 2021,$15.29B
30 Jun 2021,$15.02B
20 Jul 2021,$14.29B
6 Aug 2021,$13.95B
13 Aug 2021,$13.61B
20 Aug 2021,$13.16B
27 Aug 2021,$12.98B
3 Sep 2021,$13.96B
17 Sep 2021,$14.64B
24 Sep 2021,$14.36B
2 Oct 2021,$13.34B
9 Oct 2021,$12.33B
16 Oct 2021,$12.54B
30 Oct 2021,$13.77B
6 Nov 2021,$14.9B
13 Nov 2021,$15.06B
20 Nov 2021,$15.96B
4 Dec 2021,$14.77B
9 Dec 2021,$15.34B
