timeline,KOBAYASHI Pharmaceutical
31 Mar 2006,$1.53B
28 Apr 2006,$1.47B
31 May 2006,$1.7B
31 Jul 2006,$1.72B
31 Aug 2006,$1.68B
29 Sep 2006,$1.64B
30 Nov 2006,$1.53B
29 Dec 2006,$1.62B
31 Jan 2007,$1.68B
28 Feb 2007,$1.64B
30 Mar 2007,$1.63B
30 Apr 2007,$1.68B
31 May 2007,$1.57B
29 Jun 2007,$1.54B
31 Jul 2007,$1.55B
31 Aug 2007,$1.46B
28 Sep 2007,$1.53B
31 Oct 2007,$1.38B
30 Nov 2007,$1.49B
31 Dec 2007,$1.57B
31 Jan 2008,$1.56B
29 Feb 2008,$1.55B
31 Mar 2008,$1.44B
30 Apr 2008,$1.36B
30 May 2008,$1.22B
30 Jun 2008,$1.28B
31 Jul 2008,$1.33B
29 Aug 2008,$1.39B
30 Sep 2008,$1.2B
31 Oct 2008,$1.18B
28 Nov 2008,$1.31B
31 Dec 2008,$1.44B
30 Jan 2009,$1.28B
27 Feb 2009,$1.22B
31 Mar 2009,$1.17B
30 Apr 2009,$1.16B
29 May 2009,$1.24B
30 Jun 2009,$1.32B
31 Aug 2009,$1.51B
30 Sep 2009,$1.48B
30 Oct 2009,$1.41B
30 Nov 2009,$1.39B
31 Dec 2009,$1.34B
29 Jan 2010,$1.3B
26 Feb 2010,$1.31B
31 Mar 2010,$1.39B
30 Apr 2010,$1.37B
31 May 2010,$1.34B
30 Jun 2010,$1.36B
30 Jul 2010,$1.32B
31 Aug 2010,$1.39B
30 Sep 2010,$1.34B
29 Oct 2010,$1.35B
30 Nov 2010,$1.32B
31 Dec 2010,$1.36B
31 Jan 2011,$1.39B
28 Feb 2011,$1.43B
31 Mar 2011,$1.39B
29 Apr 2011,$1.37B
31 May 2011,$1.39B
30 Jun 2011,$1.46B
29 Jul 2011,$1.43B
31 Aug 2011,$1.42B
30 Sep 2011,$1.51B
31 Oct 2011,$1.41B
30 Nov 2011,$1.4B
30 Dec 2011,$1.46B
31 Jan 2012,$1.42B
30 Mar 2012,$1.5B
30 Apr 2012,$1.45B
31 May 2012,$1.55B
29 Jun 2012,$1.6B
31 Jul 2012,$1.48B
31 Aug 2012,$1.51B
28 Sep 2012,$1.5B
31 Oct 2012,$1.52B
30 Nov 2012,$1.48B
31 Jan 2013,$1.61B
28 Feb 2013,$1.59B
29 Mar 2013,$1.64B
30 Apr 2013,$1.92B
31 May 2013,$1.73B
28 Jun 2013,$1.89B
31 Jul 2013,$1.85B
30 Aug 2013,$1.97B
30 Sep 2013,$2.03B
31 Oct 2013,$1.98B
29 Nov 2013,$2.02B
31 Dec 2013,$2.12B
31 Jan 2014,$2.02B
28 Feb 2014,$2.08B
31 Mar 2014,$2.15B
30 Apr 2014,$2.24B
30 May 2014,$2.36B
30 Jun 2014,$2.32B
29 Aug 2014,$2.41B
30 Sep 2014,$2.42B
31 Oct 2014,$2.48B
31 Dec 2014,$2.54B
30 Jan 2015,$2.86B
27 Feb 2015,$2.96B
31 Mar 2015,$3.09B
30 Apr 2015,$3.02B
29 May 2015,$2.9B
30 Jun 2015,$2.99B
31 Jul 2015,$3.49B
