timeline,OBIC
31 Mar 2006,$2.12B
28 Apr 2006,$2B
31 May 2006,$1.97B
30 Jun 2006,$1.98B
31 Jul 2006,$2.08B
31 Aug 2006,$2.02B
29 Sep 2006,$2.14B
31 Oct 2006,$2.12B
30 Nov 2006,$2.06B
29 Dec 2006,$2.11B
31 Jan 2007,$2.18B
28 Feb 2007,$2.05B
30 Mar 2007,$1.99B
30 Apr 2007,$1.91B
31 May 2007,$2.06B
29 Jun 2007,$2.08B
31 Jul 2007,$2.01B
31 Aug 2007,$1.96B
28 Sep 2007,$1.91B
31 Oct 2007,$1.97B
30 Nov 2007,$1.81B
31 Dec 2007,$1.77B
31 Jan 2008,$1.71B
29 Feb 2008,$1.67B
31 Mar 2008,$1.51B
30 Apr 2008,$1.63B
30 May 2008,$1.57B
30 Jun 2008,$1.52B
31 Jul 2008,$1.68B
29 Aug 2008,$1.65B
30 Sep 2008,$1.46B
31 Oct 2008,$1.02B
28 Nov 2008,$1.27B
31 Dec 2008,$1.24B
30 Jan 2009,$1.21B
27 Feb 2009,$1.12B
31 Mar 2009,$1.05B
30 Apr 2009,$1.13B
29 May 2009,$1.2B
30 Jun 2009,$1.33B
31 Jul 2009,$1.37B
31 Aug 2009,$1.29B
30 Oct 2009,$1.31B
30 Nov 2009,$1.22B
31 Dec 2009,$1.29B
29 Jan 2010,$1.43B
26 Feb 2010,$1.32B
31 Mar 2010,$1.44B
30 Apr 2010,$1.61B
31 May 2010,$1.49B
30 Jun 2010,$1.46B
30 Jul 2010,$1.39B
31 Aug 2010,$1.34B
29 Oct 2010,$1.26B
30 Nov 2010,$1.28B
31 Dec 2010,$1.42B
31 Jan 2011,$1.34B
28 Feb 2011,$1.39B
31 Mar 2011,$1.34B
29 Apr 2011,$1.28B
31 May 2011,$1.23B
30 Jun 2011,$1.25B
29 Jul 2011,$1.26B
31 Aug 2011,$1.19B
30 Sep 2011,$1.25B
30 Nov 2011,$1.16B
30 Dec 2011,$1.22B
31 Jan 2012,$1.23B
29 Feb 2012,$1.29B
30 Mar 2012,$1.39B
30 Apr 2012,$1.4B
31 May 2012,$1.27B
31 Jul 2012,$1.32B
31 Aug 2012,$1.37B
28 Sep 2012,$1.36B
30 Nov 2012,$1.52B
31 Dec 2012,$1.43B
31 Jan 2013,$1.63B
29 Mar 2013,$1.8B
30 Apr 2013,$2.03B
31 May 2013,$1.97B
28 Jun 2013,$2.05B
31 Jul 2013,$2.18B
30 Aug 2013,$2.28B
30 Sep 2013,$2.5B
31 Oct 2013,$2.44B
29 Nov 2013,$2.38B
31 Dec 2013,$2.46B
31 Jan 2014,$2.51B
28 Feb 2014,$2.53B
31 Mar 2014,$2.58B
30 Apr 2014,$2.42B
30 May 2014,$2.56B
30 Jun 2014,$2.64B
31 Jul 2014,$2.9B
29 Aug 2014,$2.82B
30 Sep 2014,$3.1B
31 Oct 2014,$3.09B
28 Nov 2014,$2.99B
31 Dec 2014,$3.11B
30 Jan 2015,$3.14B
27 Feb 2015,$3.51B
31 Mar 2015,$4.03B
30 Apr 2015,$3.97B
29 May 2015,$4.02B
30 Jun 2015,$4.32B
31 Jul 2015,$4.66B
31 Aug 2015,$4.28B
30 Sep 2015,$4.31B
30 Oct 2015,$5.08B
30 Nov 2015,$5.18B
31 Dec 2015,$5.09B
29 Jan 2016,$4.88B
29 Feb 2016,$4.44B
31 Mar 2016,$4.67B
29 Apr 2016,$4.56B
31 May 2016,$4.73B
30 Jun 2016,$4.4B
29 Jul 2016,$4.73B
31 Aug 2016,$4.16B
30 Sep 2016,$4.2B
31 Oct 2016,$4.28B
30 Nov 2016,$3.94B
30 Dec 2016,$4.01B
31 Jan 2017,$4.25B
28 Feb 2017,$4.1B
31 Mar 2017,$4.16B
28 Apr 2017,$4.72B
31 May 2017,$5.04B
30 Jun 2017,$5.41B
31 Jul 2017,$5.4B
29 Sep 2017,$5.55B
31 Oct 2017,$5.86B
30 Nov 2017,$6.11B
29 Dec 2017,$6.49B
31 Jan 2018,$6.66B
28 Feb 2018,$7.01B
30 Mar 2018,$6.94B
30 Apr 2018,$7.19B
31 May 2018,$7.39B
29 Jun 2018,$7.19B
31 Jul 2018,$7.51B
31 Aug 2018,$8.19B
28 Sep 2018,$8.43B
31 Oct 2018,$8.06B
30 Nov 2018,$7.69B
31 Dec 2018,$6.66B
31 Jan 2019,$8.06B
28 Feb 2019,$8.34B
29 Mar 2019,$8.75B
30 Apr 2019,$10.09B
31 May 2019,$10.3B
28 Jun 2019,$9.57B
31 Jul 2019,$9.15B
30 Aug 2019,$9.53B
30 Sep 2019,$9.66B
31 Oct 2019,$10.7B
29 Nov 2019,$11.39B
31 Dec 2019,$11.58B
31 Jan 2020,$11.77B
28 Feb 2020,$10.42B
31 Mar 2020,$11.1B
1 May 2020,$12.87B
29 May 2020,$14.65B
10 Jun 2020,$14.29B
30 Jun 2020,$14.8B
10 Jul 2020,$14.97B
17 Jul 2020,$14.9B
31 Jul 2020,$14.83B
19 Aug 2020,$14.62B
31 Aug 2020,$14.74B
2 Sep 2020,$15.35B
23 Sep 2020,$14.7B
30 Sep 2020,$14.46B
22 Oct 2020,$13.75B
30 Oct 2020,$14.55B
13 Nov 2020,$15.93B
20 Nov 2020,$16.8B
30 Nov 2020,$18.41B
4 Dec 2020,$17.38B
11 Dec 2020,$16.92B
25 Dec 2020,$16.43B
31 Dec 2020,$16.26B
22 Jan 2021,$16.41B
29 Jan 2021,$15.42B
10 Feb 2021,$15.45B
19 Feb 2021,$15.28B
26 Feb 2021,$14.1B
12 Mar 2021,$15.29B
18 Mar 2021,$15.53B
24 Mar 2021,$15.17B
31 Mar 2021,$15.86B
9 Apr 2021,$15.65B
16 Apr 2021,$15.68B
22 Apr 2021,$15.69B
6 May 2021,$15.65B
12 May 2021,$15.32B
18 May 2021,$16.09B
4 Jun 2021,$15.59B
11 Jun 2021,$16.21B
30 Jun 2021,$16.24B
16 Jul 2021,$16B
20 Jul 2021,$15.91B
30 Jul 2021,$15.83B
6 Aug 2021,$15.84B
13 Aug 2021,$16.36B
20 Aug 2021,$16.53B
27 Aug 2021,$16.72B
3 Sep 2021,$17.72B
10 Sep 2021,$19.12B
17 Sep 2021,$19.23B
24 Sep 2021,$18.6B
2 Oct 2021,$16.73B
9 Oct 2021,$16.54B
16 Oct 2021,$17.33B
23 Oct 2021,$16.83B
30 Oct 2021,$16.38B
6 Nov 2021,$16.45B
13 Nov 2021,$16.13B
20 Nov 2021,$16.77B
27 Nov 2021,$16.14B
4 Dec 2021,$16.35B
9 Dec 2021,$16.42B
