timeline,Nitori Holdings
12 Jul 2021,$19.63B
20 Jul 2021,$20.31B
30 Jul 2021,$21.41B
6 Aug 2021,$21.9B
13 Aug 2021,$22.32B
20 Aug 2021,$22.03B
27 Aug 2021,$20.63B
3 Sep 2021,$21.4B
10 Sep 2021,$23.15B
17 Sep 2021,$22.82B
24 Sep 2021,$23.26B
2 Oct 2021,$21.13B
9 Oct 2021,$21.03B
16 Oct 2021,$19.82B
23 Oct 2021,$19.77B
30 Oct 2021,$20.71B
6 Nov 2021,$21.32B
13 Nov 2021,$20.74B
20 Nov 2021,$20.35B
27 Nov 2021,$18.69B
4 Dec 2021,$18.32B
9 Dec 2021,$18.72B
