timeline,Toshiba
31 Mar 2006,$19.39B
28 Apr 2006,$20.55B
31 May 2006,$21.26B
30 Jun 2006,$21.17B
31 Jul 2006,$21B
31 Aug 2006,$23.69B
29 Sep 2006,$21.7B
31 Oct 2006,$20.97B
30 Nov 2006,$20.99B
29 Dec 2006,$21.96B
31 Jan 2007,$21.81B
28 Feb 2007,$21.19B
30 Mar 2007,$22.3B
30 Apr 2007,$25.41B
31 May 2007,$25.78B
29 Jun 2007,$30.46B
31 Jul 2007,$31.79B
31 Aug 2007,$29.58B
28 Sep 2007,$30.4B
31 Oct 2007,$27.34B
30 Nov 2007,$25.55B
31 Dec 2007,$23.71B
31 Jan 2008,$20.34B
29 Feb 2008,$22.58B
31 Mar 2008,$18.87B
30 Apr 2008,$24.42B
30 May 2008,$26.32B
30 Jun 2008,$22.18B
31 Jul 2008,$20B
29 Aug 2008,$17.4B
30 Sep 2008,$12.78B
31 Oct 2008,$9.94B
28 Nov 2008,$9.86B
31 Dec 2008,$10.37B
30 Jan 2009,$9.01B
27 Feb 2009,$6.8B
31 Mar 2009,$7.2B
30 Apr 2009,$9.52B
29 May 2009,$10.11B
30 Jun 2009,$10.8B
31 Jul 2009,$12.96B
31 Aug 2009,$14.75B
30 Sep 2009,$14.53B
30 Oct 2009,$16.35B
30 Nov 2009,$18.17B
31 Dec 2009,$20.27B
29 Jan 2010,$19.72B
26 Feb 2010,$17.65B
31 Mar 2010,$18.05B
30 Apr 2010,$20.48B
31 May 2010,$17.45B
30 Jun 2010,$16.62B
30 Jul 2010,$16.88B
31 Aug 2010,$14.75B
30 Sep 2010,$15.09B
29 Oct 2010,$15.05B
30 Nov 2010,$16.28B
31 Dec 2010,$16.5B
31 Jan 2011,$18.11B
28 Feb 2011,$19.98B
31 Mar 2011,$15.2B
29 Apr 2011,$15.94B
31 May 2011,$16.06B
30 Jun 2011,$15.76B
29 Jul 2011,$14.94B
31 Aug 2011,$12.42B
30 Sep 2011,$11.95B
31 Oct 2011,$13.03B
30 Nov 2011,$12.96B
30 Dec 2011,$11.76B
31 Jan 2012,$12.06B
29 Feb 2012,$13.29B
30 Mar 2012,$13.59B
30 Apr 2012,$12.28B
31 May 2012,$11.01B
29 Jun 2012,$11.2B
31 Jul 2012,$9.86B
31 Aug 2012,$9.33B
31 Oct 2012,$11.05B
30 Nov 2012,$10.49B
31 Dec 2012,$12.58B
31 Jan 2013,$15.16B
28 Feb 2013,$15.94B
29 Mar 2013,$17.62B
30 Apr 2013,$20.05B
31 May 2013,$18.22B
28 Jun 2013,$17.81B
31 Jul 2013,$15.87B
30 Aug 2013,$14.6B
30 Sep 2013,$16.43B
31 Oct 2013,$15.53B
29 Nov 2013,$16.5B
31 Jan 2014,$16.13B
28 Feb 2014,$16.43B
31 Mar 2014,$16.31B
30 Apr 2014,$14.93B
30 May 2014,$15.57B
30 Jun 2014,$17.66B
31 Jul 2014,$17.25B
29 Aug 2014,$17.12B
30 Sep 2014,$18.97B
31 Oct 2014,$18.05B
28 Nov 2014,$19.69B
31 Dec 2014,$19.13B
30 Jan 2015,$17.72B
27 Feb 2015,$18.46B
31 Mar 2015,$18.82B
30 Apr 2015,$17.96B
29 May 2015,$16.26B
30 Jun 2015,$15.72B
31 Jul 2015,$14.19B
31 Aug 2015,$14.33B
30 Sep 2015,$11.21B
30 Oct 2015,$12.81B
30 Nov 2015,$11.23B
31 Dec 2015,$9.33B
29 Jan 2016,$7.43B
29 Feb 2016,$6.53B
31 Mar 2016,$8.17B
29 Apr 2016,$8.77B
31 May 2016,$10.21B
30 Jun 2016,$10.32B
29 Jul 2016,$10.05B
31 Aug 2016,$12.21B
30 Sep 2016,$12.51B
31 Oct 2016,$14.22B
30 Nov 2016,$15.87B
30 Dec 2016,$10.57B
31 Jan 2017,$9.04B
28 Feb 2017,$7.77B
31 Mar 2017,$9.01B
28 Apr 2017,$8.41B
31 May 2017,$9.41B
30 Jun 2017,$10.15B
31 Jul 2017,$9.18B
31 Aug 2017,$11.42B
29 Sep 2017,$11.76B
31 Oct 2017,$12.28B
30 Nov 2017,$10.3B
29 Dec 2017,$11.83B
31 Jan 2018,$17.87B
28 Feb 2018,$18.21B
30 Mar 2018,$17.7B
30 Apr 2018,$16.83B
31 May 2018,$17.58B
