timeline,Olympus
29 Mar 2002,$3.85B
30 Apr 2002,$3.89B
31 May 2002,$4.29B
28 Jun 2002,$3.9B
31 Jul 2002,$3.69B
30 Aug 2002,$3.94B
30 Sep 2002,$4.16B
31 Oct 2002,$4.33B
29 Nov 2002,$4.69B
31 Dec 2002,$4.51B
31 Jan 2003,$4.25B
28 Feb 2003,$4.45B
31 Mar 2003,$4.29B
30 Apr 2003,$4.81B
30 May 2003,$5.27B
30 Jun 2003,$5.79B
31 Jul 2003,$6.24B
29 Aug 2003,$6.25B
30 Sep 2003,$6.2B
31 Oct 2003,$5.62B
28 Nov 2003,$5.47B
31 Dec 2003,$5.42B
30 Jan 2004,$5.16B
27 Feb 2004,$5.3B
31 Mar 2004,$5.22B
30 Apr 2004,$4.99B
31 May 2004,$4.63B
30 Jun 2004,$4.8B
30 Jul 2004,$5.02B
31 Aug 2004,$4.85B
30 Sep 2004,$4.95B
29 Oct 2004,$4.79B
30 Nov 2004,$4.63B
31 Dec 2004,$5.09B
31 Jan 2005,$5.04B
28 Feb 2005,$5.36B
31 Mar 2005,$5.83B
29 Apr 2005,$4.95B
31 May 2005,$4.97B
29 Jul 2005,$5.29B
31 Aug 2005,$5.08B
30 Sep 2005,$5.86B
31 Oct 2005,$6B
30 Nov 2005,$7.18B
30 Dec 2005,$7.23B
28 Feb 2006,$7.86B
31 Mar 2006,$8.28B
28 Apr 2006,$7.8B
31 May 2006,$7.29B
30 Jun 2006,$7.32B
31 Jul 2006,$7.89B
31 Aug 2006,$8.32B
31 Oct 2006,$8.9B
30 Nov 2006,$8.68B
29 Dec 2006,$8.95B
31 Jan 2007,$9.23B
28 Feb 2007,$9.5B
30 Mar 2007,$9.64B
30 Apr 2007,$10.05B
31 May 2007,$11.03B
29 Jun 2007,$11.5B
31 Jul 2007,$11.74B
31 Aug 2007,$11.82B
28 Sep 2007,$11.29B
31 Oct 2007,$11.36B
30 Nov 2007,$10.86B
31 Dec 2007,$11.05B
31 Jan 2008,$8.51B
29 Feb 2008,$7.41B
31 Mar 2008,$7.2B
30 Apr 2008,$8.15B
30 May 2008,$8.2B
30 Jun 2008,$8.55B
31 Jul 2008,$8.67B
29 Aug 2008,$8.51B
30 Sep 2008,$7.22B
31 Oct 2008,$4.39B
28 Nov 2008,$4.73B
31 Dec 2008,$4.17B
30 Jan 2009,$3.53B
27 Feb 2009,$3.14B
31 Mar 2009,$3.76B
30 Apr 2009,$3.81B
29 May 2009,$4.45B
30 Jun 2009,$5.44B
31 Jul 2009,$6.47B
31 Aug 2009,$6.02B
30 Sep 2009,$5.66B
30 Oct 2009,$6.9B
30 Nov 2009,$6.25B
31 Dec 2009,$7.09B
29 Jan 2010,$6.45B
26 Feb 2010,$6.53B
31 Mar 2010,$7.14B
30 Apr 2010,$6.82B
31 May 2010,$5.66B
30 Jun 2010,$5.05B
30 Jul 2010,$5.51B
31 Aug 2010,$4.77B
30 Sep 2010,$5.2B
29 Oct 2010,$5.02B
30 Nov 2010,$5.61B
31 Dec 2010,$5.85B
31 Jan 2011,$5.48B
28 Feb 2011,$5.68B
31 Mar 2011,$5.51B
29 Apr 2011,$5.43B
31 May 2011,$5.98B
30 Jun 2011,$6.43B
29 Jul 2011,$6.53B
31 Aug 2011,$5.22B
30 Sep 2011,$5.69B
31 Oct 2011,$2.85B
30 Nov 2011,$2.41B
30 Dec 2011,$2.38B
31 Jan 2012,$3.02B
29 Feb 2012,$3.2B
30 Mar 2012,$3.19B
30 Apr 2012,$2.96B
29 Jun 2012,$3.03B
31 Jul 2012,$3.48B
31 Aug 2012,$3.64B
28 Sep 2012,$3.58B
31 Oct 2012,$3.28B
30 Nov 2012,$3.39B
31 Dec 2012,$4.11B
31 Jan 2013,$5B
28 Feb 2013,$5.02B
29 Mar 2013,$5.46B
30 Apr 2013,$6.49B
31 May 2013,$8.18B
28 Jun 2013,$8.01B
31 Jul 2013,$7.96B
30 Aug 2013,$8.46B
30 Sep 2013,$8.9B
31 Oct 2013,$9.36B
29 Nov 2013,$10.27B
31 Dec 2013,$9.93B
31 Jan 2014,$9.1B
28 Feb 2014,$10.53B
31 Mar 2014,$9.93B
30 Apr 2014,$9.41B
30 May 2014,$9.88B
30 Jun 2014,$10.53B
31 Jul 2014,$11.31B
29 Aug 2014,$11.21B
30 Sep 2014,$11.87B
31 Oct 2014,$11.81B
28 Nov 2014,$13.03B
31 Dec 2014,$12.88B
30 Jan 2015,$12.43B
27 Feb 2015,$13.08B
31 Mar 2015,$13.47B
30 Apr 2015,$13.09B
29 May 2015,$12.81B
30 Jun 2015,$12.76B
31 Jul 2015,$14.33B
31 Aug 2015,$13.37B
30 Sep 2015,$11.21B
30 Oct 2015,$12.39B
30 Nov 2015,$14.81B
31 Dec 2015,$14.48B
29 Jan 2016,$14B
29 Feb 2016,$12.43B
31 Mar 2016,$13.2B
29 Apr 2016,$13.11B
31 May 2016,$14.17B
30 Jun 2016,$11.45B
29 Jul 2016,$10.8B
31 Aug 2016,$10.21B
30 Sep 2016,$10.56B
31 Oct 2016,$11.31B
30 Nov 2016,$12.13B
30 Dec 2016,$12.19B
31 Jan 2017,$11.75B
28 Feb 2017,$11.99B
31 Mar 2017,$12.91B
28 Apr 2017,$12.94B
31 May 2017,$12.2B
30 Jun 2017,$12.37B
31 Jul 2017,$12.1B
31 Aug 2017,$11.45B
29 Sep 2017,$11.5B
31 Oct 2017,$12.64B
30 Nov 2017,$13.91B
29 Dec 2017,$13.04B
31 Jan 2018,$12.63B
28 Feb 2018,$12.96B
30 Mar 2018,$12.17B
30 Apr 2018,$12.3B
31 May 2018,$11.62B
29 Jun 2018,$12.49B
31 Jul 2018,$13.62B
28 Sep 2018,$13.35B
31 Oct 2018,$11.35B
30 Nov 2018,$9.62B
31 Dec 2018,$10.16B
31 Jan 2019,$13.45B
28 Feb 2019,$14.82B
29 Mar 2019,$14.47B
30 Apr 2019,$14.98B
31 May 2019,$15.47B
28 Jun 2019,$14.4B
31 Jul 2019,$14.36B
30 Aug 2019,$14.98B
30 Sep 2019,$16.5B
31 Oct 2019,$16.77B
29 Nov 2019,$18.41B
31 Dec 2019,$19.14B
31 Jan 2020,$20.23B
28 Feb 2020,$22.24B
26 Mar 2020,$16.64B
31 Mar 2020,$17.7B
1 May 2020,$18.63B
29 May 2020,$21.21B
30 Jun 2020,$23.52B
10 Jul 2020,$22.42B
22 Jul 2020,$22.63B
31 Jul 2020,$21.35B
5 Aug 2020,$21.67B
19 Aug 2020,$24B
2 Sep 2020,$23.84B
16 Sep 2020,$24.45B
30 Sep 2020,$24.73B
15 Oct 2020,$24.36B
22 Oct 2020,$22.79B
30 Oct 2020,$22.54B
16 Nov 2020,$24.98B
20 Nov 2020,$23.42B
30 Nov 2020,$25.58B
8 Dec 2020,$24.57B
18 Dec 2020,$25.32B
5 Jan 2021,$24.34B
12 Jan 2021,$24.33B
19 Jan 2021,$22.84B
29 Jan 2021,$21.42B
5 Feb 2021,$22.65B
15 Feb 2021,$26.23B
22 Feb 2021,$25.39B
1 Mar 2021,$26.01B
19 Mar 2021,$26.57B
25 Mar 2021,$25.75B
31 Mar 2021,$25.97B
13 Apr 2021,$26.16B
7 May 2021,$25.75B
13 May 2021,$23.23B
19 May 2021,$24.6B
31 May 2021,$26.65B
4 Jun 2021,$25.71B
11 Jun 2021,$27.35B
30 Jun 2021,$23.63B
16 Jul 2021,$23.51B
21 Jul 2021,$23.57B
30 Jul 2021,$24.84B
13 Aug 2021,$26.12B
20 Aug 2021,$26.53B
27 Aug 2021,$26.37B
3 Sep 2021,$27.89B
10 Sep 2021,$28.34B
17 Sep 2021,$28B
24 Sep 2021,$28.71B
9 Oct 2021,$26.74B
16 Oct 2021,$28.33B
23 Oct 2021,$28.31B
30 Oct 2021,$27.84B
6 Nov 2021,$28.3B
13 Nov 2021,$29.27B
20 Nov 2021,$29.59B
4 Dec 2021,$28.6B
9 Dec 2021,$28.88B
