timeline,Lawson
17 Sep 2021,$5.3B
24 Sep 2021,$5.16B
2 Oct 2021,$4.85B
9 Oct 2021,$4.82B
16 Oct 2021,$4.72B
23 Oct 2021,$4.68B
30 Oct 2021,$4.85B
6 Nov 2021,$5.19B
13 Nov 2021,$5.25B
20 Nov 2021,$5.02B
27 Nov 2021,$5.05B
4 Dec 2021,$5.04B
10 Dec 2021,$5.08B
