timeline,Daiwa Securities Group
29 Jul 2011,$4.97B
31 Aug 2011,$4.53B
30 Sep 2011,$4.32B
31 Oct 2011,$4.13B
30 Nov 2011,$3.73B
30 Dec 2011,$3.55B
31 Jan 2012,$4.06B
29 Feb 2012,$4.99B
30 Mar 2012,$4.84B
30 Apr 2012,$4.53B
31 May 2012,$3.69B
29 Jun 2012,$4.42B
31 Jul 2012,$4.39B
31 Aug 2012,$4.22B
28 Sep 2012,$4.42B
31 Oct 2012,$4.74B
30 Nov 2012,$5.44B
31 Dec 2012,$7.08B
31 Jan 2013,$7.91B
28 Feb 2013,$8.54B
29 Mar 2013,$9.77B
30 Apr 2013,$12.93B
31 May 2013,$12.85B
28 Jun 2013,$12.48B
31 Jul 2013,$12.52B
30 Aug 2013,$11.92B
30 Sep 2013,$13.18B
31 Oct 2013,$13.36B
29 Nov 2013,$14.9B
31 Dec 2013,$15.73B
31 Jan 2014,$14.53B
28 Feb 2014,$13.72B
31 Mar 2014,$13.48B
30 Apr 2014,$11.48B
30 May 2014,$12.32B
30 Jun 2014,$13.16B
29 Aug 2014,$12.7B
30 Sep 2014,$13.04B
31 Oct 2014,$12.92B
28 Nov 2014,$14.32B
31 Dec 2014,$14.22B
30 Jan 2015,$12.95B
27 Feb 2015,$14.48B
31 Mar 2015,$14.24B
30 Apr 2015,$15.06B
29 May 2015,$14.87B
30 Jun 2015,$13.81B
31 Jul 2015,$14.51B
31 Aug 2015,$12.68B
30 Sep 2015,$11.59B
30 Oct 2015,$12.53B
30 Nov 2015,$11.99B
31 Dec 2015,$11.21B
29 Jan 2016,$11.3B
29 Feb 2016,$10.04B
31 Mar 2016,$10.33B
29 Apr 2016,$9.64B
30 Jun 2016,$8.02B
29 Jul 2016,$8.73B
31 Aug 2016,$9.02B
30 Sep 2016,$8.42B
31 Oct 2016,$9.36B
30 Nov 2016,$10.26B
30 Dec 2016,$10.75B
31 Jan 2017,$10.79B
28 Feb 2017,$10.63B
31 Mar 2017,$10.02B
31 May 2017,$9.96B
30 Jun 2017,$9.85B
31 Jul 2017,$9.41B
31 Aug 2017,$8.9B
29 Sep 2017,$9.42B
31 Oct 2017,$10.38B
30 Nov 2017,$10.17B
29 Dec 2017,$10.3B
31 Jan 2018,$11.24B
28 Feb 2018,$10.26B
30 Mar 2018,$9.71B
30 Apr 2018,$9.6B
31 May 2018,$9.01B
29 Jun 2018,$9.18B
31 Jul 2018,$9.3B
31 Aug 2018,$9.49B
28 Sep 2018,$9.85B
31 Oct 2018,$9.1B
30 Nov 2018,$8.77B
31 Dec 2018,$7.75B
31 Jan 2019,$7.5B
28 Feb 2019,$7.81B
29 Mar 2019,$7.44B
30 Apr 2019,$7.11B
31 May 2019,$6.55B
28 Jun 2019,$6.52B
30 Aug 2019,$6.32B
30 Sep 2019,$6.59B
31 Oct 2019,$6.61B
29 Nov 2019,$7.49B
31 Dec 2019,$7.4B
31 Jan 2020,$7.49B
27 Feb 2020,$6.39B
28 Feb 2020,$6.15B
31 Mar 2020,$5.62B
8 Apr 2020,$6.09B
24 Apr 2020,$5.65B
30 Apr 2020,$6.01B
29 May 2020,$5.98B
