timeline,Tohoku Electric Power
29 Jun 2018,$5.96B
31 Jul 2018,$6.25B
31 Aug 2018,$6.14B
28 Sep 2018,$6.79B
31 Oct 2018,$6.29B
30 Nov 2018,$6.53B
31 Dec 2018,$6.38B
31 Jan 2019,$6.48B
28 Feb 2019,$6.43B
29 Mar 2019,$6.22B
30 Apr 2019,$5.6B
31 May 2019,$4.88B
28 Jun 2019,$4.8B
30 Aug 2019,$4.68B
30 Sep 2019,$4.64B
31 Oct 2019,$4.91B
29 Nov 2019,$4.78B
31 Dec 2019,$4.76B
31 Jan 2020,$4.53B
27 Feb 2020,$4.34B
28 Feb 2020,$4.17B
31 Mar 2020,$4.59B
24 Apr 2020,$4.62B
30 Apr 2020,$4.46B
29 May 2020,$4.92B
30 Jun 2020,$4.52B
14 Jul 2020,$4.46B
31 Jul 2020,$4.39B
14 Aug 2020,$4.75B
21 Aug 2020,$4.67B
31 Aug 2020,$4.73B
18 Sep 2020,$4.82B
25 Sep 2020,$4.76B
30 Sep 2020,$4.65B
8 Oct 2020,$4.41B
15 Oct 2020,$4.22B
30 Oct 2020,$4.06B
13 Nov 2020,$4.17B
30 Nov 2020,$3.85B
4 Dec 2020,$3.88B
11 Dec 2020,$3.79B
31 Dec 2020,$3.74B
8 Jan 2021,$3.85B
22 Jan 2021,$3.97B
29 Jan 2021,$3.95B
5 Feb 2021,$4.06B
12 Feb 2021,$4.15B
19 Feb 2021,$4.13B
4 Mar 2021,$4.22B
10 Mar 2021,$4.62B
18 Mar 2021,$4.7B
24 Mar 2021,$4.67B
31 Mar 2021,$4.6B
9 Apr 2021,$4.54B
16 Apr 2021,$4.49B
22 Apr 2021,$4.38B
30 Apr 2021,$4.24B
11 May 2021,$4.28B
18 May 2021,$4.18B
31 May 2021,$3.92B
4 Jun 2021,$3.84B
11 Jun 2021,$3.91B
30 Jun 2021,$3.83B
16 Jul 2021,$3.81B
30 Jul 2021,$3.82B
13 Aug 2021,$3.87B
20 Aug 2021,$3.84B
27 Aug 2021,$3.83B
3 Sep 2021,$3.84B
10 Sep 2021,$3.94B
17 Sep 2021,$3.9B
24 Sep 2021,$3.89B
2 Oct 2021,$3.61B
9 Oct 2021,$3.66B
16 Oct 2021,$3.42B
23 Oct 2021,$3.39B
30 Oct 2021,$3.25B
6 Nov 2021,$3.28B
13 Nov 2021,$3.29B
20 Nov 2021,$3.3B
27 Nov 2021,$3.43B
4 Dec 2021,$3.55B
10 Dec 2021,$3.57B
