timeline,Nippon Telegraph & Telephone
31 Mar 2017,$85.66B
28 Apr 2017,$86.39B
31 May 2017,$96.5B
30 Jun 2017,$95.1B
31 Jul 2017,$97.87B
31 Aug 2017,$99.29B
29 Sep 2017,$91.98B
31 Oct 2017,$97.17B
30 Nov 2017,$104.16B
29 Dec 2017,$93.19B
31 Jan 2018,$94.49B
28 Feb 2018,$91.76B
30 Mar 2018,$91.07B
30 Apr 2018,$93.59B
31 May 2018,$91.58B
29 Jun 2018,$88.87B
31 Jul 2018,$90.8B
31 Aug 2018,$86.97B
28 Sep 2018,$88.27B
31 Oct 2018,$81.94B
30 Nov 2018,$79.67B
31 Dec 2018,$78.02B
31 Jan 2019,$82.16B
28 Feb 2019,$83.02B
29 Mar 2019,$81.48B
30 Apr 2019,$79.23B
31 May 2019,$84.29B
28 Jun 2019,$88.2B
31 Jul 2019,$84.61B
30 Aug 2019,$89.34B
30 Sep 2019,$86.81B
31 Oct 2019,$89.8B
7 Nov 2019,$91.76B
29 Nov 2019,$91.71B
31 Dec 2019,$92.03B
31 Jan 2020,$93B
28 Feb 2020,$83.83B
5 Mar 2020,$85.86B
31 Mar 2020,$86.63B
30 Apr 2020,$83.29B
29 May 2020,$82.52B
1 Jul 2020,$83.14B
2 Jul 2020,$83.74B
16 Jul 2020,$86.84B
23 Jul 2020,$85.73B
31 Jul 2020,$84.84B
3 Aug 2020,$85.72B
7 Aug 2020,$86.31B
13 Aug 2020,$91.82B
19 Aug 2020,$92.11B
2 Sep 2020,$83.94B
9 Sep 2020,$82.77B
16 Sep 2020,$81.11B
24 Sep 2020,$79.83B
30 Sep 2020,$75.61B
8 Oct 2020,$81.03B
16 Oct 2020,$79.14B
22 Oct 2020,$78.47B
28 Oct 2020,$78.49B
30 Oct 2020,$78.05B
6 Nov 2020,$82.28B
9 Nov 2020,$86.59B
13 Nov 2020,$87.54B
20 Nov 2020,$89.16B
25 Nov 2020,$88.42B
30 Nov 2020,$87.65B
4 Dec 2020,$91.08B
11 Dec 2020,$92.42B
31 Dec 2020,$94.2B
8 Jan 2021,$99.64B
15 Jan 2021,$97.26B
22 Jan 2021,$95.76B
29 Jan 2021,$92.18B
