timeline,Idemitsu Kosan
30 Sep 2016,$2.93B
31 Oct 2016,$3.42B
30 Nov 2016,$3.65B
30 Dec 2016,$4.38B
31 Jan 2017,$4.93B
28 Feb 2017,$5.11B
31 Mar 2017,$5.46B
28 Apr 2017,$5.03B
31 May 2017,$4.37B
30 Jun 2017,$4.5B
31 Jul 2017,$3.78B
31 Aug 2017,$4.93B
29 Sep 2017,$5.82B
31 Oct 2017,$6.04B
30 Nov 2017,$6.92B
29 Dec 2017,$8.3B
31 Jan 2018,$7.48B
28 Feb 2018,$7.57B
30 Mar 2018,$7.42B
30 Apr 2018,$7.86B
31 May 2018,$6.7B
29 Jun 2018,$7.25B
31 Jul 2018,$9.18B
31 Aug 2018,$10.1B
28 Sep 2018,$10.82B
31 Oct 2018,$9.05B
30 Nov 2018,$7.2B
31 Dec 2018,$6.29B
31 Jan 2019,$6.68B
28 Feb 2019,$6.88B
29 Mar 2019,$6.45B
30 Apr 2019,$9.6B
31 May 2019,$8.19B
28 Jun 2019,$8.63B
31 Jul 2019,$8.04B
30 Aug 2019,$7.6B
30 Sep 2019,$8.14B
31 Oct 2019,$8.54B
29 Nov 2019,$7.96B
31 Dec 2019,$8.02B
31 Jan 2020,$7.26B
28 Feb 2020,$6.98B
31 Mar 2020,$6.5B
30 Apr 2020,$6.48B
29 May 2020,$6.27B
30 Jun 2020,$6B
14 Jul 2020,$5.97B
31 Jul 2020,$5.72B
14 Aug 2020,$6.22B
21 Aug 2020,$6.09B
31 Aug 2020,$6.12B
2 Sep 2020,$6.07B
25 Sep 2020,$6.17B
30 Sep 2020,$5.88B
8 Oct 2020,$5.98B
15 Oct 2020,$5.85B
22 Oct 2020,$5.7B
30 Oct 2020,$5.52B
13 Nov 2020,$5.75B
19 Nov 2020,$5.81B
26 Nov 2020,$5.89B
3 Dec 2020,$5.78B
11 Dec 2020,$5.91B
25 Dec 2020,$5.84B
31 Dec 2020,$5.95B
8 Jan 2021,$6.14B
22 Jan 2021,$6.56B
29 Jan 2021,$6.43B
10 Feb 2021,$7.03B
19 Feb 2021,$7.22B
26 Feb 2021,$7.3B
5 Mar 2021,$7.38B
17 Mar 2021,$7.69B
23 Mar 2021,$7.62B
31 Mar 2021,$7.48B
2 Apr 2021,$7.23B
9 Apr 2021,$7.15B
16 Apr 2021,$7.06B
30 Apr 2021,$6.86B
11 May 2021,$7.25B
21 May 2021,$6.79B
31 May 2021,$6.78B
4 Jun 2021,$7.05B
11 Jun 2021,$7.04B
30 Jun 2021,$7.03B
12 Jul 2021,$6.88B
21 Jul 2021,$6.72B
30 Jul 2021,$6.95B
6 Aug 2021,$7.18B
13 Aug 2021,$7.07B
20 Aug 2021,$6.9B
27 Aug 2021,$7.03B
3 Sep 2021,$7.29B
10 Sep 2021,$7.34B
17 Sep 2021,$7.89B
24 Sep 2021,$7.86B
2 Oct 2021,$7.77B
9 Oct 2021,$8.28B
16 Oct 2021,$8.56B
23 Oct 2021,$8.46B
30 Oct 2021,$8.15B
6 Nov 2021,$8.04B
13 Nov 2021,$8B
20 Nov 2021,$7.79B
27 Nov 2021,$7.75B
4 Dec 2021,$7.74B
10 Dec 2021,$7.79B
