timeline,COSMOS Pharmaceutical
30 Oct 2020,$6.2B
20 Nov 2020,$6.1B
27 Nov 2020,$6.25B
30 Nov 2020,$6.29B
18 Dec 2020,$5.89B
25 Dec 2020,$5.83B
8 Jan 2021,$6.02B
15 Jan 2021,$5.55B
22 Jan 2021,$5.66B
29 Jan 2021,$5.58B
5 Feb 2021,$5.79B
12 Feb 2021,$5.61B
19 Feb 2021,$5.6B
26 Feb 2021,$5.33B
11 Mar 2021,$6.11B
23 Mar 2021,$6.06B
31 Mar 2021,$6.03B
2 Apr 2021,$5.99B
16 Apr 2021,$5.6B
30 Apr 2021,$5.48B
14 May 2021,$5.47B
21 May 2021,$5.37B
31 May 2021,$5.32B
4 Jun 2021,$5.37B
11 Jun 2021,$5.46B
30 Jun 2021,$5.69B
9 Jul 2021,$5.56B
16 Jul 2021,$6.23B
21 Jul 2021,$6.32B
30 Jul 2021,$6.74B
6 Aug 2021,$6.55B
12 Aug 2021,$6.59B
13 Aug 2021,$6.8B
20 Aug 2021,$7.16B
27 Aug 2021,$7.11B
3 Sep 2021,$7.07B
10 Sep 2021,$7.2B
17 Sep 2021,$7.34B
24 Sep 2021,$7.28B
2 Oct 2021,$6.76B
9 Oct 2021,$6.67B
16 Oct 2021,$6.36B
23 Oct 2021,$6.1B
30 Oct 2021,$6.05B
6 Nov 2021,$6.29B
13 Nov 2021,$6.4B
20 Nov 2021,$6.6B
27 Nov 2021,$6.65B
4 Dec 2021,$6.05B
10 Dec 2021,$6.18B
