timeline,Isuzu
30 Nov 2009,$2.21B
31 Dec 2009,$2.58B
29 Jan 2010,$2.87B
26 Feb 2010,$3.33B
31 Mar 2010,$3.78B
30 Apr 2010,$4.53B
31 May 2010,$4.21B
30 Jun 2010,$4.03B
30 Jul 2010,$3.79B
31 Aug 2010,$4.17B
30 Sep 2010,$4.81B
29 Oct 2010,$4.63B
30 Nov 2010,$5.57B
31 Dec 2010,$5.51B
31 Jan 2011,$5.77B
28 Feb 2011,$5.48B
31 Mar 2011,$4.91B
29 Apr 2011,$5.17B
31 May 2011,$5.66B
29 Jul 2011,$5.74B
31 Aug 2011,$5.09B
30 Sep 2011,$5.02B
31 Oct 2011,$5.08B
30 Nov 2011,$5.29B
30 Dec 2011,$5.32B
31 Jan 2012,$5.77B
29 Feb 2012,$6.84B
30 Mar 2012,$7.24B
30 Apr 2012,$6.86B
31 May 2012,$6.26B
29 Jun 2012,$6.32B
31 Jul 2012,$6.05B
31 Aug 2012,$5.96B
28 Sep 2012,$5.63B
31 Oct 2012,$6.3B
30 Nov 2012,$7.21B
31 Dec 2012,$7.63B
31 Jan 2013,$8.56B
28 Feb 2013,$8.51B
29 Mar 2013,$8.29B
30 Apr 2013,$9.69B
31 May 2013,$11.58B
28 Jun 2013,$10.14B
31 Jul 2013,$10.41B
30 Aug 2013,$8.98B
30 Sep 2013,$9.65B
31 Oct 2013,$9.08B
29 Nov 2013,$9.77B
31 Jan 2014,$9.25B
31 Mar 2014,$8.86B
30 May 2014,$9.28B
30 Jun 2014,$10.01B
31 Jul 2014,$10.8B
29 Aug 2014,$10.74B
30 Sep 2014,$11.58B
31 Oct 2014,$10.7B
28 Nov 2014,$11.57B
31 Dec 2014,$11.07B
30 Jan 2015,$11.81B
27 Feb 2015,$12.98B
31 Mar 2015,$11.74B
30 Apr 2015,$11.71B
29 May 2015,$12.43B
30 Jun 2015,$11.81B
31 Jul 2015,$12.62B
31 Aug 2015,$10.15B
30 Sep 2015,$8.78B
30 Oct 2015,$10.44B
30 Nov 2015,$10.18B
31 Dec 2015,$9.65B
29 Jan 2016,$8.83B
29 Feb 2016,$8.3B
31 Mar 2016,$8.08B
29 Apr 2016,$8.31B
31 May 2016,$9.29B
30 Jun 2016,$8.68B
29 Jul 2016,$9.38B
31 Aug 2016,$8.28B
30 Sep 2016,$8.2B
31 Oct 2016,$9.03B
30 Nov 2016,$9.38B
30 Dec 2016,$10.29B
31 Jan 2017,$10.58B
28 Feb 2017,$10.45B
31 Mar 2017,$10.22B
28 Apr 2017,$10.5B
31 May 2017,$9.39B
30 Jun 2017,$9.62B
31 Jul 2017,$10.53B
31 Aug 2017,$9.98B
29 Sep 2017,$10.35B
31 Oct 2017,$11.45B
30 Nov 2017,$12.3B
29 Dec 2017,$13.1B
31 Jan 2018,$12.77B
28 Feb 2018,$11.71B
30 Mar 2018,$11.33B
30 Apr 2018,$11.62B
31 May 2018,$10.13B
29 Jun 2018,$10.22B
31 Jul 2018,$10.47B
31 Aug 2018,$10.46B
28 Sep 2018,$11.66B
31 Oct 2018,$9.65B
30 Nov 2018,$10.52B
31 Dec 2018,$10.08B
31 Jan 2019,$10.52B
28 Feb 2019,$10.39B
29 Mar 2019,$9.47B
30 Apr 2019,$10.37B
