timeline,Panasonic
31 Mar 2010,$26.1B
30 Apr 2010,$25.23B
31 May 2010,$21.19B
30 Jun 2010,$20.48B
30 Jul 2010,$20.84B
31 Aug 2010,$19.49B
30 Sep 2010,$20.64B
29 Oct 2010,$21.59B
30 Nov 2010,$21.98B
31 Dec 2010,$21.05B
31 Jan 2011,$20.52B
28 Feb 2011,$20.1B
31 Mar 2011,$19.31B
29 Apr 2011,$18.22B
31 May 2011,$17.41B
30 Jun 2011,$19.98B
29 Jul 2011,$18.82B
31 Aug 2011,$16.49B
30 Sep 2011,$15.37B
31 Oct 2011,$16.49B
30 Nov 2011,$14.82B
30 Dec 2011,$13.33B
31 Jan 2012,$12.58B
29 Feb 2012,$15.47B
30 Mar 2012,$15.51B
30 Apr 2012,$12.68B
31 May 2012,$10.6B
29 Jun 2012,$13.1B
31 Jul 2012,$11.17B
31 Aug 2012,$10.84B
28 Sep 2012,$10.52B
31 Oct 2012,$10.48B
30 Nov 2012,$8.21B
31 Dec 2012,$10.64B
31 Jan 2013,$12.19B
28 Feb 2013,$13.61B
29 Mar 2013,$13.33B
30 Apr 2013,$14.45B
31 May 2013,$16.08B
28 Jun 2013,$16.24B
31 Jul 2013,$17.34B
30 Aug 2013,$18.22B
30 Sep 2013,$19.32B
31 Oct 2013,$20.07B
29 Nov 2013,$23.95B
31 Dec 2013,$24.94B
31 Jan 2014,$24.13B
28 Feb 2014,$26B
31 Mar 2014,$23.91B
30 Apr 2014,$22.8B
30 May 2014,$22.27B
30 Jun 2014,$25.15B
31 Jul 2014,$25.63B
29 Aug 2014,$25.9B
30 Sep 2014,$26.58B
31 Oct 2014,$26.6B
28 Nov 2014,$31.23B
31 Dec 2014,$29.08B
30 Jan 2015,$27.55B
27 Feb 2015,$30.47B
31 Mar 2015,$32.13B
30 Apr 2015,$35.13B
29 May 2015,$37.31B
30 Jun 2015,$34.26B
31 Jul 2015,$29.69B
31 Aug 2015,$27.25B
30 Sep 2015,$26.03B
30 Oct 2015,$31.03B
30 Nov 2015,$28.48B
31 Dec 2015,$25.38B
29 Jan 2016,$22.79B
29 Feb 2016,$19.53B
31 Mar 2016,$22.35B
29 Apr 2016,$21.51B
31 May 2016,$22.31B
30 Jun 2016,$19.05B
29 Jul 2016,$21.86B
31 Aug 2016,$22.95B
30 Sep 2016,$21.67B
31 Oct 2016,$23.72B
30 Nov 2016,$25.17B
30 Dec 2016,$25.73B
31 Jan 2017,$25.49B
28 Feb 2017,$26.67B
31 Mar 2017,$25.87B
28 Apr 2017,$27.36B
31 May 2017,$29.21B
30 Jun 2017,$31.34B
31 Jul 2017,$31.28B
31 Aug 2017,$30.14B
29 Sep 2017,$33.53B
31 Oct 2017,$34.97B
30 Nov 2017,$34.3B
29 Dec 2017,$33.92B
31 Jan 2018,$33.29B
28 Feb 2018,$34.49B
30 Mar 2018,$31.28B
30 Apr 2018,$33.56B
31 May 2018,$30.63B
29 Jun 2018,$30.71B
31 Jul 2018,$29.38B
31 Aug 2018,$27.1B
28 Sep 2018,$27.04B
31 Oct 2018,$25.53B
30 Nov 2018,$23.79B
31 Dec 2018,$20.24B
31 Jan 2019,$21.7B
28 Feb 2019,$20.94B
29 Mar 2019,$19.5B
30 Apr 2019,$20.99B
31 May 2019,$17.78B
28 Jun 2019,$18.46B
31 Jul 2019,$19.01B
30 Aug 2019,$16.87B
30 Sep 2019,$18.01B
31 Oct 2019,$18.86B
29 Nov 2019,$21.22B
31 Dec 2019,$21.17B
31 Jan 2020,$22.67B
28 Feb 2020,$21.19B
31 Mar 2020,$16.97B
24 Apr 2020,$15.34B
30 Apr 2020,$17.01B
29 May 2020,$19.81B
30 Jun 2020,$19.33B
10 Jul 2020,$19.64B
22 Jul 2020,$21.18B
31 Jul 2020,$18.51B
5 Aug 2020,$18.62B
12 Aug 2020,$19.59B
19 Aug 2020,$19.05B
31 Aug 2020,$20.12B
7 Sep 2020,$19.57B
11 Sep 2020,$19.97B
25 Sep 2020,$18.66B
30 Sep 2020,$18.28B
8 Oct 2020,$18.76B
15 Oct 2020,$17.84B
23 Oct 2020,$18.4B
30 Oct 2020,$19.76B
5 Nov 2020,$20.55B
13 Nov 2020,$21.57B
20 Nov 2020,$22.29B
26 Nov 2020,$23.17B
4 Dec 2020,$23.71B
18 Dec 2020,$24.57B
31 Dec 2020,$24.49B
8 Jan 2021,$26.53B
22 Jan 2021,$29.83B
29 Jan 2021,$27.8B
5 Feb 2021,$28.99B
12 Feb 2021,$30.27B
19 Feb 2021,$29.64B
1 Mar 2021,$28.37B
18 Mar 2021,$28.67B
25 Mar 2021,$28.87B
31 Mar 2021,$29.28B
7 Apr 2021,$28.9B
13 Apr 2021,$28.63B
22 Apr 2021,$27.89B
30 Apr 2021,$26.51B
7 May 2021,$26.1B
13 May 2021,$24.82B
19 May 2021,$24.48B
26 May 2021,$25.87B
31 May 2021,$25.65B
4 Jun 2021,$26.23B
11 Jun 2021,$25.63B
30 Jun 2021,$26.44B
12 Jul 2021,$27.31B
16 Jul 2021,$27.25B
20 Jul 2021,$26.32B
30 Jul 2021,$27.94B
6 Aug 2021,$28.9B
12 Aug 2021,$28.85B
13 Aug 2021,$28.76B
20 Aug 2021,$26.04B
27 Aug 2021,$26.98B
3 Sep 2021,$28.53B
10 Sep 2021,$30.51B
17 Sep 2021,$29.99B
