timeline,Acom
30 Jun 2020,$5.68B
14 Jul 2020,$5.28B
31 Jul 2020,$5.13B
11 Aug 2020,$5.47B
19 Aug 2020,$5.64B
2 Sep 2020,$5.78B
30 Sep 2020,$6.29B
8 Oct 2020,$6.4B
15 Oct 2020,$6.22B
22 Oct 2020,$6.27B
30 Oct 2020,$6.45B
13 Nov 2020,$6.78B
26 Nov 2020,$7.16B
3 Dec 2020,$7.02B
8 Dec 2020,$6.87B
18 Dec 2020,$6.33B
4 Jan 2021,$5.87B
8 Jan 2021,$6.33B
18 Jan 2021,$6.37B
29 Jan 2021,$6.36B
5 Feb 2021,$6.76B
12 Feb 2021,$6.37B
16 Feb 2021,$6.59B
1 Mar 2021,$6.62B
11 Mar 2021,$7.01B
19 Mar 2021,$7.42B
26 Mar 2021,$7.32B
1 Apr 2021,$6.96B
7 Apr 2021,$7.02B
16 Apr 2021,$6.96B
28 Apr 2021,$6.51B
7 May 2021,$6.52B
13 May 2021,$6.37B
20 May 2021,$6.62B
31 May 2021,$6.76B
4 Jun 2021,$6.91B
11 Jun 2021,$6.95B
30 Jun 2021,$6.56B
12 Jul 2021,$6.37B
20 Jul 2021,$6.25B
21 Jul 2021,$6.36B
30 Jul 2021,$6.41B
13 Aug 2021,$6.12B
20 Aug 2021,$5.98B
27 Aug 2021,$5.93B
3 Sep 2021,$6.08B
10 Sep 2021,$6.24B
17 Sep 2021,$5.98B
24 Sep 2021,$5.94B
9 Oct 2021,$5.68B
16 Oct 2021,$5.21B
23 Oct 2021,$5.23B
30 Oct 2021,$5.13B
6 Nov 2021,$5.12B
13 Nov 2021,$5.07B
27 Nov 2021,$4.73B
4 Dec 2021,$4.7B
10 Dec 2021,$4.6B
