timeline,CyberAgent
29 Sep 2006,$0.89B
31 Oct 2006,$0.88B
30 Nov 2006,$0.85B
29 Dec 2006,$0.74B
31 Jan 2007,$0.81B
28 Feb 2007,$0.65B
30 Mar 2007,$0.6B
30 Apr 2007,$0.5B
31 May 2007,$0.45B
29 Jun 2007,$0.47B
31 Jul 2007,$0.4B
31 Aug 2007,$0.3B
28 Sep 2007,$0.29B
31 Oct 2007,$0.46B
30 Nov 2007,$0.49B
31 Dec 2007,$0.51B
31 Jan 2008,$0.49B
29 Feb 2008,$0.74B
31 Mar 2008,$0.8B
30 Apr 2008,$0.71B
30 May 2008,$0.91B
30 Jun 2008,$0.77B
31 Jul 2008,$0.84B
29 Aug 2008,$0.61B
30 Sep 2008,$0.57B
31 Oct 2008,$0.5B
28 Nov 2008,$0.34B
31 Dec 2008,$0.32B
30 Jan 2009,$0.3B
27 Feb 2009,$0.26B
31 Mar 2009,$0.33B
30 Apr 2009,$0.37B
29 May 2009,$0.41B
30 Jun 2009,$0.53B
31 Jul 2009,$0.52B
31 Aug 2009,$0.51B
30 Sep 2009,$0.66B
30 Oct 2009,$0.68B
30 Nov 2009,$0.75B
31 Dec 2009,$0.94B
29 Jan 2010,$0.9B
26 Feb 2010,$0.92B
31 Mar 2010,$0.95B
30 Apr 2010,$0.94B
31 May 2010,$0.83B
30 Jun 2010,$0.75B
30 Jul 2010,$0.73B
31 Aug 2010,$0.77B
30 Sep 2010,$0.86B
29 Oct 2010,$0.76B
30 Nov 2010,$0.89B
31 Dec 2010,$1.01B
31 Jan 2011,$1.32B
28 Feb 2011,$1.49B
31 Mar 2011,$1.67B
29 Apr 2011,$1.66B
31 May 2011,$1.59B
30 Jun 2011,$1.61B
29 Jul 2011,$1.54B
31 Aug 2011,$1.44B
30 Sep 2011,$1.19B
31 Oct 2011,$1.53B
30 Nov 2011,$1.44B
31 Jan 2012,$1.28B
29 Feb 2012,$1.34B
30 Mar 2012,$1.24B
30 Apr 2012,$1.41B
31 May 2012,$0.95B
29 Jun 2012,$1.17B
31 Jul 2012,$0.9B
31 Aug 2012,$0.92B
28 Sep 2012,$0.97B
31 Oct 2012,$0.91B
30 Nov 2012,$0.92B
31 Dec 2012,$1.01B
31 Jan 2013,$1.1B
28 Feb 2013,$0.99B
29 Mar 2013,$1.01B
30 Apr 2013,$1.05B
31 May 2013,$1.1B
28 Jun 2013,$1.05B
31 Jul 2013,$1.26B
30 Aug 2013,$1.4B
