timeline,Maruzen
27 Feb 2009,$54.8M
31 Mar 2009,$59.3M
30 Apr 2009,$58.6M
29 May 2009,$65.2M
30 Jun 2009,$79.9M
31 Jul 2009,$80.6M
31 Aug 2009,$79.5M
30 Sep 2009,$75.2M
30 Oct 2009,$76.7M
30 Nov 2009,$74.8M
31 Dec 2009,$78.7M
29 Jan 2010,$86.7M
26 Feb 2010,$80.9M
31 Mar 2010,$91.7M
30 Apr 2010,$94.2M
31 May 2010,$79M
30 Jun 2010,$80.2M
30 Jul 2010,$83.2M
31 Aug 2010,$77.3M
30 Sep 2010,$77.6M
30 Nov 2010,$80.2M
31 Dec 2010,$91.9M
31 Jan 2011,$94.2M
28 Feb 2011,$90.7M
31 Mar 2011,$92.3M
29 Apr 2011,$91.6M
31 May 2011,$86.8M
30 Jun 2011,$86.5M
31 Aug 2011,$82.9M
30 Sep 2011,$82.4M
30 Nov 2011,$83.3M
30 Dec 2011,$86.1M
31 Jan 2012,$86.5M
29 Feb 2012,$87M
30 Mar 2012,$90.1M
30 Apr 2012,$92.2M
31 May 2012,$84.5M
29 Jun 2012,$96.2M
31 Jul 2012,$90.6M
31 Aug 2012,$88.3M
28 Sep 2012,$91.4M
30 Nov 2012,$92.2M
31 Dec 2012,$0.1B
31 Jan 2013,$0.12B
29 Mar 2013,$0.13B
30 Apr 2013,$0.14B
28 Jun 2013,$0.13B
31 Jul 2013,$0.14B
30 Sep 2013,$0.15B
31 Oct 2013,$0.14B
29 Nov 2013,$0.15B
31 Jan 2014,$0.16B
31 Mar 2014,$0.15B
30 Jun 2014,$0.16B
30 Sep 2014,$0.17B
31 Oct 2014,$0.16B
28 Nov 2014,$0.18B
30 Jan 2015,$0.17B
29 May 2015,$0.18B
30 Jun 2015,$0.19B
31 Aug 2015,$0.17B
30 Sep 2015,$0.16B
29 Feb 2016,$0.15B
29 Apr 2016,$0.16B
30 Sep 2016,$0.17B
31 Oct 2016,$0.18B
30 Dec 2016,$0.19B
31 Jan 2017,$0.2B
28 Feb 2017,$0.21B
31 Mar 2017,$0.2B
31 May 2017,$0.21B
30 Jun 2017,$0.25B
31 Jul 2017,$0.3B
31 Aug 2017,$0.25B
29 Sep 2017,$0.32B
31 Oct 2017,$0.31B
30 Nov 2017,$0.32B
29 Dec 2017,$0.35B
31 Jan 2018,$0.38B
30 Mar 2018,$0.35B
30 Apr 2018,$0.37B
29 Jun 2018,$0.36B
31 Jul 2018,$0.32B
31 Aug 2018,$0.29B
28 Sep 2018,$0.32B
31 Oct 2018,$0.33B
30 Nov 2018,$0.34B
31 Dec 2018,$0.28B
31 Jan 2019,$0.34B
28 Feb 2019,$0.32B
29 Mar 2019,$0.3B
30 Apr 2019,$0.33B
31 May 2019,$0.34B
28 Jun 2019,$0.33B
31 Jul 2019,$0.3B
30 Aug 2019,$0.26B
30 Sep 2019,$0.29B
31 Oct 2019,$0.27B
29 Nov 2019,$0.29B
31 Dec 2019,$0.3B
28 Feb 2020,$0.28B
31 Mar 2020,$0.27B
1 May 2020,$0.24B
29 May 2020,$0.25B
10 Jun 2020,$0.26B
30 Jun 2020,$0.25B
6 Jul 2020,$0.26B
14 Jul 2020,$0.25B
7 Aug 2020,$0.26B
2 Sep 2020,$0.25B
30 Sep 2020,$0.26B
22 Oct 2020,$0.25B
20 Nov 2020,$0.26B
26 Nov 2020,$0.25B
17 Dec 2020,$0.27B
31 Dec 2020,$0.26B
12 Feb 2021,$0.27B
31 Mar 2021,$0.28B
16 Apr 2021,$0.3B
22 Apr 2021,$0.32B
28 Apr 2021,$0.31B
30 Apr 2021,$0.32B
17 May 2021,$0.31B
10 Jun 2021,$0.32B
30 Jun 2021,$0.31B
9 Jul 2021,$0.32B
16 Jul 2021,$0.34B
30 Jul 2021,$0.35B
6 Aug 2021,$0.36B
13 Aug 2021,$0.35B
20 Aug 2021,$0.33B
27 Aug 2021,$0.32B
3 Sep 2021,$0.31B
17 Sep 2021,$0.32B
24 Sep 2021,$0.31B
9 Oct 2021,$0.33B
16 Oct 2021,$0.32B
6 Nov 2021,$0.33B
13 Nov 2021,$0.31B
4 Dec 2021,$0.3B
