timeline,kyowa Kirin
31 May 2019,$9.7B
28 Jun 2019,$9.18B
31 Jul 2019,$8.53B
30 Aug 2019,$9.2B
30 Sep 2019,$9.93B
31 Oct 2019,$9.45B
29 Nov 2019,$10.99B
31 Dec 2019,$12.18B
31 Jan 2020,$12.24B
20 Feb 2020,$12.82B
28 Feb 2020,$12.17B
31 Mar 2020,$11.47B
30 Apr 2020,$11.92B
29 May 2020,$13.83B
30 Jun 2020,$13.39B
10 Jul 2020,$12.69B
31 Jul 2020,$12.31B
6 Aug 2020,$12.71B
25 Aug 2020,$13.01B
31 Aug 2020,$12.98B
18 Sep 2020,$13.74B
30 Sep 2020,$14.14B
15 Oct 2020,$12.89B
23 Oct 2020,$12.34B
30 Oct 2020,$12.26B
12 Nov 2020,$13.96B
20 Nov 2020,$13.01B
26 Nov 2020,$13.51B
4 Dec 2020,$13.58B
11 Dec 2020,$13.46B
18 Dec 2020,$12.49B
31 Dec 2020,$13.33B
8 Jan 2021,$13.42B
29 Jan 2021,$14.68B
12 Feb 2021,$14.79B
26 Feb 2021,$14.05B
11 Mar 2021,$15.04B
30 Mar 2021,$15.51B
31 Mar 2021,$15.68B
15 Apr 2021,$15.56B
22 Apr 2021,$15.82B
30 Apr 2021,$15.72B
12 May 2021,$15.37B
28 May 2021,$15.89B
4 Jun 2021,$17.07B
11 Jun 2021,$17.55B
30 Jun 2021,$18.66B
16 Jul 2021,$17.93B
21 Jul 2021,$17.64B
6 Aug 2021,$16.93B
13 Aug 2021,$16.86B
20 Aug 2021,$17.58B
27 Aug 2021,$17.31B
3 Sep 2021,$18.94B
17 Sep 2021,$20.03B
24 Sep 2021,$20.48B
2 Oct 2021,$19.32B
9 Oct 2021,$17.75B
16 Oct 2021,$17.63B
30 Oct 2021,$17.68B
6 Nov 2021,$17.65B
13 Nov 2021,$17.28B
20 Nov 2021,$15.6B
4 Dec 2021,$15.54B
9 Dec 2021,$15.39B
