timeline,Kirin Holdings
31 Oct 2014,$11.71B
28 Nov 2014,$12.49B
31 Dec 2014,$12.05B
30 Jan 2015,$12.8B
27 Feb 2015,$12.59B
31 Mar 2015,$11.98B
30 Apr 2015,$12.05B
29 May 2015,$13.6B
30 Jun 2015,$12.81B
31 Jul 2015,$14.51B
31 Aug 2015,$13.54B
30 Sep 2015,$11.9B
30 Oct 2015,$13.08B
30 Nov 2015,$13.16B
31 Dec 2015,$13.26B
29 Jan 2016,$13.64B
29 Feb 2016,$11.97B
31 Mar 2016,$12.7B
29 Apr 2016,$12.81B
31 May 2016,$15B
30 Jun 2016,$13.87B
29 Jul 2016,$14.22B
31 Aug 2016,$13.57B
30 Sep 2016,$13.45B
31 Oct 2016,$14.55B
30 Nov 2016,$15B
30 Dec 2016,$15.3B
31 Jan 2017,$14.87B
28 Feb 2017,$15.57B
31 Mar 2017,$16.91B
28 Apr 2017,$17.43B
31 May 2017,$18.81B
30 Jun 2017,$18.42B
31 Jul 2017,$19.56B
31 Aug 2017,$20.09B
29 Sep 2017,$21.31B
31 Oct 2017,$21.77B
30 Nov 2017,$21.16B
29 Dec 2017,$22.86B
31 Jan 2018,$21.9B
28 Feb 2018,$22.37B
30 Mar 2018,$22.8B
30 Apr 2018,$24.67B
31 May 2018,$24.65B
29 Jun 2018,$23.6B
31 Jul 2018,$22.45B
31 Aug 2018,$21.38B
28 Sep 2018,$22.65B
31 Oct 2018,$20.9B
30 Nov 2018,$20.64B
31 Dec 2018,$17.8B
31 Jan 2019,$20.06B
28 Feb 2019,$19.28B
29 Mar 2019,$20.46B
30 Apr 2019,$19.51B
31 May 2019,$18.24B
28 Jun 2019,$17.99B
31 Jul 2019,$18.35B
30 Aug 2019,$16.25B
30 Sep 2019,$17.72B
31 Oct 2019,$17.85B
29 Nov 2019,$18.76B
31 Dec 2019,$18.31B
31 Jan 2020,$18.36B
28 Feb 2020,$15.79B
31 Mar 2020,$15.83B
30 Apr 2020,$15.28B
29 May 2020,$16.24B
30 Jun 2020,$16.73B
14 Jul 2020,$15.6B
31 Jul 2020,$14.96B
12 Aug 2020,$15.37B
21 Aug 2020,$15.29B
2 Sep 2020,$15.26B
18 Sep 2020,$14.58B
30 Sep 2020,$14.52B
16 Oct 2020,$14.2B
22 Oct 2020,$14.41B
30 Oct 2020,$13.82B
5 Nov 2020,$14.34B
20 Nov 2020,$16.42B
30 Nov 2020,$16.72B
8 Dec 2020,$17.98B
14 Dec 2020,$17.38B
21 Dec 2020,$17.75B
31 Dec 2020,$17.91B
8 Jan 2021,$16.86B
29 Jan 2021,$16.52B
5 Feb 2021,$15.98B
26 Feb 2021,$15.36B
11 Mar 2021,$15.58B
18 Mar 2021,$16.03B
30 Mar 2021,$16.09B
6 Apr 2021,$15.38B
12 Apr 2021,$15.03B
22 Apr 2021,$15.07B
30 Apr 2021,$15.08B
12 May 2021,$15.14B
19 May 2021,$15.84B
28 May 2021,$16.31B
4 Jun 2021,$16.5B
11 Jun 2021,$16.8B
30 Jun 2021,$15.93B
12 Jul 2021,$15.53B
19 Jul 2021,$15.09B
6 Aug 2021,$15.04B
13 Aug 2021,$14.71B
20 Aug 2021,$15.06B
27 Aug 2021,$14.94B
10 Sep 2021,$15.75B
17 Sep 2021,$15.81B
24 Sep 2021,$15.66B
2 Oct 2021,$15.35B
9 Oct 2021,$15.48B
23 Oct 2021,$14.67B
30 Oct 2021,$14.53B
6 Nov 2021,$14.77B
13 Nov 2021,$13.66B
27 Nov 2021,$13.95B
4 Dec 2021,$13.48B
10 Dec 2021,$13.82B
