timeline,NEC Corp
22 Oct 2020,$13.52B
30 Oct 2020,$12.61B
5 Nov 2020,$13.65B
20 Nov 2020,$13.16B
26 Nov 2020,$13.41B
4 Dec 2020,$13.55B
11 Dec 2020,$12.95B
25 Dec 2020,$13.09B
31 Dec 2020,$13.31B
8 Jan 2021,$13.69B
15 Jan 2021,$13.84B
22 Jan 2021,$14.15B
1 Feb 2021,$15.45B
12 Feb 2021,$15.04B
19 Feb 2021,$15.21B
26 Feb 2021,$13.93B
11 Mar 2021,$15.26B
18 Mar 2021,$16.14B
30 Mar 2021,$15.66B
5 Apr 2021,$15.64B
16 Apr 2021,$15.59B
22 Apr 2021,$15.16B
30 Apr 2021,$15.28B
19 May 2021,$12.44B
28 May 2021,$12.37B
4 Jun 2021,$12.25B
11 Jun 2021,$12.52B
30 Jun 2021,$13.74B
9 Jul 2021,$13.48B
20 Jul 2021,$13.33B
6 Aug 2021,$14.19B
13 Aug 2021,$13.89B
20 Aug 2021,$13.69B
27 Aug 2021,$14.03B
3 Sep 2021,$14.82B
17 Sep 2021,$15.84B
24 Sep 2021,$15.47B
2 Oct 2021,$14.63B
9 Oct 2021,$14.62B
16 Oct 2021,$14.97B
30 Oct 2021,$13.96B
6 Nov 2021,$13.72B
13 Nov 2021,$13.14B
20 Nov 2021,$12.58B
4 Dec 2021,$12.71B
9 Dec 2021,$13B
