timeline,Odakyu Electric Railway
30 Mar 2012,$4.98B
30 Apr 2012,$4.71B
31 May 2012,$4.53B
29 Jun 2012,$5.04B
31 Jul 2012,$5.12B
31 Aug 2012,$5.29B
28 Sep 2012,$5.23B
31 Oct 2012,$5.39B
30 Nov 2012,$5.35B
31 Dec 2012,$5.72B
31 Jan 2013,$5.83B
28 Feb 2013,$6.23B
29 Mar 2013,$7.46B
30 Apr 2013,$7.47B
31 May 2013,$6.3B
28 Jun 2013,$6.16B
31 Jul 2013,$5.93B
30 Aug 2013,$5.71B
30 Sep 2013,$6.21B
31 Oct 2013,$6.02B
29 Nov 2013,$5.8B
31 Dec 2013,$6.05B
31 Jan 2014,$5.77B
28 Feb 2014,$5.79B
31 Mar 2014,$5.66B
30 Apr 2014,$5.71B
30 May 2014,$5.82B
30 Jun 2014,$6.2B
31 Jul 2014,$6.46B
29 Aug 2014,$6.53B
30 Sep 2014,$6.38B
31 Oct 2014,$6.6B
28 Nov 2014,$6.92B
31 Dec 2014,$6.82B
30 Jan 2015,$7.33B
27 Feb 2015,$7.93B
31 Mar 2015,$7.79B
30 Apr 2015,$7.68B
29 May 2015,$7.5B
30 Jun 2015,$7.27B
31 Jul 2015,$7.89B
31 Aug 2015,$7.05B
30 Sep 2015,$6.83B
30 Oct 2015,$7.56B
30 Nov 2015,$7.96B
31 Dec 2015,$8.33B
29 Jan 2016,$8.07B
29 Feb 2016,$8.27B
31 Mar 2016,$7.65B
29 Apr 2016,$7.45B
31 May 2016,$7.52B
30 Jun 2016,$7.61B
29 Jul 2016,$7.76B
31 Aug 2016,$6.75B
30 Sep 2016,$7.12B
31 Oct 2016,$6.82B
30 Nov 2016,$7.11B
30 Dec 2016,$7.35B
31 Jan 2017,$7.11B
28 Feb 2017,$7.06B
31 Mar 2017,$6.89B
28 Apr 2017,$6.87B
31 May 2017,$7.06B
30 Jun 2017,$7.2B
31 Jul 2017,$6.95B
31 Aug 2017,$6.77B
29 Sep 2017,$6.79B
31 Oct 2017,$7.03B
30 Nov 2017,$7.58B
29 Dec 2017,$7.66B
31 Jan 2018,$7.63B
28 Feb 2018,$6.94B
30 Mar 2018,$6.85B
30 Apr 2018,$7.51B
31 May 2018,$7.49B
29 Jun 2018,$7.56B
31 Jul 2018,$7.52B
31 Aug 2018,$7.64B
28 Sep 2018,$8.55B
31 Oct 2018,$7.59B
30 Nov 2018,$8.09B
31 Dec 2018,$7.68B
31 Jan 2019,$7.77B
28 Feb 2019,$8.27B
29 Mar 2019,$8.53B
30 Apr 2019,$8.31B
31 May 2019,$8.52B
28 Jun 2019,$8.38B
31 Jul 2019,$7.75B
30 Aug 2019,$7.66B
30 Sep 2019,$8.22B
31 Oct 2019,$8.4B
29 Nov 2019,$8.7B
31 Dec 2019,$8.11B
31 Jan 2020,$7.74B
27 Feb 2020,$6.97B
28 Feb 2020,$6.62B
26 Mar 2020,$7.82B
31 Mar 2020,$7.6B
14 Apr 2020,$7.73B
30 Apr 2020,$7.6B
29 May 2020,$8.61B
30 Jun 2020,$8.49B
17 Jul 2020,$8.31B
31 Jul 2020,$7.03B
20 Aug 2020,$8.21B
31 Aug 2020,$8.4B
24 Sep 2020,$8.47B
22 Oct 2020,$7.96B
29 Oct 2020,$8.02B
30 Oct 2020,$8.05B
12 Nov 2020,$9.91B
20 Nov 2020,$10.09B
26 Nov 2020,$10.31B
30 Nov 2020,$10.14B
4 Dec 2020,$10.17B
18 Dec 2020,$9.93B
31 Dec 2020,$10.38B
8 Jan 2021,$9.9B
22 Jan 2021,$10.39B
29 Jan 2021,$9.72B
5 Feb 2021,$10.15B
12 Feb 2021,$10.81B
15 Feb 2021,$11.07B
22 Feb 2021,$10.33B
26 Feb 2021,$9.98B
1 Mar 2021,$9.96B
12 Mar 2021,$10.19B
19 Mar 2021,$10.68B
25 Mar 2021,$9.69B
7 Apr 2021,$9.53B
13 Apr 2021,$9.35B
22 Apr 2021,$9.15B
30 Apr 2021,$9.47B
7 May 2021,$9.5B
13 May 2021,$8.99B
19 May 2021,$9.3B
26 May 2021,$9.05B
31 May 2021,$9.06B
4 Jun 2021,$9.29B
11 Jun 2021,$9.49B
30 Jun 2021,$8.99B
12 Jul 2021,$9.1B
16 Jul 2021,$8.63B
20 Jul 2021,$8.58B
30 Jul 2021,$8.7B
6 Aug 2021,$8.44B
13 Aug 2021,$8.51B
20 Aug 2021,$8.43B
27 Aug 2021,$8.65B
3 Sep 2021,$8.37B
10 Sep 2021,$8.42B
17 Sep 2021,$8.44B
24 Sep 2021,$8.55B
2 Oct 2021,$8.22B
9 Oct 2021,$7.88B
16 Oct 2021,$7.75B
23 Oct 2021,$7.95B
30 Oct 2021,$7.87B
6 Nov 2021,$7.61B
13 Nov 2021,$7.39B
20 Nov 2021,$7.17B
27 Nov 2021,$7.05B
4 Dec 2021,$7.08B
10 Dec 2021,$6.99B
