timeline,Kansai Paint
6 Aug 2021,$6.45B
13 Aug 2021,$6.67B
20 Aug 2021,$6.52B
27 Aug 2021,$6.56B
3 Sep 2021,$6.85B
10 Sep 2021,$6.88B
17 Sep 2021,$7.19B
24 Sep 2021,$6.71B
2 Oct 2021,$6.35B
9 Oct 2021,$6.15B
16 Oct 2021,$6.02B
23 Oct 2021,$5.88B
30 Oct 2021,$5.96B
6 Nov 2021,$5.95B
13 Nov 2021,$6.35B
27 Nov 2021,$5.98B
4 Dec 2021,$5.83B
10 Dec 2021,$6.02B
