timeline,Kyocera
31 Jan 2001,$21.11B
28 Feb 2001,$17.66B
30 Mar 2001,$19.12B
30 Apr 2001,$19.83B
31 May 2001,$18.62B
29 Jun 2001,$18.47B
31 Jul 2001,$15.71B
31 Aug 2001,$13.48B
28 Sep 2001,$12.81B
31 Oct 2001,$13.89B
30 Nov 2001,$15.37B
31 Dec 2001,$14.26B
31 Jan 2002,$12.91B
28 Feb 2002,$13.37B
29 Mar 2002,$14.69B
30 Apr 2002,$14.57B
31 May 2002,$16.69B
28 Jun 2002,$14.64B
31 Jul 2002,$13.52B
30 Aug 2002,$13.77B
30 Sep 2002,$13.3B
31 Oct 2002,$11.78B
29 Nov 2002,$13.3B
31 Dec 2002,$11.27B
31 Jan 2003,$10.85B
28 Feb 2003,$10.13B
31 Mar 2003,$9.59B
30 Apr 2003,$9.5B
30 May 2003,$10.49B
30 Jun 2003,$11.21B
31 Jul 2003,$11.14B
29 Aug 2003,$12.24B
30 Sep 2003,$10.91B
31 Oct 2003,$10.95B
28 Nov 2003,$11.03B
31 Dec 2003,$11.81B
30 Jan 2004,$13.21B
27 Feb 2004,$13.28B
31 Mar 2004,$14.45B
30 Apr 2004,$15.1B
31 May 2004,$14.95B
30 Jun 2004,$15.31B
30 Jul 2004,$14.22B
31 Aug 2004,$13.26B
30 Sep 2004,$12.82B
29 Oct 2004,$12.72B
30 Nov 2004,$11.99B
31 Dec 2004,$13.05B
31 Jan 2005,$12.34B
28 Feb 2005,$12.93B
31 Mar 2005,$12.65B
29 Apr 2005,$12.67B
31 May 2005,$13.78B
30 Jun 2005,$14.02B
29 Jul 2005,$13.11B
31 Aug 2005,$12.67B
30 Sep 2005,$13.06B
31 Oct 2005,$12.39B
30 Nov 2005,$13.56B
30 Dec 2005,$14.22B
31 Jan 2006,$17.28B
28 Feb 2006,$17.2B
31 Mar 2006,$17.26B
28 Apr 2006,$17.6B
31 May 2006,$15.35B
30 Jun 2006,$14.67B
31 Jul 2006,$15.55B
31 Aug 2006,$16.79B
29 Sep 2006,$16.77B
31 Oct 2006,$17.4B
30 Nov 2006,$17.33B
29 Dec 2006,$18.63B
31 Jan 2007,$18.42B
28 Feb 2007,$17.9B
30 Mar 2007,$18.49B
30 Apr 2007,$19.42B
31 May 2007,$19.9B
29 Jun 2007,$21.89B
31 Jul 2007,$19.16B
31 Aug 2007,$17.66B
28 Sep 2007,$17.99B
31 Oct 2007,$16.14B
30 Nov 2007,$16.62B
31 Dec 2007,$16.54B
31 Jan 2008,$14.14B
29 Feb 2008,$14.44B
31 Mar 2008,$13.99B
30 Apr 2008,$15.98B
30 May 2008,$16.96B
30 Jun 2008,$16.71B
31 Jul 2008,$15.58B
29 Aug 2008,$15.43B
30 Sep 2008,$13.19B
31 Oct 2008,$9.44B
28 Nov 2008,$9.98B
31 Dec 2008,$10.33B
30 Jan 2009,$9.52B
27 Feb 2009,$9.47B
31 Mar 2009,$10.49B
30 Apr 2009,$12.34B
29 May 2009,$12.08B
30 Jun 2009,$11.77B
31 Jul 2009,$12.34B
31 Aug 2009,$12.55B
30 Sep 2009,$13.48B
30 Oct 2009,$12.55B
30 Nov 2009,$11.14B
31 Dec 2009,$13.23B
29 Jan 2010,$13.27B
26 Feb 2010,$12.8B
31 Mar 2010,$14.75B
30 Apr 2010,$15.36B
31 May 2010,$12.84B
30 Jun 2010,$11.75B
30 Jul 2010,$12.48B
31 Aug 2010,$11.56B
30 Sep 2010,$12.77B
29 Oct 2010,$13B
30 Nov 2010,$13.82B
31 Dec 2010,$13.42B
31 Jan 2011,$13.82B
28 Feb 2011,$13.73B
31 Mar 2011,$13.65B
29 Apr 2011,$14.39B
31 May 2011,$13.77B
30 Jun 2011,$13.19B
29 Jul 2011,$13.35B
31 Aug 2011,$11.33B
30 Sep 2011,$10.58B
31 Oct 2011,$11.34B
30 Nov 2011,$10.94B
30 Dec 2011,$10.02B
31 Jan 2012,$10.52B
29 Feb 2012,$11.63B
30 Mar 2012,$12.26B
30 Apr 2012,$12.72B
31 May 2012,$10.5B
29 Jun 2012,$11.05B
31 Jul 2012,$10.03B
31 Aug 2012,$10.87B
28 Sep 2012,$10.94B
31 Oct 2012,$11.34B
30 Nov 2012,$12.28B
31 Dec 2012,$12.57B
31 Jan 2013,$13.38B
28 Feb 2013,$13.04B
29 Mar 2013,$14.25B
30 Apr 2013,$16.03B
31 May 2013,$16.34B
31 Jul 2013,$16.1B
30 Aug 2013,$16.31B
30 Sep 2013,$16.86B
31 Oct 2013,$16.44B
29 Nov 2013,$17.54B
31 Dec 2013,$16.99B
31 Jan 2014,$15.05B
28 Feb 2014,$14.86B
31 Mar 2014,$15.06B
30 Apr 2014,$15.56B
30 May 2014,$14.65B
30 Jun 2014,$15.56B
31 Jul 2014,$16.33B
29 Aug 2014,$15.74B
30 Sep 2014,$16.54B
31 Oct 2014,$16.33B
28 Nov 2014,$18.8B
31 Dec 2014,$17.98B
30 Jan 2015,$16.9B
27 Feb 2015,$19.55B
31 Mar 2015,$21.33B
30 Apr 2015,$20.29B
29 May 2015,$21.92B
30 Jun 2015,$20.59B
31 Jul 2015,$20.69B
31 Aug 2015,$19.27B
30 Sep 2015,$17.67B
30 Oct 2015,$17.81B
30 Nov 2015,$18.47B
31 Dec 2015,$18.3B
29 Jan 2016,$16.06B
